排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,2891C,中信金丙特,62.3,0.1,0.16,05/18,13.5,13.1,8.52,19.2,22.0,20.2,14.0,11.9,0.02,-1.99,,12.5
2,6782,視陽,190.5,1.5,0.79,05/18,16.9,18.6,22.0,15.0,5.96,2.86,1.7,0.46,0.64,-0.33,,1.25
3,5534,長虹,76.3,0.0,0.0,05/18,0.0,12.6,12.5,14.7,17.8,14.4,4.23,2.41,0.07,0.26,-0.02,3.1
4,2330,台積電,2240.0,-25.0,-1.1,05/18,19.5,14.6,14.7,14.7,9.27,5.41,2.37,1.99,0.99,0.55,0.26,2.07
5,3036,文曄,263.5,-6.5,-2.41,05/18,0.76,6.25,2.87,13.5,11.1,5.72,3.67,3.56,5.23,2.05,1.45,2.38
6,8210,勤誠,1380.0,-30.0,-2.13,05/18,13.9,12.8,11.3,12.6,13.5,8.66,0.55,1.21,0.81,0.19,0.11,1.38
7,7769,鴻勁,6655.0,-240.0,-3.48,05/18,-0.39,-0.25,-0.97,12.4,9.09,4.75,1.34,,,,,1.53
8,6669,緯穎,5090.0,-25.0,-0.49,05/18,2.56,0.41,1.28,12.2,12.6,12.5,4.66,1.61,0.72,0.46,,1.59
9,6146,耕興,212.5,-2.0,-0.93,05/18,-0.71,15.0,17.6,10.5,4.25,2.94,1.52,1.04,0.38,-1.22,-0.04,1.15
10,6531,愛普*,1135.0,55.0,5.09,05/18,4.95,14.5,13.4,10.1,8.11,3.88,1.76,0.88,0.58,0.07,,0.8
11,4966,譜瑞-KY,757.0,-43.0,-5.38,05/18,0.0,0.0,2.14,9.46,8.85,5.12,3.61,3.77,2.44,0.44,0.01,3.49
12,3017,奇鋐,2410.0,-45.0,-1.83,05/18,4.23,3.24,3.66,9.41,-2.24,0.44,1.79,-0.57,0.3,-0.54,0.07,-0.64
13,6515,穎崴,10240.0,460.0,4.7,05/18,23.6,21.6,21.0,9.2,3.62,2.46,1.5,2.62,1.7,0.21,,2.49
14,2345,智邦,2495.0,-10.0,-0.4,05/18,9.5,9.38,9.83,8.43,4.63,3.84,3.02,1.58,0.11,0.62,-0.06,1.39
15,6223,旺矽,6135.0,240.0,4.07,05/18,11.9,9.08,7.21,7.73,4.89,1.85,1.87,0.21,2.04,0.73,0.21,0.04
16,8996,高力,1045.0,5.0,0.48,05/18,2.28,5.55,8.62,7.61,1.36,3.08,1.01,0.4,0.23,0.07,0.04,0.82
17,4746,台耀,51.9,-1.9,-3.53,05/18,0.0,7.92,10.6,7.32,10.4,9.55,3.99,2.36,1.4,0.08,-0.12,2.72
18,3711,日月光投控,510.0,-37.0,-6.76,05/18,0.98,1.5,0.54,7.03,5.64,4.45,2.19,-1.81,-3.06,0.4,,1.46
19,4105,東洋,74.4,-0.7,-0.93,05/18,-0.53,-0.19,10.1,6.85,12.9,12.2,3.95,1.99,1.11,0.27,-0.59,2.84
20,6177,達麗,45.4,-0.2,-0.44,05/18,0.0,0.0,0.0,6.4,4.3,-2.94,-1.72,-4.26,-0.96,0.21,0.14,-2.23
21,6278,台表科,210.0,-10.5,-4.76,05/18,7.33,5.92,8.82,6.23,4.32,0.8,-1.41,-2.76,-3.61,2.05,0.36,-2.78
22,6715,嘉基,526.0,47.0,9.81,05/18,0.0,5.99,11.4,5.9,7.0,6.45,4.75,4.23,3.9,1.16,,4.3
23,2327,國巨*,501.0,45.5,9.99,05/18,6.74,5.85,5.34,5.79,5.76,2.98,1.49,1.6,0.99,0.76,0.36,1.71
24,8069,元太,219.0,9.0,4.29,05/18,-4.51,-2.55,11.7,5.33,3.76,2.83,1.59,1.0,0.38,0.24,0.03,1.71
25,7734,印能科技,3705.0,-45.0,-1.2,05/18,9.8,-2.87,3.42,5.32,4.67,11.1,4.71,3.2,2.23,,,3.39
26,2303,聯電,111.0,1.0,0.91,05/18,7.84,8.83,6.44,5.32,4.43,2.44,1.9,-0.97,-1.25,3.44,1.05,0.36
27,6831,邁科,732.0,7.0,0.97,05/18,-5.99,2.85,5.23,5.25,2.63,1.06,0.37,,,,,-0.07
28,3624,光頡,83.8,7.6,9.97,05/18,4.1,6.87,6.37,5.16,3.83,3.36,2.04,0.61,0.51,-0.52,0.07,0.97
29,9917,中保科,111.0,-1.0,-0.89,05/18,0.0,4.2,3.25,4.76,-0.66,-0.16,-1.66,-0.37,-0.3,0.07,-0.02,-1.79
30,2344,華邦電,130.5,1.0,0.77,05/18,3.87,6.15,5.16,4.68,3.46,1.95,0.94,0.56,0.7,0.43,0.21,0.92
31,3037,欣興,816.0,-5.0,-0.61,05/18,0.99,-1.76,3.24,4.57,1.65,0.73,3.05,2.44,1.52,0.37,0.22,2.98
32,7749,意騰-KY,511.0,23.0,4.71,05/18,3.26,4.6,8.74,4.35,1.36,1.11,0.69,0.27,,,,0.63
33,9958,世紀鋼,105.5,1.0,0.96,05/18,0.0,5.12,6.37,4.29,2.66,1.8,0.66,0.4,-0.09,0.02,0.01,0.39
34,2727,王品,233.0,-3.5,-1.48,05/18,0.0,7.01,5.77,4.24,2.51,4.34,1.7,0.95,-1.32,-0.49,0.03,1.15
35,2383,台光電,4545.0,-70.0,-1.52,05/18,0.53,-2.66,0.14,4.17,4.03,3.64,2.75,1.48,-1.18,-0.01,0.12,1.0
36,2204,中華,51.9,-0.1,-0.19,05/18,-1.64,8.11,7.61,4.14,8.43,8.44,2.3,-0.62,-2.08,-1.23,0.16,0.05
37,1582,信錦,106.5,7.1,7.14,05/18,1.47,0.83,3.01,4.0,3.75,1.33,0.49,0.33,-0.03,0.15,0.1,0.45
38,3227,原相,221.0,1.0,0.45,05/18,-0.07,-0.02,7.01,3.8,0.74,-2.64,-1.92,-2.1,-0.36,0.54,0.14,-2.08
39,3583,辛耘,900.0,12.0,1.35,05/18,8.01,6.41,5.68,3.58,4.47,3.33,1.86,1.56,0.8,0.14,-0.02,1.65
40,1215,卜蜂,141.5,1.5,1.07,05/18,-7.98,1.29,4.64,3.57,0.6,-3.05,0.69,10.1,3.94,4.3,0.7,2.41
41,5536,聖暉*,985.0,-40.0,-3.9,05/18,-0.49,1.86,4.49,3.39,1.06,-1.21,-0.2,0.27,1.28,1.2,0.7,-1.54
42,2049,上銀,378.5,-14.0,-3.57,05/18,0.0,4.59,3.47,3.25,1.36,0.72,0.12,0.2,-0.27,-0.24,0.02,0.26
43,2376,技嘉,330.5,4.0,1.23,05/18,7.8,5.07,4.08,3.11,1.23,-0.47,0.0,0.09,-1.05,-0.31,-0.07,0.05
44,2347,聯強,81.8,-0.6,-0.73,05/18,-1.15,10.2,12.8,2.85,-2.23,5.1,0.66,-9.68,-6.72,-2.14,0.22,-4.37
45,9939,宏全,122.5,-2.5,-2.0,05/18,-0.09,5.26,7.24,2.78,1.5,-0.45,-0.59,-0.18,-0.21,0.06,-0.01,-0.8
46,2412,中華電,137.0,-1.0,-0.72,05/18,0.05,0.28,-0.1,2.77,2.09,-0.74,-1.26,-0.57,-2.05,0.52,0.41,-0.2
47,006201,元大富櫃50,46.2,-0.73,-1.56,05/18,-2.3,-0.77,-1.57,2.6,1.2,0.38,-0.48,-1.9,-3.15,-2.91,-6.08,-1.59
48,3008,大立光,3290.0,-155.0,-4.5,05/18,0.0,-0.04,2.69,2.52,1.7,-0.35,-1.24,1.3,0.6,0.17,0.06,-0.09
49,1477,聚陽,213.5,-4.5,-2.06,05/18,-1.13,0.18,-0.17,2.44,6.12,-0.45,0.5,-6.14,-0.56,1.01,0.36,-1.22
50,5439,高技,381.0,-10.0,-2.56,05/18,0.0,1.33,2.68,2.29,2.65,1.7,0.87,1.28,0.57,0.18,0.17,1.06
51,6415,矽力*-KY,514.0,46.0,9.83,05/18,1.97,1.26,2.1,2.28,2.11,3.42,1.04,0.97,0.35,0.02,-0.1,1.15
52,2492,華新科,217.5,11.5,5.58,05/18,-8.64,-3.59,-1.52,2.26,1.14,0.8,0.43,0.12,0.16,0.12,-0.19,0.32
53,1605,華新,34.7,-0.2,-0.57,05/18,3.26,2.67,2.21,2.24,0.93,0.48,-0.69,-0.29,-0.03,-0.58,-0.26,-0.47
54,5009,榮剛,35.45,-1.85,-4.96,05/18,-0.1,-0.05,-0.03,2.06,2.41,1.04,0.45,0.99,-4.21,-0.95,0.04,0.49
55,4749,新應材,1005.0,-10.0,-0.99,05/18,0.0,0.0,1.6,2.0,-1.2,-0.72,-1.0,-0.28,0.28,,,-0.47
56,6510,精測,3720.0,-15.0,-0.4,05/18,-12.7,-1.46,2.44,1.96,0.46,1.83,-1.82,0.66,0.72,1.24,0.25,0.33
57,4938,和碩,76.5,0.0,0.0,05/18,-3.19,5.0,1.83,1.95,-1.21,1.28,-0.87,-8.34,-7.93,0.11,-0.02,-5.54
58,009803,玉山市值動能50,19.7,-0.15,-0.76,05/18,0.0,5.75,3.23,1.93,0.93,2.06,0.71,0.34,0.17,,,0.5
59,3030,德律,387.0,-8.0,-2.03,05/18,4.2,3.57,2.9,1.83,0.65,-0.3,0.18,-2.33,0.12,0.07,0.04,0.22
60,2855,統一證,39.8,-1.0,-2.45,05/18,0.2,3.34,1.79,1.81,1.29,1.78,1.13,0.39,-0.58,0.34,0.12,0.46
61,00713,元大台灣高息低波,54.95,-0.45,-0.81,05/18,0.0,5.65,3.57,1.81,0.86,0.78,0.32,-0.06,-0.74,0.06,,0.07
62,00864B,中信美國公債0-1,46.49,0.21,0.45,05/18,0.0,3.5,2.58,1.79,0.81,0.43,0.17,-0.23,-0.37,0.06,,-0.67
63,5475,德宏,298.5,-0.5,-0.17,05/18,0.0,0.0,0.0,1.77,0.86,0.47,2.0,0.91,0.37,0.3,0.1,1.26
64,7717,萊德光電-KY,666.0,60.0,9.9,05/18,0.0,3.63,2.73,1.75,-4.44,0.41,0.72,,,,,0.51
65,00980D,主動聯博投等入息,20.26,-0.06,-0.3,05/18,5.02,3.4,2.36,1.74,0.53,2.15,0.52,0.05,,,,-0.01
