代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3583,辛耘,900.0,12.0,1.35,05/18,-1,-186,-9.02,-0.23,13,2775,5.44,3.45,-1,-11,-0.51,-0.01,-1,-31,-1.52,-0.04
1785,光洋科,143.5,-9.5,-6.21,05/18,-1,-1175,-4.8,-0.2,11,1593,0.35,0.27,-7,-681,-0.3,-0.11,-1,-1044,-4.26,-0.18
2344,華邦電,130.5,1.0,0.77,05/18,-1,-19138,-9.93,-0.43,11,87715,3.22,1.95,-1,-286,-0.15,-0.01,-1,-11963,-6.2,-0.27
8210,勤誠,1380.0,-30.0,-2.13,05/18,-5,-1849,-13.4,-1.48,11,5386,13.1,4.3,-1,-28,-2.15,-0.02,2,315,10.7,0.25
2303,聯電,111.0,1.0,0.91,05/18,-1,-45921,-17.4,-0.37,10,128502,4.43,1.02,1,481,0.18,0.0,-1,-24733,-9.36,-0.2
5269,祥碩,1390.0,-65.0,-4.47,05/18,-4,-2241,-14.9,-3.0,9,302,0.98,0.4,-2,-67,-1.32,-0.09,-4,-2429,-16.2,-3.25
6415,矽力*-KY,514.0,46.0,9.83,05/18,-2,-1268,-6.69,-0.33,9,1847,3.03,0.48,1,143,2.06,0.04,1,31,0.44,0.01
935,野村臺灣新科技50,53.25,0.05,0.09,05/18,-5,-3922,-6.07,-0.69,7,1327,1.42,0.24,-2,-3405,-12.5,-0.6,-8,-20988,-19.6,-3.72
3017,奇鋐,2410.0,-45.0,-1.83,05/18,-3,-2558,-13.8,-0.66,7,3648,8.69,0.94,1,8,0.18,0.0,-3,-2135,-11.5,-0.55
2345,智邦,2495.0,-10.0,-0.4,05/18,-2,-2642,-26.0,-0.47,6,3031,8.22,0.54,1,49,1.55,0.01,-2,-1781,-17.5,-0.32
1605,華新,34.7,-0.2,-0.57,05/18,-1,-2766,-8.8,-0.06,5,5602,2.24,0.13,-1,-832,-2.65,-0.02,-1,-2572,-8.18,-0.06
2330,台積電,2240.0,-25.0,-1.1,05/18,-2,-12920,-19.2,-0.05,5,30026,14.7,0.12,1,520,1.58,0.0,-2,-2606,-3.87,-0.01
2481,強茂,129.0,11.5,9.79,05/18,1,1358,3.17,0.36,5,4461,1.52,1.17,2,1412,1.57,0.37,1,2628,6.13,0.69
2542,興富發,44.6,0.85,1.94,05/18,4,18110,22.3,0.83,5,656,0.74,0.03,1,243,1.25,0.01,4,18812,23.1,0.87
2467,志聖,594.0,7.0,1.19,05/18,-3,-591,-8.78,-0.38,4,131,1.29,0.08,-14,-781,-1.57,-0.5,-4,-629,-6.16,-0.4
2472,立隆電,235.0,18.0,8.29,05/18,1,280,2.29,0.17,4,283,0.51,0.17,1,242,1.98,0.15,1,566,4.62,0.34
3030,德律,387.0,-8.0,-2.03,05/18,-3,-137,-3.67,-0.06,4,119,2.33,0.05,-2,-21,-0.82,-0.01,2,18,0.71,0.01
3624,光頡,83.8,7.6,9.97,05/18,-1,-1723,-6.91,-1.47,4,4701,6.14,4.01,1,206,0.83,0.18,-1,-496,-1.99,-0.42
6139,亞翔,721.0,28.0,4.04,05/18,1,31,0.84,0.01,4,276,1.16,0.12,1,39,1.07,0.02,1,154,4.19,0.07
6278,台表科,210.0,-10.5,-4.76,05/18,-12,-27552,-10.1,-9.42,4,7753,7.46,2.65,-5,-4450,-3.61,-1.52,-2,-6773,-10.5,-2.32
6488,環球晶,698.0,-12.0,-1.69,05/18,-2,-1497,-17.7,-0.31,4,389,2.46,0.08,1,290,6.27,0.06,-2,-1107,-13.1,-0.23
