代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
0050,元大台灣50,94.9,-0.5,-0.52,26W21,05/18,-4,-351327,-20.9,-1.88,16,106073,1.09,0.57,-6,-190034,-6.93,-1.02,-4,-469461,-27.9,-2.51
6640,均華,1305.0,-65.0,-4.74,26W21,05/18,1,107,22.5,0.38,8,743,2.83,2.61,-1,-6,-1.32,-0.02,1,106,22.2,0.37
1785,光洋科,143.5,-9.5,-6.21,26W21,05/18,-4,-45099,-8.3,-7.57,7,2131,0.26,0.36,-2,-411,-0.24,-0.07,-4,-43781,-8.05,-7.35
6679,鈺太,312.5,7.5,2.46,26W21,05/18,1,45,7.25,0.08,7,146,0.72,0.27,1,2,0.28,0.0,1,51,8.17,0.09
2072,世紀風電,174.5,-5.5,-3.06,26W21,05/18,-1,-368,-62.3,-0.19,6,814,5.05,0.42,0,0,0.0,0.0,-1,-358,-60.6,-0.19
3711,日月光投控,510.0,-37.0,-6.76,26W21,05/18,-6,-39349,-6.22,-0.89,6,22773,3.6,0.51,-1,-144,-0.54,0.0,-1,-5831,-21.9,-0.13
6531,愛普*,1135.0,55.0,5.09,26W21,05/18,-4,-5269,-6.72,-3.24,6,6133,3.16,3.77,-1,-33,-0.42,-0.02,2,908,1.75,0.56
6669,緯穎,5090.0,-25.0,-0.49,26W21,05/18,-5,-4813,-8.2,-2.59,6,7647,11.2,4.11,1,24,1.7,0.01,1,15,1.08,0.01
8210,勤誠,1380.0,-30.0,-2.13,26W21,05/18,-4,-4563,-8.3,-3.64,6,7195,7.71,5.74,-2,-152,-0.87,-0.12,3,3046,7.43,2.43
2330,台積電,2240.0,-25.0,-1.1,26W21,05/18,-4,-130063,-19.1,-0.5,5,47194,5.41,0.18,1,520,1.58,0.0,-2,-22270,-8.87,-0.09
2855,統一證,39.8,-1.0,-2.45,26W21,05/18,-3,-9145,-7.01,-0.57,5,3482,1.78,0.22,0,0,0.0,0.0,-3,-6975,-5.35,-0.44
2313,華通,259.0,23.5,9.98,26W21,05/18,1,13247,13.6,1.11,4,5512,0.44,0.46,1,669,0.69,0.06,1,16213,16.7,1.36
2327,國巨*,501.0,45.5,9.99,26W21,05/18,-2,-18382,-4.66,-0.89,4,38291,4.61,1.85,-1,-1130,-1.23,-0.05,4,48866,5.88,2.36
2344,華邦電,130.5,1.0,0.77,26W21,05/18,-1,-19138,-9.93,-0.43,4,93501,2.7,2.08,-1,-286,-0.15,-0.01,-1,-11963,-6.2,-0.27
