代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00696B,富邦美債20年,28.27,0.03,0.11,26W21,05/19,53,623228,43.3,90.8,0,0,0.0,0.0,1,342,7.43,0.05,19,277436,46.2,40.4
00717,富邦美國特別股,14.98,-0.04,-0.27,26W21,05/19,47,21516,58.3,15.4,0,0,0.0,0.0,2,140,5.02,0.1,12,10985,76.9,7.87
00857B,永豐20年美公債,22.7,0.04,0.18,26W21,05/19,28,148472,42.9,25.0,0,0,0.0,0.0,1,240,7.02,0.04,28,146581,42.4,24.7
00733,富邦臺灣中小,66.3,-0.9,-1.34,26W21,05/19,21,27904,17.2,37.5,0,0,0.0,0.0,14,25203,22.8,33.8,36,85539,36.5,115.0
00931B,統一美債20年,13.14,0.03,0.23,26W21,05/19,18,243730,53.8,11.0,0,0,0.0,0.0,-2,-3903,-12.6,-0.18,18,276966,61.1,12.5
006205,富邦上証,40.92,0.02,0.05,26W21,05/19,15,3928,8.97,3.85,0,0,0.0,0.0,3,1720,23.5,1.69,15,8048,18.4,7.89
00710B,復華彭博非投等債,18.87,0.01,0.05,26W21,05/19,13,1928,15.5,1.05,0,0,0.0,0.0,-1,-78,-14.8,-0.04,20,22681,57.4,12.4
00746B,富邦A級公司債,35.01,0.01,0.03,26W21,05/19,13,35568,54.5,1.44,0,0,0.0,0.0,-13,-34809,-53.3,-1.41,-2,-373,-5.03,-0.02
00763U,期街口道瓊銅,33.56,0.02,0.06,26W21,05/19,12,7593,10.9,13.9,0,0,0.0,0.0,-1,-397,-22.2,-0.73,-1,-373,-20.9,-0.68
00897,富邦基因免疫生技,9.43,-0.11,-1.15,26W21,05/19,10,11697,31.6,7.62,0,0,0.0,0.0,-1,-437,-33.6,-0.28,23,31247,33.8,20.4
00901,永豐智能車供應鏈,39.42,-1.19,-2.93,26W21,05/19,10,3825,16.2,5.85,0,0,0.0,0.0,-1,-121,-5.17,-0.19,-1,-8,-0.34,-0.01
00943,兆豐電子高息等權,19.66,0.0,0.0,26W21,05/19,10,10825,52.6,25.2,0,0,0.0,0.0,-6,-2512,-23.6,-5.86,11,9658,45.5,22.5
009817,國泰日本不動產,8.99,0.04,0.45,26W21,05/19,10,31614,18.9,11.1,0,0,0.0,0.0,7,12048,13.6,4.23,8,31514,29.4,11.1
00984B,大華優利美A債15,16.11,0.0,0.0,26W21,05/19,10,72154,40.5,39.6,0,0,0.0,0.0,1,1136,22.9,0.62,3,18572,52.4,10.2
2379,瑞昱,555.0,-5.0,-0.89,26W21,05/19,10,40560,22.5,7.87,-6,-6508,-5.43,-1.26,1,33,0.34,0.01,10,24302,13.5,4.71
00885,富邦越南,19.32,0.05,0.26,26W21,05/19,9,51662,25.0,7.81,0,0,0.0,0.0,8,40332,22.0,6.1,8,91902,50.0,13.9
2301,光寶科,206.5,-1.0,-0.48,26W21,05/19,9,194749,15.4,8.41,1,198,0.4,0.01,1,256,0.51,0.01,9,155550,12.3,6.71
2438,翔耀,21.65,-0.55,-2.48,26W21,05/19,9,668,7.31,0.94,0,0,0.0,0.0,1,1,0.21,0.0,9,671,7.34,0.94
2867,三商壽,7.75,0.06,0.78,26W21,05/19,9,119381,34.4,2.02,0,0,0.0,0.0,3,6172,6.19,0.1,9,125097,36.0,2.12
2886,兆豐金,40.65,1.1,2.78,26W21,05/19,9,171414,17.4,1.16,1,228,0.27,0.0,1,240,0.28,0.0,4,46120,11.8,0.31
00655L,國泰中國A50正2,35.47,-0.44,-1.23,26W21,05/19,8,3517,7.06,4.85,0,0,0.0,0.0,-1,-435,-13.7,-0.6,16,27971,20.0,38.6
00714,群益道瓊美國地產,21.3,0.28,1.33,26W21,05/19,8,1224,23.4,5.55,0,0,0.0,0.0,1,1,1.06,0.0,20,3818,21.6,17.3
00740B,富邦全球投等債,38.05,0.0,0.0,26W21,05/19,8,48257,48.0,2.32,0,0,0.0,0.0,-12,-86081,-38.8,-4.14,-2,-1512,-11.0,-0.07
00755B,群益投資級公用債,32.08,0.02,0.06,26W21,05/19,8,1408,23.6,0.5,-3,-1138,-40.0,-0.4,-1,-16,-4.59,-0.01,-3,-36,-1.28,-0.01
00772B,中信高評級公司債,33.09,-0.01,-0.03,26W21,05/19,8,52153,48.5,1.51,0,0,0.0,0.0,-2,-4723,-18.4,-0.14,39,179157,36.7,5.17
00773B,中信優先金融債,35.31,0.02,0.06,26W21,05/19,8,17261,42.5,0.67,0,0,0.0,0.0,-2,-1543,-21.2,-0.06,29,37951,22.7,1.48
00862B,中信投資級公司債,31.36,0.02,0.06,26W21,05/19,8,6320,33.8,0.75,0,0,0.0,0.0,-8,-5067,-27.1,-0.6,22,3368,6.93,0.4
00908,富邦入息REITs+,14.22,0.17,1.21,26W21,05/19,8,2598,34.6,7.04,0,0,0.0,0.0,-1,-292,-52.8,-0.79,7,1924,30.4,5.21
00923,群益台ESG低碳50,36.74,-0.81,-2.16,26W21,05/19,8,38707,16.9,4.56,0,0,0.0,0.0,-1,-580,-7.55,-0.07,-1,-193,-2.52,-0.02
00948B,中信優息投資級債,9.31,-0.01,-0.11,26W21,05/19,8,155067,48.3,3.94,0,0,0.0,0.0,1,570,3.33,0.01,43,1455973,55.9,37.0
00950B,凱基A級公司債,13.89,0.0,0.0,26W21,05/19,8,77294,39.8,1.9,0,0,0.0,0.0,-11,-66169,-14.0,-1.63,2,12943,31.1,0.32
00959B,大華投等美債15Y+,9.26,-0.01,-0.11,26W21,05/19,8,26919,40.0,4.75,0,0,0.0,0.0,3,4495,18.5,0.79,3,13979,57.6,2.47
00966B,統一ESG投等債15+,13.78,0.03,0.22,26W21,05/19,8,12030,28.9,8.64,0,0,0.0,0.0,1,53,3.85,0.04,28,40244,22.9,28.9
009813,貝萊德標普卓越50,11.32,0.02,0.18,26W21,05/19,8,36519,17.6,8.1,0,0,0.0,0.0,7,102619,55.2,22.8,7,139107,74.8,30.9
2248,華勝-KY,54.9,0.1,0.18,26W21,05/19,8,107,3.32,0.23,0,0,0.0,0.0,0,0,0.0,0.0,8,164,5.09,0.35
2453,凌群,54.5,-0.8,-1.45,26W21,05/19,8,1211,8.86,1.21,0,0,0.0,0.0,0,0,0.0,0.0,8,1216,8.9,1.22
2881C,富邦金丙特,51.2,0.0,0.0,26W21,05/19,8,146,2.58,0.04,0,0,0.0,0.0,0,0,0.0,0.0,8,146,2.58,0.04
6908,宏碁遊戲-創,38.2,0.05,0.13,26W21,05/19,8,73,6.41,0.2,0,0,0.0,0.0,0,0,0.0,0.0,6,79,12.4,0.21
006207,復華滬深,32.99,-0.15,-0.45,26W21,05/19,7,452,5.42,2.02,0,0,0.0,0.0,14,2293,12.3,10.2,15,3058,15.5,13.7
006208,富邦台50,215.65,-3.75,-1.71,26W21,05/19,7,17598,10.6,0.96,0,0,0.0,0.0,-1,-457,-3.91,-0.02,7,43225,26.0,2.35
00647L,元大S&P500正2,131.0,0.65,0.5,26W21,05/19,7,59,1.47,0.92,0,0,0.0,0.0,5,982,42.6,15.3,7,1293,32.2,20.2
00701,國泰股利精選30,32.14,0.52,1.64,26W21,05/19,7,6081,16.8,3.34,0,0,0.0,0.0,20,34870,27.3,19.2,20,49205,38.5,27.1
00757,統一FANG+,126.6,-0.85,-0.67,26W21,05/19,7,16667,19.9,5.61,0,0,0.0,0.0,-1,-28,-0.56,-0.01,7,44174,52.8,14.9
00770,國泰北美科技,63.35,-0.65,-1.02,26W21,05/19,7,6268,25.7,7.56,0,0,0.0,0.0,7,5818,23.8,7.01,7,12086,49.5,14.6
00858,永豐美國500大,35.36,0.07,0.2,26W21,05/19,7,4624,15.5,3.78,0,0,0.0,0.0,7,10500,35.3,8.58,7,15124,50.8,12.4
00895,富邦未來車,48.68,-0.62,-1.26,26W21,05/19,7,3944,14.7,2.54,0,0,0.0,0.0,13,10052,20.3,6.47,24,22720,25.3,14.6
00900,富邦特選高股息30,16.48,-0.13,-0.78,26W21,05/19,7,153234,29.5,8.44,0,0,0.0,0.0,7,207334,40.0,11.4,7,369068,71.1,20.3
00909,國泰數位支付服務,45.9,-1.12,-2.38,26W21,05/19,7,38165,23.4,26.4,0,0,0.0,0.0,7,26928,16.5,18.6,7,65093,40.0,45.0
00922,國泰台灣領袖50,35.04,-0.6,-1.68,26W21,05/19,7,209943,35.1,10.7,0,0,0.0,0.0,-1,-3364,-13.2,-0.17,7,246321,41.2,12.5
00924,復華S&P500成長,31.99,-0.15,-0.47,26W21,05/19,7,18549,21.6,4.08,0,0,0.0,0.0,-1,-127,-2.62,-0.03,-1,-63,-1.29,-0.01
