"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3624","光頡","91.2","+7.4","+8.83","05/19","+1.12","+1.99","+4.55","+5.12","+5.12","+5.12","+5.12","+5.12","+5.12","-4.77","+5.1","+5.12"
"2","6278","台表科","215.5","+5.5","+2.62","05/19","+0.67","+1.2","+1.98","+3.32","+4.63","+1.57","-1.79","-5.14","-9.85","+14.2","+14.3","-4.6"
"3","6531","愛普*","1025","-110","-9.69","05/19","+0.03","+0.27","+1.58","+3.09","+3.09","+3.51","+3.98","+3.04","+4.07","+1.41","","+2.55"
"4","2481","強茂","135","+6","+4.65","05/19","+1.4","+1.5","+1.63","+2.33","+2.5","+1.94","-1.42","-2.85","+3.98","+5.33","+2.36","-2.33"
"5","4966","譜瑞-KY","728","-29","-3.83","05/19","0","0","0","+1.71","+6.6","+5.98","+5.58","+8.87","+10.4","+4.82","+0.37","+7.03"
"6","6147","頎邦","202.5","-4.5","-2.17","05/19","+1.01","+1.72","+1.56","+1.52","+1.53","+3.44","+5.85","+1.67","+0.4","+7.55","+7.37","+4.79"
"7","2344","華邦電","117.5","-13","-9.96","05/19","+0.14","+0.3","+0.88","+1.43","+2.04","+1.96","+2.41","+3.41","+6.85","+6.11","+6.94","+3.45"
"8","1582","信錦","117","+10.5","+9.86","05/19","+0.09","+0.26","+0.26","+1.31","+1.58","+1.21","+1.73","+1.32","-0.04","+1.86","+1.84","+1.71"
"9","3090","日電貿","162.5","+14.5","+9.8","05/19","0","+0.52","+0.86","+1.17","+1.17","+0.87","+0.1","+0.52","+3","+4.42","+4.36","-1.74"
"10","2327","國巨*","497","-4","-0.8","05/19","+0.24","+0.57","+0.86","+1.15","+2.01","+1.74","+1.92","+3.58","+3.85","+3.48","+4.02","+3.34"
"11","8210","勤誠","1325","-55","-3.99","05/19","-0.04","+0.1","+0.26","+1.04","+3.96","+5","+0.81","+3.18","+4.74","+4.64","+3.75","+2.96"
"12","5347","世界","157.5","-1.5","-0.94","05/19","+0.78","+0.84","+1","+0.97","+1.43","+0.28","-1.13","-5.97","-10.5","+9.35","+10.4","-4.46"
"13","6831","邁科","733","+1","+0.14","05/19","+0.1","+0.04","+0.17","+0.92","+0.99","+0.74","+0.65","","","","","-0.04"
"14","3583","辛耘","842","-58","-6.44","05/19","-0.03","+0.18","+0.42","+0.91","+2.03","+2.78","+4.57","+4.57","+4.51","+4.67","-1.02","+4.57"
"15","2303","聯電","113","+2","+1.8","05/19","+0.23","+0.39","+0.71","+0.89","+1.19","+1.25","+1.64","-1.12","-2.11","+14.4","+17.4","+0.69"
"16","5439","高技","379","-2","-0.52","05/19","-0.02","-0.02","+0.25","+0.79","+2","+2.75","+3.33","+9.44","+11.8","+8.72","+11.9","+5.21"
"17","8069","元太","222","+3","+1.37","05/19","+0.09","+0.07","+0.06","+0.78","+0.86","+0.88","+0.93","+0.92","+0.65","+1.12","+0.93","+1.27"
"18","6782","視陽","193","+2.5","+1.31","05/19","+0.08","+0.24","+0.43","+0.63","+0.67","+0.57","+0.79","+0.5","+0.76","-1.69","","+0.71"
"19","6223","旺矽","5730","-405","-6.6","05/19","-0.06","+0.13","+0.29","+0.59","+0.73","+0.54","+1.54","+0.38","+9.64","+16.2","+13.6","-0.01"
"20","6515","穎崴","9490","-750","-7.32","05/19","+0.11","+0.3","+0.5","+0.58","+0.43","+0.6","+1.12","+5.49","+12.2","+4.27","","+3.41"
"21","3017","奇鋐","2390","-20","-0.83","05/19","+0.05","+0.1","+0.14","+0.57","-0.12","+0.19","+1.55","-0.8","+1.31","-10.4","+4.52","-0.8"
"22","3563","牧德","853","-40","-4.48","05/19","+0.31","+0.62","+0.62","+0.57","+0.26","-0.59","+0.35","+3.57","+2.77","+3.93","+3.9","+1.35"
"23","7734","印能科技","3335","-370","-9.99","05/19","0","+0.03","-0.29","+0.55","+0.53","+3.51","+4.93","+4.7","+4.71","","","+4.77"
"24","2316","楠梓電","139","+12.5","+9.88","05/19","+0.54","+0.54","+0.54","+0.54","+0.54","+0.51","-1.79","-1.81","+0.54","+0.5","+0.88","-1.78"
"25","6715","嘉基","484","-42","-7.98","05/19","0","0","+0.2","+0.53","+1.46","+3.06","+5.99","+5.99","+5.99","+5.09","","+5.99"
"26","3036","文曄","265","+1.5","+0.57","05/19","-0.06","-0.05","+0.06","+0.52","+1.53","+1.14","+1.94","+3.41","+7.85","+8.88","+10.4","+1.68"
"27","2376","技嘉","305","-25.5","-7.72","05/19","+0.02","+0.48","+0.47","+0.49","+0.44","-0.17","+0.03","+0.13","-2.34","-4.16","-2.22","+0.07"
"28","8016","矽創","280.5","+5.5","+2","05/19","+0.6","+0.61","+0.52","+0.48","+0.4","-0.53","-1.06","-0.34","+1.4","-0.7","-0.89","-2.47"
"29","5536","聖暉*","944","-41","-4.16","05/19","+0.02","+0.01","+0.1","+0.47","+0.21","-0.44","-0.18","+0.92","+5.18","+7.93","+7.87","-2.53"
"30","2049","上銀","376","-2.5","-0.66","05/19","+0.14","+0.14","+0.39","+0.47","+0.49","+0.52","+0.29","+0.55","-0.76","-1.87","+0.7","+0.6"
"31","8996","高力","1040","-5","-0.48","05/19","-0.01","+0.06","+0.29","+0.46","+0.42","+1.73","+1.87","+2.08","+2.27","+2.42","+2.65","+2.61"
"32","3008","大立光","3365","+75","+2.28","05/19","+0.19","+0.19","+0.19","+0.45","+0.54","+0.08","-0.63","+1.53","+1.13","+1","+1.07","+0.11"
"33","7749","意騰-KY","482","-29","-5.68","05/19","0","+0.05","+0.16","+0.44","+0.45","+0.44","+0.41","+0.25","","","","+0.47"
"34","8028","昇陽半導體","262","-16.5","-5.92","05/19","+0.19","+0.17","+0.17","+0.43","+0.96","+1.37","+1.33","+0.83","+1.5","+1.33","","+1.76"
"35","2492","華新科","220","+2.5","+1.15","05/19","+0.18","+0.02","+0.02","+0.41","+0.88","+0.83","+0.91","+0.52","+1.03","+1.18","-7.46","+1.05"
"36","4749","新應材","985","-20","-1.99","05/19","-0.01","-0.01","-0.01","+0.41","-0.6","-0.64","-1.93","-0.77","+1.45","","","-1.16"
"37","2345","智邦","2390","-105","-4.21","05/19","+0.04","+0.09","+0.21","+0.38","+0.51","+0.8","+1.64","+1.99","+0.29","+3.72","-1.17","+1.16"
"38","6415","矽力*-KY","482","-32","-6.23","05/19","+0.12","+0.24","+0.26","+0.37","+0.59","+1.58","+1.24","+2.46","+1.27","+0.32","-0.82","+2.47"
"39","4746","台耀","51.6","-0.3","-0.58","05/19","0","0","+0.18","+0.36","+0.96","+1.86","+1.86","+1.86","+1.86","+1.07","-4.99","+1.86"
"40","7769","鴻勁","6600","-55","-0.83","05/19","+0.01","0","0","+0.34","+0.66","+0.75","+0.64","","","","","+0.99"
"41","2313","華通","256","-3","-1.16","05/19","+0.22","+0.41","+0.42","+0.34","+0.41","-0.51","+0.07","+2.8","+1.86","+1.61","+3.27","+2.39"
"42","2421","建準","145","+4.5","+3.2","05/19","+0.32","+0.32","+0.32","+0.32","+0.32","+0.32","-0.85","-0.32","-0.62","-0.23","-0.26","-0.88"
"43","3227","原相","218.5","-2.5","-1.13","05/19","+0.01","+0.01","+0.01","+0.31","+0.3","-1.08","-1.24","-2.39","-1.5","+7.74","+7.83","-2.04"
"44","4919","新唐","150","+1.5","+1.01","05/19","+0.3","+0.3","+0.3","+0.3","+0.3","+0.32","+0.34","+0.34","+0.24","-4.4","-1.95","+0.35"
"45","8112","至上","83.6","-0.5","-0.59","05/19","-0.01","-0.01","-0.01","+0.3","+0.16","-2.24","-2.69","-2.15","-2.35","-2.12","-2.12","-4.38"
"46","6146","耕興","213","+0.5","+0.24","05/19","0","0","+0.14","+0.28","+0.28","+0.38","+0.51","+0.51","+0.29","-3.18","-0.2","+0.51"
"47","3023","信邦","307.5","+13.5","+4.59","05/19","+0.21","+0.28","+0.28","+0.28","+0.22","-1.27","-2.05","+0.29","+5.95","+4.36","+2.47","-2.72"
"48","2337","旺宏","144","-16","-10","05/19","-0.16","-0.15","-0.27","+0.23","+0.06","-1.38","-2.12","+0.56","+2.57","-1.93","+6.2","+0.08"
"49","6706","惠特","173","-1","-0.57","05/19","0","+0.22","+0.22","+0.22","+0.22","+2.23","+2.22","+2.22","+1.77","+2.17","","+2.22"
"50","3037","欣興","818","+2","+0.25","05/19","-0.03","-0.02","-0.09","+0.21","+0.27","+0.2","+2.93","+6.53","+7.96","+4.13","+9.65","+6.05"
"51","5475","德宏","292","-6.5","-2.18","05/19","0","0","0","+0.21","+0.21","+0.21","+3.41","+3.41","+3.41","+3.41","+3.41","+3.41"
"52","6669","緯穎","4890","-200","-3.93","05/19","-0.07","-0.05","-0.07","+0.21","+1.61","+3.88","+3.21","+1.9","+1.78","+4.16","","+1.52"
"53","9958","世紀鋼","104","-1.5","-1.42","05/19","-0.02","-0.02","+0.1","+0.2","+0.2","+0.24","+0.23","+0.25","-0.33","+0.22","+0.23","+0.2"
"54","6139","亞翔","738","+17","+2.36","05/19","+0.09","+0.12","+0.18","+0.2","-0.03","-0.67","-1.2","-1.25","-0.32","+2.51","+2.63","-0.35"
"55","3167","大量","784","+71","+9.96","05/19","+0.37","+0.25","+0.18","+0.18","-1.41","-3.07","+1.52","+1.14","+8.84","+8.84","+8.8","-0.93"
"56","3706","神達","80.7","+0.6","+0.75","05/19","+0.18","+0.18","+0.18","+0.18","+0.18","+0.2","+0.2","-0.75","-0.11","+0.23","-1.14","+0.06"
"57","009803","玉山市值動能50","19.28","-0.42","-2.13","05/19","0","0","+0.18","+0.18","+0.18","+0.71","+0.71","+0.71","+0.71","","","+0.71"
"58","1477","聚陽","210","-3.5","-1.64","05/19","-0.01","-0.02","-0.01","+0.17","+0.67","-0.1","+0.23","-5.24","-0.96","+6.07","+6.82","-0.81"
"59","3675","德微","283.5","+25.5","+9.88","05/19","+0.17","+0.17","+0.17","+0.17","+0.17","-0.07","+0.67","+0.67","-0.9","-15","-1.82","+0.67"
"60","2472","立隆電","232","-3","-1.28","05/19","-0.01","+0.02","+0.06","+0.17","+1.28","+1.76","+1.56","+2.15","+1.11","+2.47","+2.8","-0.13"
"61","3551","世禾","200","-5.5","-2.68","05/19","0","0","+0.16","+0.16","+0.31","+0.54","-0.43","+1.32","+1.81","+1.5","+1.81","+0.24"
"62","2351","順德","173.5","-7","-3.88","05/19","+0.15","+0.15","+0.15","+0.15","+0.14","+0.31","+0.15","+0.31","+0.08","-2.89","-0.29","+0.31"
"63","00935","野村臺灣新科技50","51.3","-1.95","-3.66","05/19","+0.03","+0.05","+0.1","+0.15","+0.28","+0.3","-3.6","+3.1","+3.1","","","+3.1"
"64","3577","泓格","126.5","+8","+6.75","05/19","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15","+0.15"
"65","00864B","中信美國公債0-1","45.95","+0.02","+0.04","05/19","0","0","+0.15","+0.15","+0.15","+0.15","+0.15","-0.37","-1.54","+0.69","","-0.85"
