" "," ","#","股票代號/名稱","類別","20260417","0424","0430","0508","0515","0522"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","4916事欣科","電腦週邊","4.81","2.59","-1.46","0.70","0.88","11.94"," ","50","19.46"," ","48.16","98.30","-0.50"," "
" "," ","2","3048益登","電子通路","0.38","0.29","0.30","1.18","7.57","4.54"," ","30","14.26"," ","59.21","74.50","6.70"," "
" "," ","3","2492華新科","電子零組件","2.97","-0.25","-0.05","4.24","5.43","1.67"," ","30","14.01"," ","70.32","292.50","26.50"," "
" "," ","4","2464盟立","其他電子","0.92","8.53","4.92","-1.70","-0.89","1.77"," ","50","13.55"," ","47.35","144.00","8.00"," "
" "," ","5","2478大毅","電子零組件","3.76","0.59","-0.93","1.41","1.13","5.71"," ","31","11.67"," ","64.89","127.50","11.50"," "
" "," ","6","3057喬鼎","電腦週邊","8.63","0.00","0.00","1.02","1.23","0.04"," ","30","10.92"," ","33.20","19.75","0.60"," "
" "," ","7","3450聯鈞","半導體","5.16","-2.11","-3.58","3.92","7.73","-0.30"," ","30","10.82"," ","48.76","459.50","19.50"," "
" "," ","8","3481群創","光電","0.51","-2.01","-0.57","6.63","2.81","2.38"," ","10","9.75"," ","52.47","44.65","4.05"," "
" "," ","9","1597直得","電機","5.58","-1.75","2.91","3.63","0.14","-1.50"," ","10","9.01"," ","60.39","183.00","16.50"," "
" "," ","10","2233宇隆","汽車","0.21","0.29","2.17","5.57","-0.94","1.48"," ","31","8.78"," ","61.39","347.00","2.00"," "
" "," ","11","3033威健","電子通路","1.24","1.28","1.05","3.28","2.49","-0.67"," ","10","8.67"," ","41.41","53.90","1.40"," "
" "," ","12","8210勤誠","電腦週邊","3.28","2.04","-0.44","0.99","1.49","-0.02"," ","30","7.34"," ","73.21","1345.00","10.00"," "
" "," ","13","3016嘉晶","半導體","0.87","2.79","1.53","1.88","0.23","-0.07"," ","10","7.23"," ","79.43","121.00","5.50"," "
" "," ","14","8261富鼎","半導體","2.20","1.05","-0.95","-0.35","3.73","1.33"," ","30","7.01"," ","50.20","160.00","10.00"," "
" "," ","15","2375凱美","電子零組件","-1.46","-0.04","-1.23","1.32","0.61","7.80"," ","31","7.00"," ","35.13","134.50","12.00"," "
" "," ","16","3661世芯-KY","半導體","0.75","3.34","0.67","2.31","0.20","-0.64"," ","10","6.63"," ","38.85","4895.00","-10.00"," "
" "," ","17","6834天二科技","電子零組件","0.65","1.27","-0.05","0.93","-0.08","3.89"," ","31","6.61"," ","72.13","70.50","3.90"," "
" "," ","18","3413京鼎","半導體","3.25","0.01","-1.69","-0.57","2.66","2.87"," ","50","6.53"," ","47.43","325.00","-1.50"," "
" "," ","19","1582信錦","電子零組件","-1.34","-1.36","-0.97","-0.23","1.81","8.59"," ","50","6.50"," ","42.43","115.00","-2.50"," "
" "," ","20","2327國巨*","電子零組件","3.61","-0.51","0.44","1.38","0.24","1.34"," ","31","6.50"," ","75.15","629.00","57.00"," "
" "," ","21","6209今國光","光電","1.06","1.19","-1.11","3.97","-2.11","3.36"," ","31","6.36"," ","52.17","85.80","-0.90"," "
" "," ","22","6443元晶","光電","5.23","0.74","0.73","0.73","-0.91","-0.33"," ","31","6.19"," ","18.30","40.05","-0.05"," "
" "," ","23","3090日電貿","電子零組件","1.84","0.43","-1.43","2.88","-2.80","5.27"," ","31","6.19"," ","67.10","215.00","19.00"," "
" "," ","24","6449鈺邦","電子零組件","-0.04","0.14","-0.38","1.01","3.21","2.23"," ","30","6.17"," ","77.60","305.50","10.50"," "
" "," ","25","2376技嘉","電腦週邊","2.49","1.20","-0.04","1.85","0.71","-0.18"," ","10","6.03"," ","69.90","322.50","6.00"," "
" "," ","26","3006晶豪科","半導體","0.03","-0.94","1.19","2.53","7.22","-4.14"," ","30","5.89"," ","56.69","237.50","15.50"," "
" "," ","27","6414樺漢","電腦週邊","2.01","2.14","0.03","1.65","0.90","-0.89"," ","10","5.84"," ","65.16","350.50","3.00"," "
" "," ","28","2476鉅祥","電子零組件","1.11","2.72","0.15","0.59","-0.05","1.27"," ","31","5.79"," ","62.42","121.00","1.00"," "
" "," ","29","8438昶昕","綠能","0.86","1.86","0.41","-0.61","2.30","0.95"," ","30","5.77"," ","83.85","92.50","4.40"," "
" "," ","30","6141柏承","電子零組件","1.81","0.80","-0.03","-0.40","-0.88","4.36"," ","31","5.66"," ","50.10","34.00","0.00"," "
" "," ","31","2481強茂","半導體","4.27","-5.94","-2.26","0.86","8.03","0.41"," ","30","5.37"," ","66.07","133.50","1.00"," "
" "," ","32","4571鈞興-KY","電機","-0.01","-0.03","-0.01","0.82","-0.93","5.51"," ","31","5.35"," ","70.54","229.50","13.50"," "
" "," ","33","2401凌陽","半導體","0.86","2.00","-1.08","0.54","0.33","2.68"," ","31","5.33"," ","40.87","30.75","1.20"," "
" "," ","34","6658聯策","其他電子","-1.51","0.21","1.33","2.18","0.05","3.00"," ","31","5.26"," ","47.42","193.00","17.50"," "
" "," ","35","3035智原","半導體","-0.19","3.26","-1.55","0.11","0.67","2.91"," ","50","5.21"," ","33.21","211.00","3.00"," "
" "," ","36","6706惠特","光電","4.12","-5.58","5.27","1.94","-3.12","2.57"," ","31","5.20"," ","36.09","185.00","16.50"," "
" "," ","37","3704合勤控","通信網路","0.80","0.81","0.10","0.06","0.79","2.59"," ","50","5.15"," ","60.14","44.00","2.60"," "
" "," ","38","8114振樺電","電腦週邊","-0.21","1.04","-1.74","0.34","5.88","-0.17"," ","30","5.14"," ","50.66","236.50","-5.50"," "
" "," ","39","8926台汽電","油電燃氣","-0.07","0.18","0.02","0.48","0.25","4.25"," ","31","5.11"," ","65.55","60.90","-0.10"," "
" "," ","40","2351順德","半導體","0.35","1.19","-0.10","1.12","1.79","0.74"," ","30","5.09"," ","74.58","186.50","-5.50"," "
" "," ","41","2049上銀","電機","0.58","2.97","0.04","0.21","1.61","-0.36"," ","30","5.05"," ","70.47","376.50","3.00"," "
" "," ","42","2363矽統","半導體","0.31","1.16","-0.56","0.34","3.40","0.35"," ","30","5.00"," ","37.40","66.70","3.90"," "
" "," ","43","2356英業達","電腦週邊","0.69","0.95","0.15","0.97","1.66","0.57"," ","30","4.99"," ","73.31","59.50","5.40"," "
" "," ","44","2344華邦電","半導體","-0.70","0.27","0.88","3.04","3.85","-2.56"," ","30","4.78"," ","69.64","125.00","11.00"," "
" "," ","45","3042晶技","電子零組件","5.93","0.73","-0.06","-1.28","-0.32","-0.23"," ","50","4.77"," ","65.84","176.00","16.00"," "
" "," ","46","3591艾笛森","光電","1.80","-1.64","0.37","1.38","0.80","2.05"," ","31","4.76"," ","52.80","26.75","0.75"," "
" "," ","47","1721三晃","化學","0.77","8.16","-2.01","1.34","-2.19","-1.32"," ","31","4.75"," ","42.17","29.00","-0.90"," "
" "," ","48","3305昇貿","其他電子","0.57","0.75","-1.22","1.54","3.66","-0.56"," ","30","4.74"," ","47.53","146.00","7.00"," "
" "," ","49","4722國精化","化學","-0.30","0.42","0.09","2.18","1.01","1.30"," ","31","4.70"," ","59.82","286.50","26.00"," "
" "," ","50","6715嘉基","電子零組件","0.71","-0.72","0.03","2.82","0.91","0.72"," ","10","4.47"," ","80.64","461.50","-15.50"," "
" "," ","51","2027大成鋼","鋼鐵","-0.68","-0.74","1.22","1.15","1.13","2.30"," ","31","4.38"," ","72.54","41.95","-0.40"," "
" "," ","52","5284jpp-KY","其他","2.92","-0.25","0.78","0.60","0.72","-0.51"," ","30","4.26"," ","58.13","410.00","19.00"," "
" "," ","53","2465麗臺","電腦週邊","1.47","1.94","-0.18","1.05","-0.18","0.15"," ","31","4.25"," ","36.27","85.90","2.80"," "
" "," ","54","6278台表科","光電","6.27","1.72","0.82","-0.39","-1.01","-3.16"," ","10","4.25"," ","69.74","245.00","22.00"," "
" "," ","55","3209全科","電子通路","1.32","0.61","0.35","1.01","1.11","-0.18"," ","30","4.22"," ","48.67","78.00","-1.10"," "
" "," ","56","3026禾伸堂","電子零組件","3.45","-0.24","-1.45","0.17","1.35","0.91"," ","30","4.19"," ","55.21","476.50","43.00"," "
" "," ","57","6282康舒","電子零組件","-0.74","0.34","0.19","0.68","1.42","2.27"," ","50","4.16"," ","47.77","57.40","3.80"," "
" "," ","58","2303聯電","半導體","1.27","0.98","-0.11","1.17","0.71","-0.12"," ","10","3.90"," ","78.73","114.00","-2.00"," "
" "," ","59","2438翔耀","光電","-0.02","0.00","0.01","-0.02","3.85","-0.01"," ","30","3.81"," ","58.52","22.00","0.00"," "
" "," ","60","6224聚鼎","電子零組件","1.70","0.11","-0.52","3.76","-1.14","-0.13"," ","31","3.78"," ","38.87","86.10","2.70"," "
" "," ","61","4919新唐","半導體","3.65","2.22","-0.24","-0.38","-3.94","2.38"," ","31","3.69"," ","66.90","199.50","18.00"," "
" "," ","62","8016矽創","半導體","0.15","0.44","-0.53","1.80","2.15","-0.40"," ","30","3.61"," ","45.07","292.00","-5.50"," "
