排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00988A,主動統一全球創新,20.36,1.18,6.15,108501,05/22,-10010,-4555,12534,12931,42628.0,43191.0,43687.0,41416.0,,43733.0
2,3481,群創,44.65,4.05,9.98,388362,05/22,2202,5946,4894,8059,4960.0,17364.0,10039.0,20897.0,21784.0,13266.0
3,3033,威健,53.9,1.4,2.67,24025,05/22,-132,176,1014,2280,2883.0,3310.0,3193.0,3227.0,2908.0,3225.0
4,6207,雷科,89.9,1.2,1.35,29966,05/22,-274,369,476,2022,2390.0,2639.0,2601.0,2618.0,2723.0,2638.0
5,9105,泰金寶-DR,6.75,0.61,9.93,129476,05/22,891,1700,1700,1697,1695.0,1548.0,1638.0,1652.0,950.0,1573.0
6,4919,新唐,199.5,18.0,9.92,42518,05/22,-495,197,770,1318,3016.0,3855.0,5386.0,5403.0,5357.0,5458.0
7,8027,鈦昇,244.5,3.0,1.24,15335,05/22,1099,1161,1169,1111,1172.0,1434.0,1240.0,1317.0,1221.0,1028.0
8,2327,國巨*,629.0,57.0,9.97,73992,05/22,389,546,568,953,1016.0,1069.0,1684.0,1472.0,1749.0,1679.0
9,3090,日電貿,215.0,19.0,9.69,9231,05/22,-264,82,721,847,930.0,936.0,897.0,911.0,877.0,862.0
10,2312,金寶,33.1,3.0,9.97,134951,05/22,462,723,771,821,791.0,480.0,828.0,792.0,290.0,759.0
11,6116,彩晶,11.85,1.05,9.72,101107,05/22,607,964,899,785,1439.0,1503.0,1197.0,1601.0,1582.0,1454.0
12,3702,大聯大,118.0,-5.5,-4.45,15708,05/22,-324,266,514,617,1065.0,1298.0,1266.0,1296.0,935.0,1289.0
13,6509,聚和,50.1,0.95,1.93,5975,05/22,216,582,616,616,690.0,724.0,711.0,693.0,712.0,729.0
14,6770,力積電,63.8,4.7,7.95,218295,05/22,490,584,723,596,749.0,74.0,2204.0,-17065.0,2375.0,-13840.0
15,6209,今國光,85.8,-0.9,-1.04,40358,05/22,-695,156,373,583,626.0,668.0,259.0,-863.0,675.0,-3065.0
16,00403A,主動統一升級50,10.2,0.19,1.9,541477,05/22,33,5,14,563,1228.0,,,,,
17,2489,瑞軒,51.4,4.6,9.83,29542,05/22,158,428,555,557,46.0,110.0,524.0,849.0,759.0,848.0
18,2436,偉詮電,77.6,2.8,3.74,12501,05/22,311,344,419,539,486.0,1051.0,2627.0,2692.0,2194.0,2696.0
19,1717,長興,83.0,3.3,4.14,67986,05/22,134,-191,-176,527,472.0,863.0,476.0,536.0,863.0,598.0
20,2484,希華,49.3,4.45,9.92,34513,05/22,292,367,475,520,448.0,525.0,521.0,523.0,515.0,523.0
21,2375,凱美,134.5,12.0,9.8,28362,05/22,41,247,448,470,551.0,664.0,592.0,253.0,696.0,439.0
22,2481,強茂,133.5,1.0,0.75,50103,05/22,-37,13,4,464,594.0,628.0,505.0,148.0,733.0,446.0
23,4916,事欣科,98.3,-0.5,-0.51,50433,05/22,-434,-35,276,464,499.0,466.0,239.0,304.0,-1345.0,220.0
24,2478,大毅,127.5,11.5,9.91,3700,05/22,72,233,372,459,463.0,493.0,505.0,407.0,514.0,478.0
25,2324,仁寶,31.5,1.15,3.79,199926,05/22,121,460,510,458,577.0,-307.0,315.0,47.0,-428.0,192.0
26,2356,英業達,59.5,5.4,9.98,122965,05/22,488,519,460,448,524.0,636.0,315.0,-746.0,-1402.0,304.0
