排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00660,元大歐洲50,43.99,0.29,0.66,13,05/25,,-100.0,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0
2,00730,富邦臺灣優質高息,27.89,0.55,2.01,376,05/25,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,3058,立德,8.26,-0.16,-1.9,1116,05/25,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,6655,科定,131.5,-1.0,-0.75,12,05/25,-100.0,,,-100.0,,,,-100.0,-100.0,
5,9905,大華,20.75,0.05,0.24,129,05/25,-43.6,-49.2,-88.3,-88.3,-87.2,-81.0,-69.6,-76.9,-82.9,-71.3
6,00668,國泰美國道瓊,58.4,0.4,0.69,43,05/25,0.0,0.0,-92.4,-86.5,-91.9,-16.7,25.0,-85.7,-95.2,-91.8
7,009814,富邦標普500,11.02,0.06,0.55,1281,05/25,0.0,0.0,-80.4,-84.7,-65.4,-75.0,-60.9,,,-62.5
8,4767,誠泰科技,26.85,0.1,0.37,6,05/25,0.0,0.0,0.0,-75.0,-75.0,-75.0,-95.7,-91.7,-97.1,-92.3
9,00972,野村日本動能高息,19.25,-0.03,-0.16,87,05/25,0.0,0.0,-72.7,-72.7,-72.7,0.0,,50.0,-97.4,-88.0
10,00865B,國泰US短期公債,47.91,-0.06,-0.13,3386,05/25,-9.17,-9.17,-72.0,-72.0,-73.2,-72.0,1550.0,,,607.0
11,00646,元大S&P500,74.65,0.4,0.54,4398,05/25,3.85,3.85,-71.1,-61.7,-58.1,-22.9,-40.0,-60.0,-84.8,-70.2
12,2430,燦坤,18.45,0.15,0.82,190,05/25,-67.5,-64.9,-58.6,-58.1,-40.4,-7.14,-11.0,-17.7,-64.5,-16.7
13,00923,群益台ESG低碳50,40.53,1.66,4.27,4282,05/25,-2.86,-3.64,-2.86,-56.2,-71.7,-24.0,-89.5,177.0,-54.7,162.0
14,00878,國泰永續高股息,29.48,1.21,4.28,142122,05/25,-22.8,-33.6,-46.4,-54.1,-26.7,17.8,-8.35,-45.7,-74.6,-20.0
15,1219,福壽,12.45,0.0,0.0,598,05/25,-10.9,-21.2,-31.9,-52.5,-59.7,-31.0,-49.0,-19.1,-69.8,-26.6
16,5538,東明-KY,34.45,0.45,1.32,26,05/25,0.0,-11.8,-42.3,-51.6,-16.7,-48.3,-78.6,-77.9,-85.3,-77.9
17,9910,豐泰,67.8,-0.9,-1.31,2260,05/25,3.18,-25.3,-51.2,-51.0,-37.6,-12.3,120.0,249.0,236.0,344.0
18,009806,台新標普500,13.19,0.06,0.46,63,05/25,0.0,0.0,0.0,-50.0,,,100.0,,,
19,00966B,統一ESG投等債15+,13.88,0.06,0.43,257,05/25,0.0,-39.5,-39.5,-45.3,-38.8,-45.3,-42.9,-44.1,-78.8,-60.0
20,4554,橙的,31.3,-0.5,-1.57,79,05/25,6.82,-2.08,-11.3,-44.7,38.2,88.0,74.1,,,327.0
21,00961,FT臺灣永續高息,11.93,0.36,3.11,4781,05/25,-36.7,-37.8,-36.5,-44.6,13.5,77.3,220.0,26.9,4190.0,70.9
22,2801,彰銀,20.2,-0.1,-0.49,29063,05/25,-7.18,-27.2,-34.7,-42.9,-19.4,-10.3,10.3,11.3,-5.91,29.0
23,00888,永豐台灣ESG,33.16,1.6,5.07,7069,05/25,-6.47,-10.1,-15.4,-40.7,-51.9,-86.5,2067.0,319.0,319.0,160.0
24,6971,惠民實業,27.6,-0.3,-1.08,42,05/25,0.0,3.12,3.12,-40.0,43.5,37.5,,,,
25,00786B,元大10年IG銀行債,32.3,0.17,0.53,226,05/25,0.0,-11.1,-38.5,-38.5,-38.5,-38.5,-46.7,-46.7,-60.0,-46.7
