排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2881,富邦金,110.0,0.0,0.0,05/28,-8565,-24003,-25785,-40716,-68336,-108724.0,16914.0,-54415.0,130060.0,-1817.0
2,2882,國泰金,84.8,-0.6,-0.7,05/28,-6689,-14961,-17811,-36457,-61880,-96283.0,46544.0,-161220.0,77950.0,-10482.0
3,00403A,主動統一升級50,10.47,-0.31,-2.88,05/28,1577,-23541,-19632,-33839,-5447,,,,,
4,2312,金寶,37.7,0.35,0.94,05/28,-2175,-8650,-11053,-29167,-32842,-41645.0,-8911.0,-68741.0,30533.0,-77240.0
5,00878,國泰永續高股息,30.0,-0.55,-1.8,05/28,-1724,-2099,-1846,-27381,-8168,-11309.0,10302.0,-31641.0,-67139.0,995.0
6,1802,台玻,70.4,-2.4,-3.3,05/28,-7144,-28151,-24191,-22687,-1151,24802.0,40970.0,-7514.0,25937.0,-15049.0
7,1717,長興,82.4,-2.1,-2.49,05/28,-3836,-8189,-17757,-19658,-8513,-230.0,19559.0,16814.0,49493.0,27728.0
8,9105,泰金寶-DR,8.51,-0.05,-0.58,05/28,1328,-4073,-9253,-18126,-15637,-16540.0,-4138.0,-16351.0,7347.0,-18271.0
9,2891,中信金,59.3,0.1,0.17,05/28,-6020,-10483,-15990,-17222,-45648,-50192.0,198731.0,95791.0,124029.0,152886.0
10,00891,中信關鍵半導體,35.36,-0.9,-2.48,05/28,-77,-355,-355,-14392,-10074,11775.0,13928.0,9219.0,7201.0,16501.0
11,2449,京元電子,320.0,4.5,1.43,05/28,-11300,-15846,-15215,-12834,3275,20170.0,76412.0,44319.0,66476.0,74253.0
12,2317,鴻海,263.0,-1.0,-0.38,05/28,389,-5331,-5968,-12110,-17336,-73020.0,12477.0,8292.0,-30583.0,22847.0
13,00631L,元大台灣50正2,34.47,-1.26,-3.53,05/28,3886,-1681,-7810,-10798,-21661,-10534.0,315546.0,312330.0,307020.0,315055.0
14,1303,南亞,90.5,-5.0,-5.24,05/28,-1540,-4568,-6406,-10189,-2603,-2886.0,-9726.0,-95172.0,-159736.0,-120108.0
15,00940,元大台灣價值高息,11.73,-0.14,-1.18,05/28,-389,-1102,-1131,-9913,-6600,-3934.0,45215.0,11388.0,43276.0,61758.0
16,1605,華新,36.0,-1.5,-4.0,05/28,48,-7180,-7659,-8110,-13198,-6848.0,-52927.0,-106542.0,60757.0,-116471.0
17,00680L,元大美債20正2,6.74,-0.07,-1.03,05/28,-8000,-7999,-7500,-7500,-7500,-13804.0,-45547.0,-85630.0,-122989.0,-74071.0
18,4958,臻鼎-KY,486.0,-46.0,-8.65,05/28,-430,-1087,-2231,-7447,-8945,-4692.0,14514.0,-27559.0,4330.0,12059.0
19,2646,星宇航空,20.05,0.0,0.0,05/28,-986,-1875,-6520,-7330,-6019,-9892.0,1860.0,17303.0,84510.0,15304.0
20,2409,友達,21.2,-0.6,-2.75,05/28,1976,-1024,5414,-6888,-6950,-5650.0,12180.0,494886.0,571592.0,516160.0
21,009816,凱基台灣TOP50,14.8,-0.35,-2.31,05/28,463,4541,5964,-6846,4850,52218.0,74080.0,,,
22,3062,建漢,29.4,0.2,0.68,05/28,-879,-3575,-4512,-6297,-7152,-1455.0,-4148.0,-11253.0,2828.0,-12463.0
23,00991A,主動復華未來50,19.1,-0.64,-3.24,05/28,1442,8514,8514,-6182,-111,11850.0,93862.0,,,100246.0
24,6125,廣運,65.6,-0.2,-0.3,05/28,-1970,-5082,-5614,-5948,-6042,-5321.0,-4023.0,34.0,-1145.0,-3971.0
25,00937B,群益ESG投等債20+,14.72,-0.04,-0.27,05/28,0,-4999,-4999,-5752,-136,-9724.0,8903.0,-44697.0,-64898.0,-30560.0
26,4927,泰鼎-KY,57.3,-1.3,-2.22,05/28,-1792,-3884,-4637,-5614,-4605,-1333.0,252.0,-2311.0,5420.0,-1861.0
27,6239,力成,357.5,17.0,4.99,05/28,-1196,-2027,-3217,-5519,-9291,-3128.0,18606.0,5786.0,2605.0,16181.0
28,2027,大成鋼,41.75,-0.7,-1.65,05/28,-2231,-7233,-6932,-5383,-25789,-63740.0,7398.0,64604.0,67115.0,28990.0
29,2369,菱生,39.75,-0.4,-1.0,05/28,-418,-2315,-3564,-5158,-4687,-8990.0,-7578.0,-9409.0,-591.0,-5793.0
30,3715,定穎投控,171.0,-8.0,-4.47,05/28,-1676,-3289,-4375,-4977,-602,-241.0,-2946.0,11640.0,1801.0,2104.0
31,2328,廣宇,53.0,-0.8,-1.49,05/28,-731,-2175,-3658,-4936,-7458,-3000.0,-8131.0,-12130.0,24635.0,-13625.0
32,00980A,主動野村臺灣優選,23.67,-0.91,-3.7,05/28,-9,49,49,-4825,-2864,2903.0,2425.0,673.0,5636.0,1802.0
33,3005,神基,103.0,0.0,0.0,05/28,-1297,-2083,-2553,-4806,-3429,-2810.0,31971.0,32891.0,29086.0,33303.0
34,00992A,主動群益科技創新,18.01,-0.74,-3.95,05/28,-41,-124,-494,-4734,-602,-625.0,36832.0,,,38739.0
35,00982A,主動群益台灣強棒,23.81,-0.71,-2.9,05/28,600,-992,-942,-4678,2936,14719.0,52484.0,42620.0,61082.0,50035.0
36,6548,長科*,66.4,5.3,8.67,05/28,-2661,-3921,-3962,-4356,-4151,-624.0,6178.0,6716.0,9767.0,2002.0
37,6282,康舒,57.7,-1.7,-2.86,05/28,-1970,-760,-3710,-4280,-3358,-10628.0,427.0,-4523.0,4887.0,-25423.0
38,3019,亞光,149.5,0.0,0.0,05/28,-418,-1595,-2266,-4157,-3931,-4228.0,-3738.0,-613.0,11438.0,1496.0
39,1609,大亞,35.9,-0.85,-2.31,05/28,119,-2118,-2219,-3988,-2848,1955.0,6531.0,-4440.0,-2827.0,-6426.0
40,5371,中光電,70.1,-1.4,-1.96,05/28,-805,-1837,-2376,-3713,-3431,-1694.0,-2222.0,-2784.0,7714.0,-1209.0
41,2609,陽明,52.3,-0.3,-0.57,05/28,-1616,-2738,-2554,-3614,1295,9127.0,94401.0,-20015.0,144334.0,34993.0
42,3305,昇貿,158.0,-2.0,-1.25,05/28,-1114,-1812,-2333,-3507,-3135,-2902.0,-5105.0,-4030.0,746.0,-5317.0
43,2495,普安,47.35,-3.25,-6.42,05/28,208,-1209,-2131,-3474,-2807,1783.0,-6495.0,-3145.0,2136.0,-8551.0
44,3376,新日興,205.0,-7.0,-3.3,05/28,-302,-1189,-2407,-3441,-3309,-1955.0,-738.0,2751.0,7559.0,4858.0
45,2313,華通,259.0,-23.0,-8.16,05/28,-334,-1039,-1971,-3233,-7018,-9567.0,2854.0,4432.0,-15127.0,-4277.0
46,2436,偉詮電,76.8,-1.3,-1.66,05/28,-384,-1309,-2954,-3102,-2558,-1406.0,3819.0,4753.0,10321.0,4081.0
