"115年05月29日 鉅額交易日成交資訊-單一證券 (元/股)
  "
"證券代號","證券名稱","交易別","成交價","成交股數","成交金額",
"1216","統一","配對交易","71.80","524,000","37,623,200",
"1233","天仁","配對交易","28.00","1,056,000","29,568,000",
"1504","東元","配對交易","75.00","2,312,000","173,400,000",
"2303","聯電","配對交易","144.50","3,043,000","439,713,500",
"2317","鴻海","配對交易","289.00","109,000","31,501,000",
"2317","鴻海","配對交易","284.22","66,000","18,758,520",
"2327","國巨*","配對交易","738.00","29,000","21,402,000",
"2330","台積電","配對交易","2,367.50","56,000","132,580,000",
"2330","台積電","配對交易","2,355.84","23,400","55,126,656",
"2330","台積電","配對交易","2,355.83","73,000","171,975,590",
"2330","台積電","配對交易","2,355.82","57,600","135,695,232",
"2330","台積電","配對交易","2,355.00","12,481,900","29,394,874,500",
"2330","台積電","配對交易","2,330.00","2,100,000","4,893,000,000",
"2345","智邦","配對交易","2,430.00","114,000","277,020,000",
"2368","金像電","配對交易","1,320.00","65,000","85,800,000",
"2382","廣達","配對交易","327.25","400,000","130,900,000",
"2383","台光電","配對交易","5,120.00","66,000","337,920,000",
"2385","群光","配對交易","135.50","410,000","55,555,000",
"2412","中華電","配對交易","137.00","726,000","99,462,000",
"2449","京元電子","配對交易","328.50","264,000","86,724,000",
"2454","聯發科","配對交易","4,331.60","30,333","131,390,423",
"2454","聯發科","配對交易","4,331.57","21,667","93,852,127",
"2454","聯發科","配對交易","4,310.00","737,000","3,176,470,000",
"2474","可成","配對交易","203.50","181,000","36,833,500",
"2603","長榮","配對交易","213.00","410,000","87,330,000",
"2633","台灣高鐵","配對交易","24.85","3,878,000","96,368,300",
"2880","華南金","配對交易","30.50","1,257,000","38,338,500",
"2886","兆豐金","配對交易","40.00","1,047,000","41,880,000",
"2887","台新新光金","配對交易","23.35","4,981,000","116,306,350",
"2912","統一超","配對交易","214.75","2,977,000","639,310,750",
"3017","奇鋐","配對交易","2,665.00","102,000","271,830,000",
"3034","聯詠","配對交易","477.00","118,000","56,286,000",
"3037","欣興","配對交易","1,057.50","26,000","27,495,000",
"3037","欣興","配對交易","1,055.00","31,000","32,705,000",
"3044","健鼎","配對交易","521.50","39,000","20,338,500",
"3231","緯創","配對交易","158.50","1,542,000","244,407,000",
"3653","健策","配對交易","3,545.00","17,000","60,265,000",
"3665","貿聯-KY","配對交易","2,085.00","29,000","60,465,000",
"3711","日月光投控","配對交易","612.76","29,000","17,770,040",
"3711","日月光投控","配對交易","612.73","57,000","34,925,610",
"4722","國精化","配對交易","299.00","140,000","41,860,000",
"4938","和碩","配對交易","88.50","569,000","50,356,500",
"4958","臻鼎-KY","配對交易","515.00","408,000","210,120,000",
"總計","","","","42,602,900","42,195,502,798",
"說明:"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。"

