排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00910,第一金太空衛星,79.85,-5.1,-6.0,06/01,33.5,33.5,33.5,376.0,415.0,78.7,16.4,19.4,2.11,25.6
2,7751,竑騰,1670.0,-160.0,-8.74,06/01,133.0,133.0,133.0,133.0,115.0,-12.5,-51.7,-45.1,,-40.4
3,6899,創為精密,64.1,-2.0,-3.03,06/01,1.72,5.36,96.7,127.0,269.0,293.0,293.0,78.8,63.9,78.8
4,2330,台積電,2380.0,25.0,1.06,06/01,39.3,127.0,130.0,124.0,135.0,158.0,553.0,178.0,-45.4,367.0
5,4908,前鼎,232.0,4.5,1.98,06/01,0.56,4.13,22.9,108.0,150.0,131.0,-20.4,-3.25,3.91,-11.9
6,1597,直得,169.5,-11.0,-6.09,06/01,16.5,49.6,45.1,92.8,61.0,1.74,9.45,-43.9,-42.7,-36.6
7,3017,奇鋐,2700.0,-85.0,-3.05,06/01,6.63,41.6,77.4,86.5,149.0,922.0,242.0,41.1,-56.6,81.6
8,6223,旺矽,5515.0,-165.0,-2.9,06/01,16.9,24.4,41.9,85.9,127.0,126.0,99.6,21.2,-58.2,13.9
9,2916,滿心,43.35,-0.1,-0.23,06/01,21.9,34.7,47.1,85.5,91.0,100.0,100.0,70.7,-46.0,117.0
10,5471,松翰,52.6,-0.5,-0.94,06/01,9.3,34.4,74.6,78.1,57.6,60.9,149.0,113.0,117.0,146.0
11,2426,鼎元,71.5,-5.5,-7.14,06/01,12.3,36.1,60.5,73.1,64.8,32.7,160.0,373.0,108.0,326.0
12,1530,亞崴,32.5,-1.6,-4.69,06/01,7.8,33.6,54.4,72.8,72.8,70.1,103.0,24.2,27.7,79.7
13,4991,環宇-KY,702.0,-33.0,-4.49,06/01,20.8,75.2,69.7,71.1,60.1,36.6,8.43,-57.2,-72.3,16.9
14,1785,光洋科,144.0,-13.0,-8.28,06/01,7.5,14.7,24.2,68.4,38.6,276.0,254.0,188.0,48.7,253.0
15,009819,中信數據及電力,11.05,0.26,2.41,06/01,64.9,64.9,64.9,64.9,2.55,11.8,,,,
16,2880,華南金,34.05,1.2,3.65,06/01,11.7,19.2,31.4,63.7,140.0,163.0,219.0,3224.0,205.0,235.0
17,4951,精拓科,121.0,-2.5,-2.02,06/01,-2.07,-4.05,-4.54,62.3,87.5,156.0,242.0,150.0,266.0,141.0
18,4556,旭然,39.05,-0.9,-2.25,06/01,2.15,6.74,28.4,61.0,90.0,111.0,228.0,428.0,217.0,428.0
19,2801,彰銀,20.6,0.15,0.73,06/01,3.69,13.0,27.1,57.9,112.0,215.0,151.0,113.0,68.1,183.0
20,6151,晉倫,44.0,-1.6,-3.51,06/01,1.52,5.76,15.2,57.4,114.0,160.0,96.5,61.5,65.9,66.3
21,2345,智邦,2425.0,-85.0,-3.39,06/01,4.21,33.0,51.0,55.5,56.2,76.7,-2.76,-70.2,-20.9,-30.5
22,6259,百徽,26.6,0.05,0.19,06/01,3.65,6.77,16.4,54.3,73.2,84.4,246.0,,0.0,1478.0
23,7792,安葆,290.5,-4.5,-1.53,06/01,45.0,52.6,52.6,52.6,45.0,480.0,,,,
24,8050,廣積,60.0,1.3,2.21,06/01,8.2,21.7,42.1,52.3,53.4,49.0,99.3,72.5,80.7,125.0
25,00903,富邦元宇宙,23.25,0.42,1.84,06/01,0.0,0.0,0.0,51.8,87.4,256.0,310.0,-49.3,-68.6,14.0
26,2481,強茂,146.0,-11.0,-7.01,06/01,17.1,32.8,43.1,50.5,109.0,32.7,-7.69,-64.1,23.7,-66.0
27,6167,久正,12.25,0.35,2.94,06/01,1.79,6.17,18.7,50.2,52.9,114.0,88.7,129.0,93.4,109.0
28,2548,華固,104.5,-10.0,-8.73,06/01,9.0,21.1,34.9,49.8,93.3,89.9,88.7,42.0,73.9,121.0
29,2867,三商壽,7.79,0.16,2.1,06/01,1.63,4.82,21.9,49.4,102.0,263.0,,,,
30,6944,兆聯實業,900.0,-32.0,-3.43,06/01,-1.07,7.67,21.2,48.5,62.3,70.4,205.0,112.0,,242.0
31,00915,凱基優選高股息30,30.15,0.43,1.45,06/01,1.92,48.0,48.1,48.1,15.7,17.9,317.0,76.5,-33.5,86.9
32,3016,嘉晶,118.5,-7.5,-5.95,06/01,15.3,32.2,41.4,47.0,43.0,26.9,-47.9,-65.6,-20.0,-62.6
33,6672,騰輝電子-KY,215.5,-4.5,-2.05,06/01,1.31,3.08,9.21,45.8,88.5,50.8,119.0,102.0,159.0,88.7
34,3691,碩禾,159.0,-10.5,-6.19,06/01,17.6,20.5,32.0,45.6,38.3,113.0,70.2,73.4,26.8,110.0
35,6409,旭隼,742.0,29.0,4.07,06/01,8.95,18.6,32.5,45.6,89.3,341.0,444.0,996.0,1575.0,732.0
36,6971,惠民實業,27.1,0.05,0.18,06/01,0.0,0.0,45.5,45.5,45.5,,,,,
37,6735,美達科技,99.6,-4.4,-4.23,06/01,3.31,26.3,28.3,45.4,88.2,66.8,61.4,-2.73,181.0,-1.19
38,5285,界霖,90.6,1.2,1.34,06/01,9.95,31.9,33.2,44.2,92.8,52.1,23.0,17.0,33.7,5.39
39,6442,光聖,1880.0,-5.0,-0.27,06/01,2.78,17.1,16.9,43.9,32.9,49.5,21.9,-38.4,-34.7,-37.0
40,6261,久元,108.0,-10.5,-8.86,06/01,10.7,22.0,20.1,43.6,68.2,150.0,720.0,491.0,173.0,682.0
41,00901,永豐智能車供應鏈,47.53,-0.15,-0.31,06/01,12.6,12.6,41.8,42.0,42.6,30.6,34.0,-19.1,-9.33,37.8
42,6719,力智,240.5,-3.0,-1.23,06/01,0.51,6.37,12.4,42.0,65.3,41.8,174.0,327.0,84.5,347.0
43,6727,亞泰金屬,536.0,-20.0,-3.6,06/01,7.34,9.86,49.0,41.0,3.54,121.0,17.6,192.0,0.0,172.0
44,00715L,期街口布蘭特正2,53.7,1.15,2.19,06/01,40.8,40.8,40.8,40.8,23.6,-66.4,-81.4,,-98.1,-95.9
45,6234,高僑,47.25,-2.05,-4.16,06/01,4.59,8.16,13.6,40.8,55.9,32.3,32.9,50.7,34.7,6.5
46,8016,矽創,302.0,-7.0,-2.27,06/01,7.51,22.6,29.2,38.7,57.3,36.1,47.9,15.2,36.3,10.8
47,8064,東捷,157.0,0.0,0.0,06/01,-0.88,13.9,24.0,38.7,66.9,37.4,58.1,-4.48,-42.6,10.4
48,00992A,主動群益科技創新,18.14,-0.43,-2.32,06/01,9.78,40.2,40.0,38.4,34.6,36.4,1410.0,,,5470.0
49,5457,宣德,30.95,0.9,3.0,06/01,-0.13,0.85,7.15,36.9,55.4,65.2,48.3,20.6,32.7,29.0
50,6161,捷波,56.7,-1.7,-2.91,06/01,5.42,14.2,29.0,36.9,82.0,85.2,54.0,22.4,662.0,105.0
51,2355,敬鵬,60.1,-0.1,-0.17,06/01,16.6,19.2,24.3,36.4,83.0,97.4,8.82,-13.8,68.9,-9.54
52,5299,杰力,110.5,-4.5,-3.91,06/01,-0.89,-1.11,-0.45,36.3,62.0,84.7,91.0,68.7,64.3,72.6
53,7714,創泓科技,125.0,-0.5,-0.4,06/01,-5.77,4.26,6.52,36.1,8.89,4.26,16.7,,,308.0
54,6907,雅特力-KY,127.5,-0.5,-0.39,06/01,9.52,13.1,19.0,35.3,32.7,72.5,,,,
55,3168,眾福科,48.25,-0.7,-1.43,06/01,2.56,2.56,9.09,34.8,36.4,81.8,173.0,62.2,103.0,179.0
56,3374,精材,254.5,-6.0,-2.3,06/01,3.99,19.3,24.7,34.3,17.1,71.0,27.1,-46.4,-32.2,-33.8
57,3025,星通,72.1,-0.4,-0.55,06/01,3.66,9.05,8.42,34.3,40.3,32.5,-3.96,-16.1,-1.34,-33.6
58,6441,廣錠,24.0,-0.3,-1.23,06/01,2.31,3.8,10.6,32.0,45.2,73.2,172.0,177.0,105.0,185.0
59,6197,佳必琪,311.0,2.0,0.65,06/01,2.22,2.69,17.2,31.9,67.8,0.03,-10.5,-16.6,11.8,-12.5
60,2887,台新新光金,26.1,1.5,6.1,06/01,4.74,17.9,24.9,31.6,33.1,-1.28,142.0,387.0,-76.4,26.3
61,6703,軒郁,110.0,0.5,0.46,06/01,2.04,6.37,11.9,31.5,42.7,82.5,-0.1,-2.68,-26.2,-2.68
62,2476,鉅祥,119.0,-3.0,-2.46,06/01,0.47,5.26,8.9,31.4,31.4,39.2,-8.22,-26.8,7.68,-18.7
63,2301,光寶科,227.5,-7.0,-2.99,06/01,0.0,4.07,10.7,31.2,51.1,-35.3,102.0,72.8,63.6,402.0
64,6603,富強鑫,23.8,-1.1,-4.42,06/01,7.41,17.1,19.6,31.2,42.6,48.5,90.7,208.0,186.0,187.0
65,2753,八方雲集,179.0,2.0,1.13,06/01,2.05,8.34,17.2,31.1,111.0,199.0,280.0,283.0,130.0,378.0
66,7547,碩網,63.1,-0.3,-0.47,06/01,5.36,22.9,25.5,31.1,40.5,34.1,,,,
67,7791,皇家可口,67.5,-0.5,-0.74,06/01,25.9,30.8,30.8,30.8,54.5,,,,,
68,1809,中釉,52.6,4.7,9.81,06/01,0.6,16.4,16.6,30.5,22.5,12.0,10.6,1.01,41.3,5.51
69,4746,台耀,52.3,-1.0,-1.88,06/01,1.37,3.37,16.7,30.2,47.4,108.0,188.0,188.0,89.0,205.0
70,6208,日揚,91.5,-1.3,-1.4,06/01,0.87,0.11,0.43,30.2,63.0,264.0,368.0,525.0,235.0,380.0
71,3264,欣銓,214.5,-8.5,-3.81,06/01,19.6,23.3,28.7,30.0,6.14,58.8,119.0,56.1,1.38,64.7
72,1595,川寶,76.4,-3.6,-4.5,06/01,0.84,6.39,7.66,29.6,43.8,71.0,164.0,34.3,209.0,41.5
73,6741,91APP*-KY,64.2,-0.1,-0.16,06/01,-0.92,3.48,15.4,29.2,39.8,53.7,49.3,72.3,66.1,114.0
74,7717,萊德光電-KY,646.0,-23.0,-3.44,06/01,3.2,6.61,13.2,29.0,16.2,222.0,659.0,,,
75,3430,奇鈦科,149.5,-14.5,-8.84,06/01,-1.51,0.44,5.43,28.8,58.9,104.0,56.4,69.8,143.0,18.1
76,6720,久昌,150.5,4.0,2.73,06/01,0.98,5.47,17.1,28.8,56.9,62.7,56.7,47.7,60.8,39.7
77,6698,旭暉應材,43.45,3.95,10.0,06/01,6.9,20.5,35.3,28.7,31.6,47.1,192.0,130.0,106.0,141.0
78,2434,統懋,35.9,-1.25,-3.36,06/01,13.4,25.7,28.3,28.3,29.6,71.6,92.4,388.0,408.0,234.0
79,5871,中租-KY,114.5,6.0,5.53,06/01,4.2,8.47,13.7,28.2,44.4,121.0,115.0,-44.7,4.39,-11.7
80,00757,統一FANG+,138.05,0.15,0.11,06/01,38.0,38.0,38.0,28.2,28.2,13.1,-24.3,-30.9,-45.2,26.2
81,00735,國泰臺韓科技,116.45,0.1,0.09,06/01,36.4,25.3,26.6,28.1,35.9,221.0,147.0,1566.0,511.0,807.0
82,2382,廣達,400.5,28.0,7.52,06/01,5.33,11.0,16.2,28.0,63.2,73.0,71.3,92.9,91.7,50.3
83,2360,致茂,2420.0,-160.0,-6.2,06/01,10.0,16.7,21.7,27.7,32.5,44.6,-6.26,-43.8,-16.0,-29.9
84,00877,復華中國5G,43.0,1.43,3.44,06/01,0.0,-4.53,20.2,27.5,10.1,-31.2,-5.66,-45.8,-51.6,-41.1
85,6531,愛普*,1075.0,-50.0,-4.44,06/01,11.1,33.4,25.1,27.1,74.5,69.7,11.0,17.6,-44.5,32.0
86,6725,矽科宏晟,327.5,2.0,0.61,06/01,0.83,2.52,5.17,27.1,22.0,47.0,52.5,,,
87,3714,富采,69.2,-2.4,-3.35,06/01,1.47,1.93,9.56,27.1,8.14,65.7,120.0,213.0,240.0,156.0
88,7788,松川精密,182.0,-7.5,-3.96,06/01,0.0,-8.33,-8.33,26.9,-10.8,22.2,,,,
89,5381,光譜,26.6,0.05,0.19,06/01,1.9,3.25,10.0,26.8,60.9,197.0,1084.0,-50.8,,-61.5
90,5536,聖暉*,998.0,-7.0,-0.7,06/01,0.55,6.4,20.1,26.7,17.4,-5.27,-37.4,52.7,337.0,-5.27
91,3105,穩懋,519.0,-11.0,-2.08,06/01,1.44,13.2,24.5,26.7,9.71,48.6,18.3,49.4,-47.9,15.5
92,6277,宏正,79.6,-1.4,-1.73,06/01,0.83,5.58,5.77,26.6,31.2,67.6,143.0,71.9,224.0,112.0
93,7738,東聯互動,171.0,-3.0,-1.72,06/01,1.52,17.5,24.1,26.4,55.8,168.0,738.0,,,
94,2393,億光,64.6,0.2,0.31,06/01,2.27,6.93,10.2,26.2,61.2,133.0,134.0,-43.1,-28.8,24.8
95,3135,凌航,240.0,-10.5,-4.19,06/01,-1.19,3.54,7.11,26.1,-11.4,-41.7,-41.2,,,31.1
96,00697B,元大美債7-10,35.53,0.17,0.48,06/01,0.0,0.52,23.6,26.0,149.0,304.0,304.0,79.6,-47.1,79.6
