排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00981A,主動統一台股增長,31.33,-0.37,-1.17,315230,06/02,-8457,-15008,-11154,-32800,-19533,-58327.0,111561.0,90750.0,163145.0,68167.0
2,00403A,主動統一升級50,10.7,-0.12,-1.11,506805,06/02,-210,-13465,-11184,-22101,-36197,,,,,
3,009816,凱基台灣TOP50,15.43,0.03,0.19,203206,06/02,95,-517,-896,-21720,3181,2144.0,7239.0,,,
4,6147,頎邦,281.0,-4.5,-1.58,68756,06/02,599,-1379,-256,-11475,-9333,-7939.0,43252.0,42813.0,43903.0,42929.0
5,2312,金寶,41.3,0.7,1.72,135198,06/02,-930,-289,1255,-11437,-4365,-9768.0,4945.0,-1810.0,250.0,-3893.0
6,00673R,期元大S&P原油反1,12.6,-0.22,-1.72,14830,06/02,-458,-4133,-8544,-11244,-18866,-1284.0,61214.0,93297.0,76322.0,91298.0
7,00992A,主動群益科技創新,18.14,-0.43,-2.32,78727,06/02,353,-972,-2999,-9014,-17072,-23993.0,32573.0,,,30476.0
8,00664R,國泰臺灣加權反1,1.64,-0.01,-0.61,24271,06/02,321,-3397,-4103,-7578,-11779,-7426.0,-4113.0,-10902.0,13837.0,-496.0
9,2408,南亞科,419.5,38.0,9.96,171632,06/02,-144,-3483,-3690,-6215,1749,-7805.0,-23204.0,-34785.0,63131.0,-48680.0
10,6456,GIS-KY,82.9,-1.0,-1.19,25277,06/02,-1888,-1124,-2151,-6028,-266,-2621.0,6003.0,11382.0,11370.0,10714.0
11,4919,新唐,211.0,3.0,1.44,3416,06/02,-1150,-1612,-1975,-5384,-2592,-2705.0,9561.0,11924.0,12694.0,11243.0
12,2371,大同,29.85,-0.4,-1.32,18002,06/02,-1915,-2737,-4076,-4605,-11936,-16308.0,-12788.0,-18621.0,-27865.0,-20931.0
13,8261,富鼎,167.5,-6.5,-3.74,8982,06/02,-1289,-2538,-1799,-3793,383,1607.0,3092.0,2482.0,4588.0,2691.0
14,1815,富喬,109.5,0.5,0.46,45397,06/02,-189,-12,633,-3668,-2399,4755.0,-3091.0,-13813.0,-4431.0,-16072.0
15,2892,第一金,28.15,0.4,1.44,57902,06/02,-420,-532,-3909,-3476,4001,-4286.0,7231.0,10107.0,11270.0,6069.0
16,2884,玉山金,32.2,0.75,2.38,78075,06/02,-491,-626,-3780,-3412,-2399,1916.0,5666.0,-4578.0,4645.0,-420.0
17,6116,彩晶,20.65,1.85,9.84,200560,06/02,-12491,-12534,-956,-3282,1703,1438.0,549.0,7065.0,4259.0,8392.0
18,00680L,元大美債20正2,6.94,0.1,1.46,23353,06/02,-886,-1499,-2520,-3167,-8614,-14225.0,-50965.0,-159710.0,-238982.0,-154530.0
19,2302,麗正,37.0,-1.25,-3.27,4372,06/02,-101,-58,366,-2758,556,1670.0,1431.0,1185.0,679.0,1264.0
20,1597,直得,169.5,-11.0,-6.09,4982,06/02,-642,-337,-587,-2748,-1790,-2863.0,2648.0,2361.0,2253.0,2420.0
21,00637L,元大滬深300正2,22.56,0.81,3.72,34418,06/02,-1564,1852,-2526,-2681,-10134,-12326.0,-52627.0,-40546.0,-157055.0,-35066.0
22,2883,凱基金,23.4,0.75,3.31,212718,06/02,-126,-1878,-1230,-2632,-32,2760.0,3.0,-10625.0,-18802.0,-2854.0
23,00753L,中信中國50正2,10.28,0.59,6.09,31696,06/02,-3545,-4202,-4824,-2609,1299,2659.0,-15.0,13507.0,-20269.0,6260.0
24,3645,達邁,101.5,-5.5,-5.14,5421,06/02,-172,-458,-289,-2589,-2242,-3808.0,-233.0,487.0,-578.0,834.0
25,00891,中信關鍵半導體,36.41,-0.01,-0.03,36108,06/02,-399,-1240,-1402,-2528,-8448,1386.0,1549.0,2156.0,2620.0,3242.0
