排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,1233,天仁,27.8,0.2,0.72,06/04,-13.8,-16.7,-16.4,-83.9,-77.5,-67.0,-45.3,-2.24,-0.57,1.39,-0.85,-6.87
2,00982B,FT投資級債20+,9.86,-0.05,-0.5,06/04,47.9,-71.6,-61.2,-73.4,-18.8,26.8,23.6,30.1,6.96,,,34.7
3,00984D,主動聯博全球非投,10.01,-0.02,-0.2,06/04,-59.7,-60.1,-57.7,-66.8,-74.2,-65.2,-50.6,,,,,
4,00712,復華富時不動產,8.68,-0.08,-0.91,06/04,-68.7,-69.7,-70.0,-60.6,-52.5,-40.9,-24.7,-7.86,-12.6,-15.0,,-12.2
5,00896,中信綠能及電動車,29.6,-0.48,-1.6,06/04,-75.9,-53.2,-65.1,-57.8,-52.0,-42.1,-15.5,-15.0,-11.1,-1.45,,-5.02
6,00735,國泰臺韓科技,115.25,-4.4,-3.68,06/04,-57.9,-59.1,-57.5,-55.5,-45.5,-35.8,-13.3,-24.0,-19.3,-15.8,,-24.4
7,00918,大華優利高填息30,30.88,-0.85,-2.68,06/04,-66.0,-61.7,-55.6,-52.5,-33.4,9.16,9.2,8.22,5.03,-20.9,,13.4
8,00865B,國泰US短期公債,47.88,0.1,0.21,06/04,-26.0,-45.1,-38.0,-51.4,-52.8,-44.8,-39.8,-38.9,-44.7,-39.6,,-39.3
9,00961,FT臺灣永續高息,13.27,-0.2,-1.48,06/04,-69.9,-62.1,-57.4,-49.6,-31.0,-30.1,-16.7,4.34,-6.75,,,-1.93
10,02001L,富邦蘋果正二N,175.25,-16.45,-8.58,06/04,-95.0,-75.7,-66.2,-47.8,-45.2,-49.8,-42.0,-25.9,-17.1,-5.85,,-29.3
11,5206,坤悅,22.3,0.65,3.0,06/04,-59.3,-56.0,-48.9,-47.5,-41.4,-24.0,-16.1,-7.83,-5.79,-0.6,-1.55,-13.5
12,00913,兆豐台灣晶圓製造,50.45,-1.0,-1.94,06/04,-40.7,-52.0,-47.7,-46.7,-32.8,-23.5,-2.53,-13.1,-8.19,-6.76,,-13.6
13,00910,第一金太空衛星,75.2,-4.8,-6.0,06/04,-53.8,-55.3,-44.9,-46.3,-34.7,-20.3,-10.5,-9.1,-11.7,-13.3,,-14.6
14,00662,富邦NASDAQ,123.05,-0.9,-0.73,06/04,-38.0,-52.8,-50.2,-45.0,-40.8,-30.9,-25.4,-28.9,-14.5,-20.0,,-27.9
15,00685L,群益臺灣加權正2,305.9,-7.2,-2.3,06/04,-63.1,-49.0,-48.3,-44.8,-48.8,-44.8,-27.5,-20.8,-12.9,-10.0,,-22.6
16,3158,嘉實,84.1,0.0,0.0,06/04,0.0,8.82,-68.8,-44.6,-28.3,-15.1,-0.18,-0.06,,,,0.17
17,020035,元大上櫃ESG高息N,14.62,-0.37,-2.47,06/04,0.0,-41.0,-41.9,-41.9,-17.3,-10.3,11.9,10.5,7.51,7.44,,1.01
18,00641R,富邦日本反1,3.85,0.05,1.32,06/04,-38.1,-39.4,-46.5,-37.6,6.61,-6.0,1.05,1.77,-2.91,-2.56,-2.54,3.33
19,00916,國泰全球品牌50,31.27,0.07,0.22,06/04,-32.2,-23.0,-39.1,-36.7,-31.7,-22.8,-8.32,-3.22,14.0,-3.53,,-4.09
20,00998A,主動復華金融股息,16.16,-0.12,-0.74,06/04,-79.7,-60.6,-57.5,-36.4,6.78,21.4,,,,,,
21,5234,達興材料,391.0,-8.0,-2.01,06/04,-56.5,-44.3,-41.6,-36.4,-9.82,-9.35,-3.15,1.04,0.72,0.17,0.46,1.23
22,5287,數字,146.5,1.0,0.69,06/04,10.3,-18.3,-20.4,-35.9,-31.8,-23.6,-22.3,-19.6,-13.0,-14.0,-2.53,-19.7
23,00990A,主動元大AI新經濟,20.7,-0.41,-1.94,06/04,-58.4,-38.1,-45.2,-35.4,-28.2,-22.3,-2.19,,,,,2.26
24,009816,凱基台灣TOP50,15.48,-0.26,-1.65,06/04,-51.9,-45.5,-43.1,-33.2,-25.7,-31.0,-18.7,,,,,
25,00955,中信日本商社,14.62,-0.18,-1.22,06/04,-12.2,-23.4,-11.3,-32.1,-23.7,9.75,-0.25,-19.4,-17.4,,,-17.2
26,00631L,元大台灣50正2,38.3,-0.92,-2.35,06/04,-58.1,-44.6,-39.5,-31.6,-16.7,-18.7,-17.2,-16.9,-15.4,-13.5,-8.88,-17.1
27,00935,野村臺灣新科技50,61.45,-1.2,-1.92,06/04,-49.2,-30.5,-34.6,-30.8,-29.0,-26.0,-20.0,-17.0,-11.2,,,-18.0
28,00919,群益台灣精選高息,30.52,-0.26,-0.84,06/04,-49.6,-42.1,-42.4,-30.8,-8.7,26.1,-0.69,9.08,-1.36,-25.4,,6.76
29,00963,中信全球高股息,12.55,-0.17,-1.34,06/04,-61.0,-55.4,-46.9,-30.6,-16.4,-20.3,0.65,0.07,-5.14,,,0.5
30,00938,凱基優選30,23.22,0.01,0.04,06/04,-66.6,-67.4,-53.8,-30.4,-9.38,-1.38,10.8,12.1,34.8,,,10.4
31,9907,統一實,16.8,0.05,0.3,06/04,-53.4,-39.0,-36.3,-30.4,-38.0,-33.6,-33.8,-15.0,-6.8,-2.85,-0.92,-14.3
32,00988A,主動統一全球創新,22.09,-0.57,-2.52,06/04,-56.2,-19.4,-22.8,-30.3,-27.0,-30.2,-29.0,-23.2,,,,-26.0
33,5534,長虹,74.2,0.6,0.82,06/04,-15.1,-20.2,-32.0,-30.0,-29.6,-27.6,-15.1,-10.9,-11.5,-1.08,-0.94,-17.0
34,00911,兆豐洲際半導體,64.7,-0.55,-0.84,06/04,-46.6,-34.6,-36.2,-29.1,-20.8,-22.8,6.78,-3.16,9.99,-4.77,,-2.87
35,00864B,中信美國公債0-1,45.7,0.06,0.13,06/04,-8.02,-15.8,-13.9,-29.1,-24.2,-34.5,-17.9,-12.2,-6.78,-8.35,,-14.5
36,6937,天虹,297.0,-1.0,-0.34,06/04,-18.6,-28.5,-30.1,-28.6,-1.24,-3.03,2.9,0.32,-0.46,,,-0.44
37,6103,合邦,39.4,0.0,0.0,06/04,0.0,0.0,0.0,-27.8,-22.9,-13.6,0.0,0.0,0.0,0.0,-0.12,0.0
38,009803,玉山市值動能50,22.28,-0.35,-1.55,06/04,-74.1,-51.4,-46.0,-27.6,-18.4,-8.83,-5.94,-13.8,-1.15,,,-8.81
39,009819,中信數據及電力,10.91,-0.64,-5.54,06/04,-59.6,-56.1,-47.2,-27.1,-2.86,-3.19,,,,,,
40,00719B,元大美債1-3,30.83,0.06,0.19,06/04,-11.3,-29.4,-20.0,-27.0,-29.0,-17.1,-10.9,-11.7,-3.43,-8.82,,-11.5
41,4749,新應材,1025.0,-45.0,-4.21,06/04,-33.5,-28.4,-24.0,-26.4,-8.26,-4.16,-2.2,-0.02,0.55,,,-0.58
42,6949,沛爾生醫-創,645.0,10.0,1.57,06/04,-39.1,-29.8,-32.6,-25.7,-12.6,-13.9,-6.83,-3.52,-1.19,,,2.42
43,6680,鑫創電子,56.2,0.0,0.0,06/04,-49.1,-17.6,-14.9,-25.6,-18.1,-3.66,-0.81,-1.23,-1.84,-0.43,,-1.3
44,4129,聯合,89.2,0.4,0.45,06/04,-29.4,-19.2,-23.4,-25.1,-35.4,-28.3,-21.5,-16.4,-2.79,-2.51,-0.71,-15.7
45,6854,錼創科技-KY創,143.5,2.0,1.41,06/04,-33.4,-30.0,-26.7,-24.9,-2.41,-4.46,-1.3,-1.39,-1.87,-0.53,,-2.56
46,4927,泰鼎-KY,53.0,1.0,1.92,06/04,-31.7,-24.7,-24.4,-24.9,4.16,-1.53,-1.61,-0.54,-0.44,-0.83,-0.24,-0.52
47,9904,寶成,26.4,-0.1,-0.38,06/04,-46.9,-42.8,-28.5,-24.8,-36.2,-34.6,-33.2,-19.3,-8.54,-2.88,-1.11,-19.7
48,2640,大車隊,158.0,-1.0,-0.63,06/04,6.58,-15.1,-37.7,-24.6,-13.7,-14.1,1.12,-12.3,-10.4,-4.1,0.41,-11.2
49,2548,華固,99.8,-1.2,-1.19,06/04,-32.0,-22.7,-16.6,-23.6,-32.2,-25.7,1.1,3.99,0.29,-0.83,-0.72,1.33
50,0053,元大電子,243.95,-4.55,-1.83,06/04,-68.2,-48.8,-28.7,-23.6,-11.8,-0.82,-2.74,0.32,-0.15,-2.45,18.5,-0.5
51,00706L,期元大S&P日圓正2,19.07,-0.01,-0.05,06/04,-61.5,-54.7,-42.4,-23.6,-13.5,15.9,18.4,16.7,1.61,-8.04,,23.5
