"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"301","3033","威健","市","50","+0.35","+0.7","10,681","06/04","+371","-9","-207","+155","105","21.7","＋－－"
"302","4904","遠傳","市","102","+1.5","+1.49","9,655","06/04","-950","+898","+650","+598","777","21.5","－＋＋"
"303","3293","鈊象","櫃","800","+11","+1.39","4,284","06/04","-1,137","+1,545","+86","+494","60.6","21.5","－＋＋"
"304","2886","兆豐金","市","42.1","+0.45","+1.08","47,560","06/04","+10,267","+721","+484","+11,471","3,178","21.4","＋＋＋"
"305","6805","富世達","市","1985","-100","-4.8","1,192","06/04","-96","+65","-19","-49","14.7","21.4","－＋－"
"306","6515","穎崴","市","8650","+430","+5.23","345","06/04","+19","+72","-6","+85","7.68","21.3","＋＋－"
"307","3105","穩懋","櫃","487.5","-27.5","-5.34","28,501","06/04","-4,439","-141","-908","-5,489","90.3","21.3","－－－"
"308","2207","和泰車","市","485.5","+0.5","+0.1","707","06/04","-57","-4","+15","-47","119","21.3","－－＋"
"309","2481","強茂","市","159.5","+0.5","+0.31","53,843","06/04","-1,693","+3,242","-262","+1,286","81.1","21.2","－＋－"
"310","2916","滿心","櫃","43.4","+0.05","+0.12","75","06/04","-2","0","0","-2","13.7","21.2","－・・"
"311","2415","錩新","市","27.9","-0.05","-0.18","235","06/04","+27","0","0","+27","19","21.1","＋・・"
"312","6244","茂迪","櫃","30.2","-1.05","-3.36","17,320","06/04","-3,289","0","-414","-3,704","81.5","21","－・－"
"313","7827","漢康-KY創","市","161.5","+2.5","+1.57","1,875","06/04","+704","0","-4","+700","29.3","21","＋・－"
"314","8112","至上","市","95.6","+1.2","+1.27","61,466","06/04","+5,648","-270","+63","+5,442","110","21","＋－＋"
"315","4916","事欣科","市","122.5","-2","-1.61","2,940","06/04","-209","0","+4","-204","23.2","21","－・＋"
"316","2911","麗嬰房","市","8.22","-0.34","-3.97","255","06/04","+27","0","+1","+28","22","20.9","＋・＋"
"317","4726","永昕","櫃","27.55","+0.55","+2.04","289","06/04","-24","0","0","-24","43.2","20.9","－・－"
"318","6462","神盾","櫃","118","-4","-3.28","1,387","06/04","-293","0","-15","-308","18.9","20.7","－・－"
"319","3130","一零四","市","222","+0.5","+0.23","50","06/04","-2","0","0","-2","6.85","20.6","－・・"
"320","4105","東洋","櫃","74.6","+0.1","+0.13","1,433","06/04","+356","0","-25","+331","50.8","20.4","＋・－"
"321","3450","聯鈞","市","520","-28","-5.11","10,203","06/04","+163","-6","-126","+31","29.8","20.4","＋－－"
"322","2474","可成","市","242","-15","-5.84","15,948","06/04","-3,722","-219","-258","-4,199","115","20.4","－－－"
"323","5371","中光電","櫃","75.2","+0.1","+0.13","6,289","06/04","-1,036","+300","+117","-619","79.6","20.4","－＋＋"
"324","6166","凌華","市","129.5","+2.5","+1.97","2,762","06/04","+527","0","+15","+542","44.3","20.4","＋・＋"
"325","1519","華城","市","910","-25","-2.67","19,360","06/04","-936","0","-341","-1,277","64.3","20.3","－・－"
"326","3526","凡甲","櫃","388.5","-1.5","-0.38","740","06/04","-81","-2","-2","-86","13.4","20.3","－－－"
"327","3703","欣陸","市","21.5","+0.1","+0.47","1,879","06/04","+334","0","-47","+287","166","20.2","＋・－"
"328","8147","正淩","櫃","162.5","-6.5","-3.85","543","06/04","-164","0","-5","-169","8.42","20.2","－・－"
"329","1587","吉茂","市","30.05","-0.4","-1.31","341","06/04","+65","0","+1","+66","16.1","20.2","＋・＋"
"330","6997","博弘","櫃","73.7","+1.2","+1.66","6","06/04","0","0","0","0","4.45","20.1","・・・"
"331","009806","台新標普500","櫃","13.14","-0.13","-0.98","13","06/04","0","0","-9","-9","3.05","20.1","・・－"
"332","4568","科際精密","櫃","42.05","+0.1","+0.24","10","06/04","-2","0","0","-2","6.38","20.1","－・・"
"333","6282","康舒","市","70.8","+6.4","+9.94","123,062","06/04","+13,077","0","+1,828","+14,905","172","20","＋・＋"
"334","6591","動力-KY","市","59.1","0","0","358","06/04","+27","0","0","+27","8.24","20","＋・－"
"335","2618","長榮航","市","37.9","+0.2","+0.53","59,160","06/04","-17,770","+28,364","+362","+10,955","1,081","20","－＋＋"
"336","2603","長榮","市","236","-1","-0.42","27,371","06/04","-10,045","+9,565","+9","-471","432","20","－＋＋"
"337","2467","志聖","市","626","+11","+1.79","2,881","06/04","+467","-30","-166","+271","31.1","19.8","＋－－"
"338","8081","致新","市","280","-6","-2.1","740","06/04","-40","+3","-15","-52","17","19.8","－＋－"
"339","2939","永邑-KY","市","20.85","-0.25","-1.18","16","06/04","+5","0","0","+5","8.99","19.7","＋・・"
"340","4961","天鈺","市","168","-3.5","-2.04","753","06/04","-211","+18","+6","-187","23.9","19.7","－＋＋"
"341","7584","樂意","櫃","25.1","-0.15","-0.59","3","06/04","-1","0","0","-1","3.25","19.7","－・・"
"342","3209","全科","市","77","-0.8","-1.03","2,195","06/04","-106","0","-2","-108","46.4","19.7","－・－"
"343","4728","雙美","櫃","380.5","+1.5","+0.4","3","06/04","0","0","0","0","10.7","19.6","・・＋"
"344","7769","鴻勁","市","7385","-140","-1.86","435","06/04","-10","+6","-6","-10","35.1","19.5","－＋－"
"345","009807","台新標普科技精選","櫃","17.26","-0.32","-1.82","496","06/04","0","0","-57","-57","3.08","19.5","・・－"
"346","4960","誠美材","市","32.7","-1.2","-3.54","6,180","06/04","-881","0","-2","-883","111","19.5","－・－"
"347","7757","金色三麥","櫃","110","-1.5","-1.35","73","06/04","+2","0","0","+2","4.69","19.5","＋・・"
"348","1612","宏泰","市","40.65","+1.15","+2.91","14,144","06/04","-3,859","-9","+53","-3,815","61.5","19.4","－－＋"
"349","1617","榮星","市","16.7","-0.4","-2.34","747","06/04","-166","0","+1","-165","32.9","19.4","－・＋"
"350","2637","慧洋-KY","市","78.1","+1.1","+1.43","8,395","06/04","+3,960","-2,383","+138","+1,715","145","19.4","＋－＋"
