證券代號,證券名稱,交易別,成交價,成交股數,成交金額
00403A,主動統一升級50,配對交易,10.13,"42,500,000","430,525,000"
0050,元大台灣50,配對交易,102.80,"150,000,000","15,420,000,000"
00878,國泰永續高股息,配對交易,31.63,"26,000,000","822,380,000"
1590,亞德客-KY,配對交易,"1,307.50","15,000","19,612,500"
2303,聯電,配對交易,131.50,"431,000","56,676,500"
2308,台達電,配對交易,"2,460.45","50,000","123,022,500"
2308,台達電,配對交易,"2,309.36","101,760","235,000,474"
2308,台達電,配對交易,"2,309.35","57,240","132,187,194"
2308,台達電,配對交易,"2,299.01","10,000","22,990,100"
2317,鴻海,配對交易,285.50,"67,000","19,128,500"
2317,鴻海,配對交易,283.83,"300,000","85,149,000"
2330,台積電,配對交易,"2,395.00","2,478,000","5,934,810,000"
2330,台積電,配對交易,"2,370.08","112,000","265,448,960"
2330,台積電,配對交易,"2,365.00","1,889,564","4,468,818,860"
2357,華碩,配對交易,892.52,"16,900","15,083,588"
2357,華碩,配對交易,892.48,"23,100","20,616,288"
2382,廣達,配對交易,404.00,"500,000","202,000,000"
2449,京元電子,配對交易,306.75,"59,000","18,098,250"
2454,聯發科,配對交易,"4,345.00","5,000","21,725,000"
2454,聯發科,配對交易,"4,294.88","6,580","28,260,310"
2454,聯發科,配對交易,"4,294.87","7,420","31,867,935"
2454,聯發科,配對交易,"4,185.00","5,000","20,925,000"
2454,聯發科,配對交易,"4,053.92","6,000","24,323,520"
2467,志聖,配對交易,580.00,"428,000","248,240,000"
2883,凱基金,配對交易,28.50,"2,000,000","57,000,000"
2887,台新新光金,配對交易,28.48,"5,127,620","146,034,618"
2887,台新新光金,配對交易,28.47,"2,094,380","59,626,999"
3008,大立光,配對交易,"3,445.00","43,000","148,135,000"
3037,欣興,配對交易,932.24,"62,400","58,171,776"
3037,欣興,配對交易,932.21,"33,600","31,322,256"
3356,奇偶,配對交易,57.20,"1,463,000","83,683,600"
3481,群創,配對交易,53.70,"2,601,000","139,673,700"
3653,健策,配對交易,"3,593.81","5,000","17,969,050"
3711,日月光投控,配對交易,572.50,"32,000","18,320,000"
4763,材料*-KY,配對交易,43.00,"500,000","21,500,000"
5434,崇越,配對交易,454.00,"124,000","56,296,000"
6409,旭隼,配對交易,928.00,"35,000","32,480,000"
6770,力積電,配對交易,74.10,"4,300,000","318,630,000"
6770,力積電,配對交易,72.90,"1,500,000","109,350,000"
總計,,,,"244,989,564","29,965,082,478"
