排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,3234,光環,124.0,-1.0,-0.8,06/08,-0.18,-0.42,0.43,5.6,5.79,6.46,4.85,5.86,6.11,8.82,3.95,6.53
2,3324,雙鴻,1095.0,-15.0,-1.35,06/08,0.29,-0.07,-0.56,4.66,6.04,0.91,-1.13,-5.0,5.32,6.51,15.3,-5.4
3,6176,瑞儀,94.1,-6.9,-6.83,06/08,0.35,1.3,2.3,4.21,4.52,3.87,-1.8,4.16,2.35,-8.74,-11.7,0.42
4,00984B,大華優利美A債15,16.3,-0.07,-0.43,06/08,1.7,2.19,2.57,3.84,8.72,19.0,50.7,39.1,45.6,,,42.9
5,3357,臺慶科,283.0,-13.0,-4.39,06/08,2.07,3.24,3.68,3.72,1.76,1.88,2.23,4.41,2.03,3.23,,3.9
6,3376,新日興,236.5,-0.5,-0.21,06/08,0.8,2.11,1.37,3.7,3.35,8.54,9.54,1.97,0.16,5.04,-3.66,1.8
7,3689,湧德,127.5,-14.0,-9.89,06/08,0.05,1.23,1.17,3.47,8.62,7.93,3.91,10.5,-6.58,1.61,1.54,2.17
8,2609,陽明,51.7,-2.8,-5.14,06/08,0.34,1.5,2.08,3.43,4.83,4.99,2.38,6.98,1.15,6.52,11.8,4.54
9,2481,強茂,148.5,-16.5,-10.0,06/08,-0.36,1.83,1.39,3.33,-2.53,1.32,5.59,14.5,10.1,10.4,-5.95,16.0
10,3264,欣銓,211.0,-17.5,-7.66,06/08,-0.05,-0.34,0.21,3.3,2.11,4.11,0.25,-3.7,8.43,5.79,7.12,-4.35
11,2404,漢唐,1110.0,-95.0,-7.88,06/08,0.45,1.3,2.41,3.27,4.62,8.8,1.76,1.59,8.26,6.19,11.2,3.02
12,2303,聯電,121.0,-10.5,-7.98,06/08,0.24,0.87,2.06,3.15,3.84,3.81,5.43,13.8,20.4,5.28,-3.96,10.8
13,00715L,期街口布蘭特正2,57.1,2.0,3.63,06/08,0.09,0.59,1.56,3.15,2.58,1.24,9.66,34.6,63.7,185.0,,16.8
14,6409,旭隼,900.0,-28.0,-3.02,06/08,2.22,2.68,3.25,3.07,2.36,-0.36,-3.04,-7.23,-15.8,-14.7,4.15,-4.91
15,3147,大綜,284.5,0.0,0.0,06/08,0.12,2.07,2.68,3.07,4.05,5.51,5.56,5.09,-0.59,1.05,,5.37
16,8070,長華*,59.3,-3.4,-5.42,06/08,0.79,1.5,2.24,3.06,4.07,3.7,5.7,5.46,0.45,5.11,5.0,9.18
17,3535,晶彩科,123.0,-7.5,-5.75,06/08,0.02,0.18,-0.38,2.9,2.2,2.0,-15.0,-12.0,-3.02,-2.16,-2.78,-8.83
18,00909,國泰數位支付服務,47.32,-2.37,-4.77,06/08,0.75,1.04,1.22,2.89,5.82,12.8,43.7,54.9,58.5,57.3,,60.4
19,3036,文曄,250.0,-23.0,-8.42,06/08,1.01,1.39,1.75,2.83,3.27,1.16,3.24,2.08,3.54,0.76,-7.59,5.03
20,00634R,富邦上証反1,3.13,0.08,2.62,06/08,2.74,2.74,2.75,2.77,2.77,2.91,4.92,2.48,3.23,8.88,33.7,3.15
21,00864B,中信美國公債0-1,45.91,0.15,0.33,06/08,2.06,2.53,2.74,2.75,2.28,-1.38,1.09,10.3,32.2,39.0,,7.69
22,3702,大聯大,108.0,-6.5,-5.68,06/08,0.82,1.32,1.73,2.74,3.04,2.54,13.3,8.97,10.4,12.5,8.89,15.2
23,6727,亞泰金屬,425.5,-47.0,-9.95,06/08,0.0,1.99,2.59,2.69,-1.63,0.18,3.48,0.73,4.85,7.93,,1.62
24,3550,聯穎,23.55,-0.5,-2.08,06/08,1.16,0.75,2.84,2.66,2.89,4.6,6.05,5.78,4.98,7.12,7.94,6.86
25,00981D,主動中信非投等債,10.32,0.0,0.0,06/08,1.05,1.46,1.8,2.63,4.67,8.08,14.1,7.48,,,,8.34
26,4741,泓瀚,69.1,6.2,9.86,06/08,1.21,1.67,2.76,2.59,2.44,3.34,2.51,2.66,2.62,3.13,,2.63
27,4542,科嶠,314.5,28.5,9.97,06/08,1.06,2.16,2.37,2.43,1.91,0.63,1.21,2.03,0.83,3.21,3.09,1.93
28,00741B,富邦全球非投等債,37.15,0.02,0.05,06/08,1.53,1.85,1.85,2.39,2.94,2.77,9.83,13.8,23.0,20.1,,11.2
29,2493,揚博,164.0,-14.0,-7.87,06/08,-0.21,0.39,1.91,2.38,0.84,2.06,0.06,0.29,-1.97,-4.62,-4.0,1.22
30,2241,艾姆勒,38.9,3.5,9.89,06/08,1.37,2.22,2.02,2.35,0.54,0.52,-1.59,-2.44,1.15,-6.64,,-2.43
31,3441,聯一光,54.6,-5.6,-9.3,06/08,0.15,2.14,3.14,2.31,2.55,1.5,1.14,2.68,0.2,3.88,2.47,1.33
32,00689R,國泰20年美債反1,22.14,0.15,0.68,06/08,0.0,0.0,0.0,2.31,12.8,18.8,14.9,32.7,38.3,37.2,,32.7
33,6757,台灣虎航,52.2,-2.2,-4.04,06/08,0.32,0.85,1.11,2.27,3.07,2.8,2.15,2.83,-1.31,,,1.94
34,00982B,FT投資級債20+,9.85,-0.04,-0.4,06/08,2.05,2.19,2.2,2.23,2.66,4.24,7.67,8.56,8.7,,,8.54
35,6517,保勝光學,65.2,-4.1,-5.92,06/08,1.33,1.73,2.08,2.21,1.93,2.37,2.46,3.01,0.97,0.89,,3.64
36,00945B,凱基美國非投等債,14.43,0.02,0.14,06/08,1.02,1.47,1.91,2.19,2.99,4.28,8.68,14.9,32.6,,,11.3
37,6907,雅特力-KY,152.5,-16.5,-9.76,06/08,0.97,0.85,0.92,2.11,2.63,2.68,2.65,,,,,
38,4534,慶騰,31.85,-1.3,-3.92,06/08,0.91,0.56,1.03,2.09,3.23,3.07,2.84,3.18,3.34,3.89,3.54,3.09
39,8996,高力,1210.0,85.0,7.56,06/08,1.38,1.02,1.85,2.06,2.16,0.48,-0.51,-0.17,-2.46,-0.06,0.85,7.95
40,6278,台表科,197.5,-9.0,-4.36,06/08,0.71,1.13,1.34,2.06,0.77,-7.77,-5.42,-4.51,-2.81,-6.28,-5.31,-2.37
