排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1,5274,信驊,櫃,06/15,,17810.0,-635.0,-3.44,226,4156.0,18445.0,19200.0,19200.0,17805.0,7.56,151.0,112.95,,,,,
2,6515,穎崴,市,06/15,,9925.0,335.0,3.49,665,6667.0,9590.0,10200.0,10240.0,9670.0,5.94,202.0,55.05,,,,,
3,7769,鴻勁,市,06/15,,7205.0,-5.0,-0.07,459,3351.0,7210.0,7425.0,7575.0,7195.0,5.27,89.9,20.67,,,,,
4,2059,川湖,市,06/15,,6960.0,50.0,0.72,800,5634.0,6910.0,7095.0,7195.0,6935.0,3.76,61.3,21.04,,,,,
5,6223,旺矽,櫃,06/15,,6435.0,-50.0,-0.77,1166,7673.0,6485.0,6945.0,6950.0,6355.0,9.18,171.0,40.02,,,,,
6,2383,台光電,市,06/15,,5030.0,200.0,4.14,2220,11121.0,4830.0,5000.0,5080.0,4935.0,3.0,109.0,37.59,,,,,
7,6669,緯穎,市,06/15,,4900.0,50.0,1.03,1005,4956.0,4850.0,5010.0,5040.0,4880.0,3.3,16.4,6.5,,,,,
8,3443,創意,市,06/15,,4815.0,435.0,9.93,1252,6004.0,4380.0,4720.0,4815.0,4670.0,3.31,145.0,44.24,,,,,
9,2454,聯發科,市,06/15,,4470.0,290.0,6.94,12015,53488.0,4180.0,4355.0,4545.0,4350.0,4.67,71.1,18.28,,,,,
10,3008,大立光,市,06/15,,4420.0,400.0,9.95,3675,15898.0,4020.0,4080.0,4420.0,4035.0,9.58,27.7,3.13,,,,,
11,3661,世芯-KY,市,06/15,,4250.0,145.0,3.53,1292,5539.0,4105.0,4280.0,4380.0,4240.0,3.41,62.2,8.03,,,,,
12,3653,健策,市,06/15,,3835.0,145.0,3.93,1451,5614.0,3690.0,3800.0,3970.0,3775.0,5.28,106.0,26.57,,,,,
13,6510,精測,櫃,06/15,,3595.0,-15.0,-0.42,703,2561.0,3610.0,3660.0,3690.0,3565.0,3.46,105.0,12.02,,,,,
14,3131,弘塑,櫃,06/15,,3215.0,-15.0,-0.46,397,1311.0,3230.0,3300.0,3385.0,3215.0,5.26,60.2,23.43,,,,,
15,3529,力旺,櫃,06/15,,3200.0,110.0,3.56,454,1473.0,3090.0,3210.0,3310.0,3185.0,4.05,117.0,53.84,,,,,
16,7734,印能科技,櫃,06/15,,2930.0,150.0,5.4,287,827.0,2780.0,2815.0,3000.0,2740.0,9.35,74.0,11.87,,,,,
17,2345,智邦,市,06/15,,2430.0,95.0,4.07,3351,8080.0,2335.0,2435.0,2475.0,2335.0,6.0,46.0,20.79,,,,,
18,3017,奇鋐,市,06/15,,2410.0,5.0,0.21,2108,5136.0,2405.0,2475.0,2475.0,2410.0,2.7,39.6,20.95,,,,,
19,2330,台積電,市,06/15,,2375.0,65.0,2.81,30229,71454.0,2310.0,2360.0,2375.0,2345.0,1.3,31.9,10.45,,,,,
20,3081,聯亞,櫃,06/15,,2335.0,140.0,6.38,2076,4780.0,2195.0,2305.0,2355.0,2220.0,6.15,306.0,50.96,,,,,
21,8299,群聯,櫃,06/15,,2320.0,10.0,0.43,5877,13687.0,2310.0,2395.0,2400.0,2285.0,4.98,22.5,6.92,,,,,
