排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,3481,群創,51.4,2.85,5.87,100104,06/15,-9161,-4406,6670,6670,-10703.0,-7098.0,-2429.0,5071.0,6356.0,-1891.0
2,2409,友達,24.1,0.6,2.55,234169,06/15,-2640,-5758,-6967,6091,20268.0,16008.0,12439.0,29950.0,29701.0,29115.0
3,2883,凱基金,28.8,1.35,4.92,81805,06/15,27,18,2136,3945,4084.0,4074.0,4008.0,3835.0,3908.0,3641.0
4,00631L,元大台灣50正2,37.07,2.24,6.43,275708,06/15,-66,726,216,3779,58.0,359.0,15098.0,14277.0,12655.0,15467.0
5,2344,華邦電,189.0,17.0,9.88,229482,06/15,1430,2364,2381,2893,716.0,1930.0,-4630.0,-21720.0,1974.0,-24070.0
6,3702,大聯大,107.5,2.5,2.38,12127,06/15,693,2174,2337,2350,2300.0,1765.0,2443.0,2429.0,2447.0,2437.0
7,00664R,國泰臺灣加權反1,1.65,-0.05,-2.94,32433,06/15,85,964,998,2032,2020.0,1912.0,1855.0,1688.0,1907.0,1960.0
8,1714,和桐,16.7,1.5,9.87,50827,06/15,992,1573,1800,1846,1896.0,1893.0,1897.0,1898.0,1895.0,1894.0
9,2484,希華,73.3,6.6,9.9,85450,06/15,367,701,747,1001,890.0,1183.0,1185.0,1186.0,1188.0,1186.0
10,5328,華容,46.55,4.2,9.92,26347,06/15,652,648,656,933,526.0,1077.0,1148.0,521.0,1147.0,611.0
11,6173,信昌電,304.0,27.5,9.95,7688,06/15,538,687,847,847,714.0,467.0,792.0,370.0,958.0,38.0
12,6182,合晶,97.7,8.8,9.9,7677,06/15,90,293,185,705,751.0,1476.0,1681.0,1527.0,2331.0,1408.0
13,1303,南亞,117.0,10.5,9.86,85711,06/15,464,833,706,649,-323.0,829.0,190.0,-3744.0,2430.0,-2119.0
14,8042,金山電,187.5,17.0,9.97,574,06/15,19,120,476,645,411.0,63.0,523.0,109.0,643.0,244.0
15,4916,事欣科,99.5,-8.0,-7.44,15515,06/15,-119,629,656,630,527.0,810.0,586.0,550.0,139.0,566.0
16,1802,台玻,67.4,3.3,5.15,82940,06/15,1061,1128,1156,546,-317.0,183.0,-6171.0,-6405.0,1398.0,-5178.0
17,2406,國碩,38.25,-0.75,-1.92,42576,06/15,-55,211,516,529,501.0,559.0,-625.0,46.0,614.0,191.0
18,8021,尖點,506.0,-16.0,-3.07,14856,06/15,273,245,235,508,407.0,268.0,559.0,-3442.0,662.0,-2224.0
19,3090,日電貿,281.5,25.5,9.96,13980,06/15,39,256,387,444,160.0,548.0,656.0,469.0,560.0,563.0
20,2485,兆赫,63.7,-1.1,-1.7,12068,06/15,101,450,476,439,304.0,-105.0,-3649.0,-889.0,1168.0,-60.0
21,1605,華新,40.0,2.3,6.1,74845,06/15,189,401,421,421,7.0,-13.0,405.0,-1006.0,-2972.0,-816.0
22,3236,千如,69.5,6.3,9.97,38997,06/15,236,288,381,401,349.0,465.0,460.0,319.0,573.0,322.0
