代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00696B,富邦美債20年,29.23,0.18,0.62,26W25,06/17,57,640833,42.9,97.3,0,0,0.0,0.0,-1,-622,-15.1,-0.09,23,288606,44.1,43.8
00717,富邦美國特別股,15.05,-0.05,-0.33,26W25,06/17,51,25182,60.4,19.9,0,0,0.0,0.0,-2,-124,-7.71,-0.1,16,14662,76.8,11.6
00857B,永豐20年美公債,23.44,0.13,0.56,26W25,06/17,32,170018,42.7,30.2,0,0,0.0,0.0,5,12087,21.8,2.14,32,179974,45.2,31.9
00931B,統一美債20年,13.56,0.07,0.52,26W25,06/17,22,298621,53.2,13.9,0,0,0.0,0.0,5,17814,15.1,0.83,22,350665,62.4,16.3
9933,中鼎,43.05,0.7,1.65,26W25,06/17,15,83229,16.6,9.24,3,663,0.66,0.07,-4,-2233,-1.75,-0.25,15,83032,16.5,9.22
00984B,大華優利美A債15,16.45,0.03,0.18,26W25,06/17,14,96522,43.7,65.0,0,0,0.0,0.0,3,3900,17.4,2.63,7,45374,58.0,30.6
00915,凱基優選高股息30,31.72,0.36,1.15,26W25,06/17,13,78260,15.1,14.2,0,0,0.0,0.0,67,1001340,44.1,181.0,67,1172709,51.7,212.0
00740B,富邦全球投等債,38.74,0.02,0.05,26W25,06/17,12,71055,46.7,3.29,0,0,0.0,0.0,-16,-104156,-38.1,-4.82,5,4666,8.53,0.22
00772B,中信高評級公司債,33.76,0.09,0.27,26W25,06/17,12,93614,50.3,2.75,0,0,0.0,0.0,3,5222,11.7,0.15,43,227188,40.1,6.67
00773B,中信優先金融債,35.98,0.08,0.22,26W25,06/17,12,22732,34.3,0.89,0,0,0.0,0.0,-1,-294,-11.8,-0.01,33,46405,24.0,1.82
00950B,凱基A級公司債,14.12,0.02,0.14,26W25,06/17,12,119518,38.0,2.91,0,0,0.0,0.0,-1,-798,-6.36,-0.02,6,45196,28.0,1.1
00959B,大華投等美債15Y+,9.44,0.02,0.21,26W25,06/17,12,52590,45.0,9.89,0,0,0.0,0.0,2,5266,30.1,0.99,7,45566,61.6,8.57
00966B,統一ESG投等債15+,14.04,0.01,0.07,26W25,06/17,12,17875,28.4,14.2,0,0,0.0,0.0,-1,-668,-26.6,-0.53,32,45754,23.2,36.2
009813,貝萊德標普卓越50,11.13,-0.02,-0.18,26W25,06/17,12,41700,15.1,10.2,0,0,0.0,0.0,11,133880,52.7,32.6,11,175549,69.2,42.7
2248,華勝-KY,56.3,0.0,0.0,26W25,06/17,12,274,6.01,0.58,0,0,0.0,0.0,1,2,1.63,0.0,3,124,13.9,0.26
00647L,元大S&P500正2,135.35,-0.35,-0.26,26W25,06/17,11,210,3.43,3.27,0,0,0.0,0.0,1,19,8.65,0.3,1,44,19.9,0.69
00701,國泰股利精選30,38.72,0.52,1.36,26W25,06/17,11,8924,13.5,5.1,0,0,0.0,0.0,-1,-3,-0.09,0.0,24,54557,34.5,31.2
00757,統一FANG+,129.35,-1.65,-1.26,26W25,06/17,11,22643,17.9,7.78,0,0,0.0,0.0,1,808,14.9,0.28,2,2557,18.0,0.88
00770,國泰北美科技,68.0,-1.05,-1.52,26W25,06/17,11,7302,22.0,9.02,0,0,0.0,0.0,1,252,28.5,0.31,1,255,28.9,0.31
00909,國泰數位支付服務,51.1,0.2,0.39,26W25,06/17,11,51276,23.5,45.7,0,0,0.0,0.0,11,44150,20.2,39.3,11,95426,43.7,85.0
00983A,主動中信ARK創新,11.88,-0.06,-0.5,26W25,06/17,11,61267,26.3,34.9,0,0,0.0,0.0,11,80348,34.5,45.7,11,141615,60.7,80.6
00993A,主動安聯台灣,13.99,0.07,0.5,26W25,06/17,11,124962,12.4,15.1,0,0,0.0,0.0,18,543286,23.0,65.8,18,754317,31.9,91.4
6166,凌華,142.5,4.5,3.26,26W25,06/17,11,15290,8.8,7.02,0,0,0.0,0.0,-6,-366,-0.3,-0.17,11,15256,8.78,7.01
00725B,國泰投資級公司債,35.45,0.05,0.14,26W25,06/17,9,77606,34.1,2.07,0,0,0.0,0.0,3,8604,13.4,0.23,23,218670,32.1,5.84
00764B,群益25年美債,27.81,0.16,0.58,26W25,06/17,9,35130,11.7,2.25,0,0,0.0,0.0,3,5524,6.98,0.35,4,11706,9.1,0.75
00779B,凱基美債25+,28.14,0.16,0.57,26W25,06/17,9,5449,27.3,0.42,0,0,0.0,0.0,0,0,0.0,0.0,15,5926,18.7,0.46
00795B,中信美國公債20年,26.98,0.16,0.6,26W25,06/17,9,107672,34.5,6.35,0,0,0.0,0.0,5,29721,17.9,1.75,13,171134,34.9,10.1
00933B,國泰10Y+金融債,16.06,0.02,0.12,26W25,06/17,9,115946,23.4,1.77,0,0,0.0,0.0,5,62186,21.7,0.95,12,263980,42.4,4.03
2851,中再保,40.55,0.8,2.01,26W25,06/17,9,18947,17.5,2.37,0,0,0.0,0.0,-6,-898,-1.04,-0.11,9,17298,16.0,2.16
7821,神數,44.15,-0.65,-1.45,26W25,06/17,9,894,4.46,0.73,0,0,0.0,0.0,3,36,1.06,0.03,9,915,4.56,0.75
00853B,統一美債10年Aa-A,27.72,0.09,0.33,26W25,06/17,8,1577,3.78,0.86,0,0,0.0,0.0,3,181,1.28,0.1,38,27145,12.6,14.9
00888,永豐台灣ESG,35.64,0.08,0.22,26W25,06/17,8,38992,12.8,10.3,0,0,0.0,0.0,1,2216,19.2,0.58,1,3094,26.8,0.81
2029,盛餘,20.95,0.05,0.24,26W25,06/17,8,1918,18.0,0.6,0,0,0.0,0.0,1,6,0.76,0.0,8,1944,18.3,0.61
2397,友通,61.5,0.6,0.99,26W25,06/17,8,2747,13.4,2.4,0,0,0.0,0.0,1,1,0.09,0.0,8,2749,13.4,2.4
2882,國泰金,113.5,4.0,3.65,26W25,06/17,8,386673,23.7,2.64,1,3799,2.94,0.03,5,7241,0.64,0.05,1,10811,8.36,0.07
3147,大綜,330.0,-20.0,-5.71,26W25,06/17,8,3314,11.2,7.59,0,0,0.0,0.0,5,221,0.86,0.51,10,3566,10.1,8.16
3705,永信,57.2,0.2,0.35,26W25,06/17,8,684,9.04,0.26,0,0,0.0,0.0,3,9,0.29,0.0,8,671,8.87,0.25
5015,華祺,24.0,0.3,1.27,26W25,06/17,8,142,8.41,0.23,0,0,0.0,0.0,0,0,0.0,0.0,8,141,8.35,0.23
6811,宏碁資訊,230.5,0.5,0.22,26W25,06/17,8,572,6.65,1.38,0,0,0.0,0.0,-2,-1,-0.05,0.0,8,572,6.64,1.38
6996,力領科技,193.0,1.5,0.78,26W25,06/17,8,1008,13.1,2.4,0,0,0.0,0.0,3,17,0.66,0.04,8,1024,13.3,2.44
8341,日友,79.8,-0.2,-0.25,26W25,06/17,8,1754,15.6,1.35,0,0,0.0,0.0,-1,-6,-0.71,0.0,8,1765,15.7,1.36
00401A,主動摩根台灣鑫收,13.82,0.05,0.36,26W25,06/17,7,37324,10.4,14.4,0,0,0.0,0.0,3,3558,3.4,1.38,3,10407,9.94,4.03
00648R,元大S&P500反1,3.98,0.03,0.76,26W25,06/17,7,165,0.48,0.11,0,0,0.0,0.0,4,6644,31.9,4.62,4,6727,32.3,4.68
00661,元大日經225,90.0,0.2,0.22,26W25,06/17,7,1283,21.5,5.48,0,0,0.0,0.0,1,39,14.1,0.17,11,3016,32.8,12.9
00722B,群益投資級電信債,36.23,0.04,0.11,26W25,06/17,7,11738,9.97,0.81,0,0,0.0,0.0,2,1082,3.65,0.07,7,11828,10.0,0.81
00731,復華富時高息低波,90.35,1.25,1.4,26W25,06/17,7,3382,11.7,14.3,0,0,0.0,0.0,-1,-9,-0.37,-0.04,71,48714,18.2,206.0
00890B,凱基ESGBBB債15+,32.5,0.1,0.31,26W25,06/17,7,326,3.31,1.74,0,0,0.0,0.0,5,91,1.27,0.48,7,424,4.3,2.26
00939,統一台灣高息動能,21.72,0.25,1.16,26W25,06/17,7,63516,23.0,5.2,0,0,0.0,0.0,29,696121,46.9,57.0,29,951548,64.1,77.9
1713,國化,49.85,-0.35,-0.7,26W25,06/17,7,1297,17.5,0.86,0,0,0.0,0.0,1,2,0.27,0.0,7,1298,17.5,0.86
