排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6121,新普,407.5,-13.5,-3.21,06/17,16.4,9.49,23.9,33.5,32.1,23.0,15.7,20.4,16.3,12.0,5.38,19.0
2,5439,高技,323.5,1.0,0.31,06/17,42.4,42.1,41.2,31.0,20.3,9.7,2.88,3.06,1.62,1.07,1.37,3.24
3,2880,華南金,38.1,0.65,1.74,06/17,21.7,24.6,25.4,24.4,11.4,5.18,8.1,7.53,8.81,5.62,2.35,6.87
4,2891,中信金,71.0,0.2,0.28,06/17,3.49,5.34,12.6,20.5,16.7,11.7,12.4,14.3,14.0,6.76,3.23,11.9
5,2360,致茂,2230.0,-75.0,-3.25,06/17,36.6,32.5,27.7,20.1,13.3,9.68,4.99,4.55,3.8,4.16,3.18,4.62
6,3010,華立,129.5,0.0,0.0,06/17,22.7,31.2,26.4,20.0,17.7,9.65,5.37,3.7,5.59,4.64,2.55,3.96
7,6937,天虹,271.0,0.5,0.18,06/17,25.9,25.4,25.3,20.0,10.7,4.67,1.69,1.1,0.6,,,1.14
8,2637,慧洋-KY,77.4,-1.0,-1.28,06/17,4.33,1.97,3.63,19.1,21.2,17.3,10.7,8.77,4.64,4.4,1.88,9.02
9,6005,群益證,39.45,-0.3,-0.75,06/17,25.8,32.5,23.4,18.2,15.5,11.9,11.9,10.6,12.4,9.44,4.61,10.3
10,2347,聯強,92.4,-0.6,-0.65,06/17,44.7,32.3,31.3,17.4,5.76,6.65,7.32,14.6,11.5,14.0,7.34,9.09
11,6805,富世達,1715.0,-10.0,-0.58,06/17,25.7,19.0,27.8,17.0,10.5,7.53,10.2,8.85,5.63,,,9.24
12,9907,統一實,16.65,0.0,0.0,06/17,27.6,29.7,23.0,16.4,12.8,9.24,6.61,3.4,1.74,0.73,0.24,5.04
13,3702,大聯大,107.0,-2.0,-1.83,06/17,3.19,1.61,1.38,15.9,25.0,19.1,13.8,12.2,14.8,13.6,7.86,12.5
14,8069,元太,198.5,4.0,2.06,06/17,17.0,27.4,18.2,15.8,9.98,5.75,2.02,1.23,0.76,0.36,0.04,1.45
15,2609,陽明,51.6,0.6,1.18,06/17,0.03,1.09,0.72,15.8,34.4,26.2,15.1,8.54,9.85,2.85,1.17,7.9
16,1215,卜蜂,116.5,1.0,0.87,06/17,0.0,0.0,0.0,15.6,33.5,22.2,14.2,9.44,8.51,6.41,3.69,11.0
17,4904,遠傳,109.5,-3.0,-2.67,06/17,39.0,30.9,23.6,15.3,11.5,9.03,11.0,11.7,15.7,10.2,5.39,11.2
18,1477,聚陽,217.0,-2.5,-1.14,06/17,13.6,14.5,20.5,15.1,9.57,6.5,5.46,8.61,8.91,6.88,4.65,5.85
19,3017,奇鋐,2365.0,-5.0,-0.21,06/17,33.9,29.8,24.5,15.0,7.8,3.91,3.8,4.14,3.19,3.01,2.17,4.29
20,3563,牧德,702.0,-3.0,-0.43,06/17,13.9,28.9,23.2,14.4,8.51,2.34,1.47,1.51,1.55,0.83,1.47,1.37
21,2885,元大金,66.7,1.3,1.99,06/17,28.7,20.2,17.0,14.4,10.5,19.1,11.8,16.0,12.0,7.0,2.48,12.5
22,6176,瑞儀,88.2,0.9,1.03,06/17,1.27,0.71,0.72,13.8,29.1,22.3,11.6,14.4,13.6,11.1,4.24,12.4
23,3036,文曄,224.0,5.0,2.28,06/17,7.19,5.74,3.77,13.7,27.9,24.7,16.2,12.6,10.9,6.77,5.17,12.5
24,2441,超豐,126.5,1.0,0.8,06/17,28.9,25.3,16.6,13.5,7.82,2.35,2.9,2.04,1.99,2.06,2.92,2.25
25,2027,大成鋼,41.7,0.0,0.0,06/17,20.5,6.73,5.54,12.6,24.7,13.2,5.6,3.45,3.25,4.75,2.63,3.72
26,3081,聯亞,2245.0,-35.0,-1.54,06/17,35.0,19.2,13.3,11.9,8.53,6.48,5.64,3.79,2.56,1.33,1.66,3.85
27,6412,群電,92.5,0.9,0.98,06/17,0.0,0.01,0.0,11.8,28.6,19.7,11.9,11.3,10.0,7.45,4.16,10.5
28,1102,亞泥,35.55,-0.05,-0.14,06/17,29.0,26.7,18.3,11.5,6.17,3.21,6.02,7.06,10.4,10.1,5.96,7.15
29,6548,長科*,89.1,-2.4,-2.62,06/17,30.5,22.6,17.2,11.3,3.8,1.18,0.65,0.44,0.38,0.71,,0.47
30,8070,長華*,54.6,0.8,1.49,06/17,0.06,0.06,0.04,11.1,16.9,13.6,10.1,7.95,3.66,1.36,0.78,8.67
31,3711,日月光投控,595.0,3.0,0.51,06/17,17.3,20.5,19.6,10.9,8.42,7.68,4.46,5.29,6.69,5.77,,3.67
32,2059,川湖,6620.0,-30.0,-0.45,06/17,18.7,21.7,13.8,10.8,4.88,4.61,2.5,5.48,5.95,3.96,3.36,5.59
33,5434,崇越,478.0,7.5,1.59,06/17,12.5,11.7,12.4,10.7,5.9,3.88,3.74,5.21,5.55,4.97,2.63,4.27
34,8210,勤誠,1345.0,-5.0,-0.37,06/17,22.1,22.3,19.3,10.6,4.03,3.95,3.97,1.64,0.98,0.21,0.13,2.37
35,2882,國泰金,113.5,4.0,3.65,06/17,0.57,0.31,5.59,10.2,10.3,24.8,19.1,18.5,14.4,6.14,2.89,16.4
36,3533,嘉澤,2300.0,5.0,0.22,06/17,4.82,4.46,8.0,10.0,8.7,7.57,5.19,3.92,4.57,5.51,5.94,3.91
37,2451,創見,311.0,-1.5,-0.48,06/17,0.13,0.59,0.61,9.99,20.9,13.1,5.44,4.65,4.8,5.33,4.49,3.87
38,6278,台表科,204.5,-5.0,-2.39,06/17,13.0,10.6,5.91,9.96,10.5,6.34,5.51,6.48,7.15,5.97,2.87,6.34
39,2474,可成,205.5,0.0,0.0,06/17,8.7,9.21,10.8,9.89,6.58,9.52,10.0,13.0,13.6,13.0,4.33,11.8
40,6414,樺漢,370.5,3.5,0.95,06/17,19.8,16.9,15.8,9.81,6.3,4.43,3.64,4.38,5.85,4.38,3.12,4.52
41,6526,達發,666.0,6.0,0.91,06/17,0.39,0.19,7.33,9.78,5.1,3.95,1.5,1.34,1.92,,,1.36
42,6679,鈺太,271.5,1.5,0.56,06/17,0.0,0.0,0.0,9.45,5.6,1.8,0.57,0.34,0.35,5.8,,0.35
43,7734,印能科技,3350.0,130.0,4.04,06/17,0.0,0.0,0.57,9.19,6.33,3.76,2.25,1.31,0.95,,,1.32
44,6757,台灣虎航,59.1,2.7,4.79,06/17,0.0,0.0,0.0,9.05,30.7,29.0,18.6,12.8,10.3,,,11.6
45,4979,華星光,546.0,-22.0,-3.87,06/17,5.76,6.11,7.32,8.95,6.59,4.17,2.09,1.41,1.05,1.0,0.88,1.66
46,2404,漢唐,1280.0,35.0,2.81,06/17,1.31,11.1,7.51,8.95,15.6,11.8,7.89,7.46,7.82,9.31,4.85,7.13
47,3264,欣銓,211.5,-8.5,-3.86,06/17,29.8,21.3,15.2,8.72,4.34,10.6,4.83,3.55,4.45,5.68,4.14,4.01
48,4576,大銀微系統,201.0,-5.5,-2.66,06/17,36.3,22.5,15.2,8.62,3.92,1.04,0.27,0.25,0.31,0.21,,0.25
49,3163,波若威,903.0,27.0,3.08,06/17,12.2,6.16,6.13,8.44,7.1,7.55,5.04,2.42,0.65,0.38,0.35,2.52
50,2357,華碩,803.0,12.0,1.52,06/17,8.41,3.84,5.72,8.3,10.4,6.29,5.57,5.5,6.88,6.08,3.87,5.49
51,5234,達興材料,382.5,-6.0,-1.54,06/17,0.0,0.95,13.6,8.12,4.76,2.63,2.93,1.92,3.33,2.47,2.38,1.96
52,3592,瑞鼎,276.0,5.5,2.03,06/17,34.9,22.7,15.0,8.08,4.98,2.15,1.0,7.6,8.15,5.73,,1.73
53,6768,志強-KY,86.1,-1.0,-1.15,06/17,0.79,0.69,14.9,8.02,3.6,2.34,1.82,5.66,3.98,2.55,,4.78
54,6669,緯穎,5080.0,200.0,4.1,06/17,0.25,11.2,10.7,7.9,4.96,5.47,2.44,4.26,3.9,3.23,,4.21
55,6285,啟碁,270.5,5.0,1.88,06/17,29.2,18.9,13.0,7.83,4.95,3.62,1.78,1.39,2.09,3.21,3.11,1.39
56,7769,鴻勁,7330.0,-30.0,-0.41,06/17,10.8,17.8,14.5,7.83,5.49,5.59,4.98,1.97,,,,2.44
