排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2002,中鋼,19.05,-0.3,-1.55,06/25,-126439,-141996,-238154,-250269,-212921,-90265,73915.0,-22416.0,148415.0,-28216.0
2,6770,力積電,83.2,-2.5,-2.92,06/25,-95068,-114272,-139390,-161664,-150546,-101300,58621.0,110337.0,43241.0,109416.0
3,2618,長榮航,44.5,0.5,1.14,06/25,-32502,-41034,-44176,-81638,-111163,-45333,39322.0,-7108.0,41454.0,583.0
4,00919,群益台灣精選高息,30.26,0.05,0.17,06/25,-26564,-26991,-33333,-47417,-50449,7184,-58170.0,-74368.0,-179730.0,-54662.0
5,2303,聯電,178.5,0.5,0.28,06/25,-17418,-29934,-44470,-43041,-101387,-411525,-342015.0,-448708.0,-923836.0,-415561.0
6,1301,台塑,58.0,3.5,6.42,06/25,-2661,-5869,-29850,-41337,-27399,-21981,-116208.0,-103755.0,-140757.0,-115785.0
7,00403A,主動統一升級50,11.11,0.07,0.63,06/25,-8760,-9299,-16999,-37632,-55924,39546,,,,
8,2449,京元電子,334.5,1.0,0.3,06/25,-5054,-21262,-27410,-27960,-23140,-71286,-20811.0,7080.0,12800.0,18813.0
9,2834,臺企銀,18.0,0.2,1.12,06/25,-11016,-25220,-22399,-27892,-30090,-56565,114046.0,242213.0,201430.0,241519.0
10,5880,合庫金,25.1,0.7,2.87,06/25,-1221,-14867,-12406,-27529,-46782,-41522,34565.0,78400.0,47342.0,78180.0
11,2812,台中銀,20.05,0.2,1.01,06/25,-4779,-10746,-11730,-26575,-29429,-7240,69726.0,109301.0,115612.0,102223.0
12,00992A,主動群益科技創新,18.82,0.08,0.43,06/25,585,-782,-1048,-19433,-39083,-6084,20706.0,,,32779.0
