排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00756B,群益投等新興公債,32.01,-0.1,-0.31,06/29,99.8,99.8,99.7,99.6,99.1,98.4,94.5,91.8,89.6,68.7,,91.9
2,00754B,群益AAA-AA公司債,34.0,0.01,0.03,06/29,99.9,99.8,99.8,99.4,99.0,98.3,94.7,89.8,81.9,86.8,,89.9
3,00942B,台新美A公司債20+,14.62,0.01,0.07,06/29,59.9,99.3,98.1,96.2,90.7,88.0,76.5,73.3,63.3,,,73.4
4,00950B,凱基A級公司債,14.35,0.01,0.07,06/29,55.8,92.9,88.2,86.8,78.6,67.7,50.0,52.8,51.8,,,52.7
5,00948B,中信優息投資級債,9.65,-0.01,-0.1,06/29,98.0,94.6,90.0,84.2,74.7,68.8,58.4,54.3,52.1,,,54.3
6,00696B,富邦美債20年,29.91,-0.01,-0.03,06/29,11.2,24.2,36.8,74.2,69.6,55.8,47.2,60.2,46.6,25.7,,60.7
7,2006,東和鋼鐵,70.0,0.2,0.29,06/29,48.4,39.7,54.0,67.3,55.8,42.0,19.2,18.2,8.26,5.1,1.4,18.8
8,00986B,FT金融債10+,10.06,0.02,0.2,06/29,0.0,55.0,71.6,66.9,58.4,63.0,42.3,48.6,,,,48.7
9,00857B,永豐20年美公債,23.71,-0.01,-0.04,06/29,53.5,63.9,70.4,62.8,59.4,50.1,49.4,47.7,33.3,10.7,,47.7
10,5324,士開,12.2,0.1,0.83,06/29,83.3,67.6,51.1,62.4,61.9,44.6,18.9,10.1,5.75,0.62,0.21,10.1
11,00959B,大華投等美債15Y+,9.57,0.01,0.1,06/29,70.9,65.3,57.8,57.3,37.1,50.2,45.4,33.3,37.5,,,33.6
12,00772B,中信高評級公司債,34.27,0.01,0.03,06/29,13.1,51.0,51.0,57.1,52.9,52.7,50.8,44.9,36.6,13.9,,44.8
13,00933B,國泰10Y+金融債,16.31,0.01,0.06,06/29,47.9,54.5,52.1,56.0,45.8,34.0,27.5,39.0,28.8,,,39.2
14,00937B,群益ESG投等債20+,15.12,-0.01,-0.07,06/29,24.1,51.6,49.2,55.8,41.3,41.4,36.6,23.8,18.3,,,23.9
15,00746B,富邦A級公司債,36.31,0.01,0.03,06/29,0.53,20.4,1.81,54.6,22.3,28.0,52.4,51.7,52.2,44.3,,51.2
16,00958B,永豐ESG銀行債15+,9.48,0.01,0.11,06/29,57.9,19.4,35.3,54.5,50.1,52.5,39.1,20.4,11.9,,,20.8
17,00970B,新光BBB投等債20+,9.56,0.0,0.0,06/29,62.2,43.8,41.9,52.4,19.9,29.9,39.5,34.2,40.1,,,33.7
18,00714,群益道瓊美國地產,22.3,0.2,0.9,06/29,32.1,81.1,55.8,52.4,32.9,24.8,29.0,20.0,9.13,2.26,,20.0
19,00931B,統一美債20年,13.88,0.0,0.0,06/29,27.6,44.6,48.0,51.0,56.8,53.6,47.3,33.0,36.0,,,33.0
20,00717,富邦美國特別股,14.77,-0.01,-0.07,06/29,14.0,-3.52,35.7,49.2,67.8,67.3,78.6,67.9,60.8,44.2,,67.9
21,2910,統領,23.0,0.1,0.44,06/29,66.7,44.0,44.0,48.0,24.9,22.0,22.5,10.3,1.89,1.32,1.11,10.6
22,00740B,富邦全球投等債,39.32,0.0,0.0,06/29,31.2,43.2,44.8,46.9,34.5,41.8,44.9,35.9,35.0,15.5,,35.7
23,00787B,元大10年IG醫療債,33.12,-0.06,-0.18,06/29,0.0,12.1,8.13,46.9,34.4,22.8,5.97,-8.57,-6.1,-0.88,,-4.74
24,6414,樺漢,360.0,-1.5,-0.41,06/29,46.8,48.8,50.4,46.3,37.8,19.6,22.7,16.6,10.0,2.58,0.97,16.8
25,2707,晶華,180.0,1.5,0.84,06/29,63.6,38.6,45.8,45.8,23.2,26.6,-3.82,-8.01,-2.78,-0.96,-0.63,-7.83
26,0061,元大寶滬深,25.25,-0.02,-0.08,06/29,88.0,66.4,52.1,45.6,24.8,5.93,10.1,8.73,13.0,2.02,5.31,10.0
27,00687B,國泰20年美債,28.55,0.01,0.04,06/29,-20.2,24.8,40.3,45.5,44.0,26.0,25.8,30.1,23.4,6.36,,30.0
28,00725B,國泰投資級公司債,35.95,-0.02,-0.06,06/29,11.8,40.2,37.5,45.4,34.9,39.5,28.9,22.1,11.7,6.04,,22.3
29,00795B,中信美國公債20年,27.6,-0.02,-0.07,06/29,16.4,39.0,41.1,44.8,43.9,42.8,36.6,41.9,30.0,13.7,,42.6
30,00908,富邦入息REITs+,15.2,0.13,0.86,06/29,45.1,57.8,52.6,44.1,-13.7,18.2,32.5,19.6,7.33,3.46,,19.7
31,1439,雋揚,24.4,0.45,1.88,06/29,79.6,60.4,54.4,44.1,34.4,23.7,25.5,9.79,5.03,1.88,-0.67,10.0
32,4105,東洋,75.4,0.8,1.07,06/29,55.8,44.3,44.4,43.7,17.6,26.0,-2.84,-10.8,0.6,0.44,-0.47,-10.3
33,4130,健亞,25.4,0.5,2.01,06/29,70.1,57.8,53.8,42.6,25.6,15.6,-2.14,-1.81,-0.58,-0.8,-0.18,-1.91
34,00662,富邦NASDAQ,120.4,1.3,1.09,06/29,74.1,43.2,46.6,41.2,25.7,10.7,3.15,-0.15,-0.61,-0.21,-0.25,-0.1
35,4766,南寶,339.0,-1.0,-0.29,06/29,78.0,52.1,56.7,41.2,19.2,10.8,-0.63,-2.0,-1.26,-0.11,,-1.9
36,00689R,國泰20年美債反1,21.62,0.04,0.19,06/29,0.0,48.5,51.0,41.1,4.85,-3.0,14.7,14.7,9.32,2.41,,14.7
37,009817,國泰日本不動產,8.94,0.02,0.22,06/29,61.0,46.3,46.3,40.6,25.2,20.6,20.6,,,,,
38,00984B,大華優利美A債15,16.72,0.01,0.06,06/29,24.4,34.3,32.2,40.5,37.0,44.5,53.6,15.2,10.0,,,15.7
39,9908,大台北,29.6,0.05,0.17,06/29,21.8,10.8,15.0,40.2,33.3,24.4,8.35,2.19,1.97,1.19,0.55,2.1
40,00736,國泰新興市場,30.95,0.15,0.49,06/29,53.9,37.9,45.5,40.2,23.2,12.2,3.8,2.04,1.12,-0.56,,2.07
41,6491,晶碩,331.0,9.0,2.8,06/29,44.2,38.0,32.7,39.6,34.2,33.4,18.5,12.6,8.65,1.52,,13.4
42,1702,南僑,31.5,0.25,0.8,06/29,58.1,6.91,24.0,39.4,26.5,14.9,-0.12,1.54,-6.55,-2.41,-2.85,1.26
43,5903,全家,188.5,0.5,0.27,06/29,-8.09,22.7,24.9,39.1,4.85,-0.15,-4.08,0.87,-7.75,-6.68,-5.88,0.45
44,2801,彰銀,23.55,0.15,0.64,06/29,15.8,23.5,33.9,36.6,26.2,27.6,4.28,2.01,3.95,4.0,1.8,1.63
45,1477,聚陽,222.0,6.0,2.78,06/29,17.4,-5.31,20.1,36.4,24.7,18.0,7.34,-0.19,0.76,-2.17,-0.4,0.03
46,7827,漢康-KY創,171.5,-3.0,-1.72,06/29,9.63,20.5,24.7,35.7,22.2,19.4,,,,,,
47,00981D,主動中信非投等債,10.41,0.02,0.19,06/29,15.0,20.9,16.2,35.5,5.32,19.0,20.1,4.31,,,,4.42
48,2478,大毅,205.0,-13.0,-5.96,06/29,39.6,31.1,30.4,35.4,11.7,2.4,2.8,2.22,1.92,1.79,0.35,2.19
49,2547,日勝生,11.0,0.1,0.92,06/29,45.5,36.9,43.5,35.0,17.9,5.87,-5.54,-7.93,-11.7,-1.06,-0.62,-7.63
50,00926,凱基全球菁英55,24.35,0.32,1.33,06/29,69.0,41.4,45.7,34.6,20.1,10.4,3.73,6.73,3.54,1.31,,6.81
51,00898,國泰基因免疫革命,9.3,0.34,3.79,06/29,-19.9,1.14,7.86,34.6,44.6,43.2,47.7,41.8,38.2,34.8,,41.9
52,00885,富邦越南,18.98,0.1,0.53,06/29,42.5,42.0,34.3,34.1,21.3,10.2,21.8,12.7,15.9,9.79,,12.2
53,4536,拓凱,165.5,1.5,0.91,06/29,44.0,6.11,31.9,34.1,26.9,25.6,9.45,-3.86,-7.18,-0.03,0.23,-3.69
54,2812,台中銀,19.95,0.15,0.76,06/29,27.7,11.8,27.6,34.1,20.2,8.77,-8.89,-10.1,-7.31,-2.83,-0.65,-9.69
55,00768B,復華20年美債,51.5,0.0,0.0,06/29,0.0,25.5,37.0,33.7,33.2,22.1,20.1,-7.85,20.2,18.7,,-7.81
56,00864B,中信美國公債0-1,46.36,0.04,0.09,06/29,4.68,36.8,32.9,33.6,23.6,13.5,2.94,5.72,8.84,3.8,,6.01
57,2542,興富發,43.1,0.2,0.47,06/29,17.0,35.4,38.5,33.6,3.2,-13.3,-2.43,-0.9,-3.47,-1.18,-2.46,-1.13
58,1907,永豐餘,27.35,0.35,1.3,06/29,24.9,24.8,25.3,33.1,5.04,10.3,2.32,-1.72,-0.36,1.64,-0.26,-1.21
59,5880,合庫金,24.85,0.15,0.61,06/29,21.3,12.4,33.2,33.0,33.4,26.2,4.22,-1.62,0.84,-3.66,-0.5,-1.6
60,6958,日盛台駿,16.3,-0.1,-0.61,06/29,28.1,1.66,3.02,32.7,23.6,8.15,7.22,4.38,2.82,,,4.67
61,2816,旺旺保,33.2,0.15,0.45,06/29,39.5,26.3,27.8,32.3,12.0,7.83,5.02,4.55,5.28,0.23,-2.69,4.7
62,2836,高雄銀,12.25,0.0,0.0,06/29,20.5,16.9,26.1,31.8,9.32,7.88,-7.08,-5.29,3.32,1.65,1.74,-5.23
63,00862B,中信投資級公司債,32.25,-0.01,-0.03,06/29,7.34,36.7,26.8,31.4,26.6,14.2,27.1,15.2,14.9,21.1,,15.4
64,2852,第一保,26.5,0.2,0.76,06/29,24.5,9.09,27.5,31.2,6.71,8.78,8.06,-3.32,-4.62,0.97,0.07,-3.32
65,2528,皇普,21.05,0.15,0.72,06/29,30.6,15.7,25.2,31.1,16.5,4.06,-4.23,-13.5,-6.58,-1.03,-0.52,-13.9
66,8462,柏文,142.0,6.0,4.41,06/29,56.8,52.8,47.3,31.1,4.55,5.17,-0.47,-0.02,0.04,-0.19,0.0,1.92
67,00739,元大MSCI A股,29.25,-0.15,-0.51,06/29,80.1,58.6,33.2,31.0,26.8,21.2,14.6,14.8,8.22,3.05,,15.0
68,1527,鑽全,33.35,0.15,0.45,06/29,33.5,17.5,19.8,30.9,21.6,20.1,10.7,2.26,1.19,0.39,-2.92,2.33
69,2610,華航,23.1,-0.1,-0.43,06/29,0.8,3.15,20.8,30.7,21.8,13.9,3.95,3.71,-1.54,0.56,0.08,3.67
70,4127,天良,68.5,4.0,6.2,06/29,33.0,12.7,25.2,30.6,10.3,7.48,1.62,1.05,0.52,0.08,0.07,1.05
71,9907,統一實,15.2,0.25,1.67,06/29,63.5,29.2,40.6,30.5,11.5,0.26,-19.2,-12.8,-5.74,-3.23,-0.82,-10.1
72,2887F,台新新光戊特二,47.4,0.1,0.21,06/29,24.8,43.5,38.6,30.5,15.1,9.38,3.33,4.04,1.84,0.79,,4.16
73,00968B,元大優息投等債,9.42,-0.01,-0.11,06/29,26.9,27.8,24.6,30.1,8.51,9.73,17.4,6.99,35.4,,,7.03
74,00652,富邦印度,33.3,0.26,0.79,06/29,83.2,49.2,42.6,29.9,21.1,9.27,3.08,1.6,1.03,-0.3,0.41,1.6
75,1434,福懋,17.0,0.3,1.8,06/29,13.5,-1.08,15.9,29.8,30.8,25.9,5.78,7.23,2.71,-0.11,-2.67,7.16
76,3115,富榮綱,9.0,0.0,0.0,06/29,0.0,0.0,37.1,29.6,9.1,10.8,6.0,2.68,-2.67,-1.74,2.17,3.4
77,00773B,中信優先金融債,36.56,0.01,0.03,06/29,-0.4,11.3,11.0,29.5,30.6,27.4,33.2,29.4,23.4,25.4,,29.4
78,6219,富旺,13.0,-0.05,-0.38,06/29,43.4,18.2,27.6,28.7,4.34,8.42,6.6,1.17,-0.31,-0.25,0.02,1.1
79,4530,宏易,29.2,1.35,4.85,06/29,39.1,30.3,29.8,28.7,24.3,17.8,9.28,6.39,2.29,0.57,0.08,6.54
80,1319,東陽,76.2,-1.1,-1.42,06/29,22.4,9.84,19.2,28.5,19.2,6.7,-3.08,-3.26,-5.98,-2.36,-1.68,-4.38
81,1734,杏輝,32.7,0.7,2.19,06/29,37.7,27.8,25.7,28.4,18.2,14.8,1.84,1.58,1.29,-3.57,0.17,1.85
82,3716,中化控股,35.2,0.55,1.59,06/29,54.1,8.49,17.5,28.1,14.0,18.2,9.9,8.51,3.82,,,8.63
83,2748,雲品,39.8,0.5,1.27,06/29,41.3,34.5,32.9,28.1,25.4,19.8,4.41,2.74,-0.32,-0.19,,3.01
