代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2382,廣達,372.0,4.0,1.09,07/01,1,2112,15.2,0.05,29,313156,24.8,8.11,4,696,1.21,0.02,4,10569,18.4,0.27
2377,微星,145.5,-0.5,-0.34,07/01,-2,-10051,-13.7,-1.19,24,35887,5.31,4.25,-8,-2338,-1.51,-0.28,10,25990,14.8,3.08
0050,元大台灣50,109.35,1.55,1.44,07/01,2,29500,16.0,0.14,20,75807,2.16,0.37,2,10568,5.75,0.05,2,51802,28.2,0.25
8926,台汽電,74.3,-2.0,-2.62,07/01,-6,-19272,-34.8,-2.32,15,12474,6.95,1.5,3,25,0.11,0.0,-2,-4464,-25.8,-0.54
2633,台灣高鐵,26.5,0.0,0.0,07/01,-10,-73922,-45.3,-1.31,14,84873,42.6,1.51,-1,-24,-0.24,0.0,-2,-4614,-18.8,-0.08
4915,致伸,66.4,0.4,0.61,07/01,-12,-26877,-35.0,-5.7,14,9342,10.7,1.98,2,308,2.56,0.07,2,620,5.15,0.13
6670,復盛應用,251.5,-4.0,-1.57,07/01,1,157,18.4,0.11,14,3802,21.5,2.73,-2,-10,-0.47,-0.01,6,1016,11.2,0.73
2903,遠百,21.8,0.05,0.23,07/01,-5,-12003,-39.9,-0.85,13,12098,21.1,0.85,1,11,0.16,0.0,-2,-2179,-14.6,-0.15
2886,兆豐金,46.15,0.05,0.11,07/01,-10,-275201,-48.8,-1.86,12,316354,51.4,2.13,9,5055,0.95,0.03,7,25031,6.19,0.17
3189,景碩,888.0,-3.0,-0.34,07/01,1,333,0.86,0.06,12,16234,4.05,3.08,-1,-337,-0.87,-0.06,1,835,2.16,0.16
1513,中興電,177.0,0.0,0.0,07/01,-4,-4764,-16.7,-0.95,11,18376,14.0,3.65,-7,-1213,-1.48,-0.24,1,61,1.44,0.01
2504,國產,33.3,0.05,0.15,07/01,-3,-6461,-40.3,-0.55,11,25269,32.1,2.14,-2,-15,-0.14,0.0,2,887,8.32,0.08
2845,遠東銀,13.0,0.0,0.0,07/01,-9,-68731,-33.3,-1.41,11,89516,33.7,1.84,-4,-121,-0.19,0.0,-2,-4031,-13.9,-0.08
2892,第一金,33.2,0.45,1.37,07/01,-4,-141494,-51.7,-0.98,11,292534,44.0,2.03,9,2285,0.42,0.02,17,299226,29.4,2.08
3596,智易,193.5,1.5,0.78,07/01,-1,-589,-31.6,-0.27,11,5482,16.6,2.49,-1,-23,-1.23,-0.01,3,1805,27.6,0.82
5876,上海商銀,42.4,-0.3,-0.7,07/01,-11,-67887,-42.5,-1.4,11,65964,41.3,1.36,7,1679,1.73,0.03,1,974,15.1,0.02
8464,億豐,357.0,11.0,3.18,07/01,-12,-3769,-31.1,-1.29,11,3581,30.7,1.22,1,1,0.17,0.0,1,138,17.7,0.05
1303,南亞,183.0,16.5,9.91,07/01,2,14462,18.7,0.18,10,92502,12.2,1.17,-1,-1402,-3.11,-0.02,3,26610,25.6,0.34
1590,亞德客-KY,1375.0,40.0,3.0,07/01,1,159,32.0,0.08,10,336,3.84,0.17,-2,-3,-0.23,0.0,1,158,31.8,0.08
2890,永豐金,40.0,0.1,0.25,07/01,-2,-74535,-42.1,-0.51,10,252194,33.0,1.74,7,3052,0.67,0.02,14,242191,24.8,1.67
