排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00683L,期元大美元指正2,21.99,-0.05,-0.23,07/07,-7.19,1800.0,415.0,286.0,80.3,48.9,26.8,13.8,6.51,17.1,,12.6
2,020032,元大綠能N,10.75,0.0,0.0,07/07,,100.0,100.0,100.0,47.1,73.8,60.2,41.7,52.3,22.5,,42.3
3,020035,元大上櫃ESG高息N,15.93,0.0,0.0,07/07,,,,100.0,100.0,56.4,11.2,2.57,7.95,7.35,,2.79
4,020039,元大加權N,14.94,0.0,0.0,07/07,,100.0,100.0,99.5,92.9,72.2,67.9,43.3,39.6,,,43.9
5,6283,淳安,23.4,-0.7,-2.9,07/07,-54.4,138.0,125.0,84.3,27.8,14.6,1.25,-0.63,-0.12,0.69,-0.08,-2.58
6,020036,元大金融配息N,9.86,0.16,1.65,07/07,100.0,33.3,38.5,79.6,48.6,0.0,2.99,7.27,13.1,18.8,,9.52
7,020030,統一智慧電動車N,18.55,-0.22,-1.17,07/07,-100.0,-54.6,-48.0,78.7,63.6,46.0,27.6,41.5,47.3,74.7,,41.5
8,009822,華南永昌未來金融,9.91,0.07,0.71,07/07,79.3,79.6,79.2,71.4,65.7,54.2,,,,,,
9,009807,台新標普科技精選,16.58,-0.07,-0.42,07/07,-61.8,69.3,59.1,71.2,40.5,28.6,27.8,21.5,-5.95,,,22.3
10,020028,元大特選電動車N,19.34,-0.44,-2.22,07/07,33.3,47.4,50.0,69.7,33.9,64.8,62.3,68.0,47.6,35.8,,68.2
11,00638R,元大滬深300反1,6.74,0.04,0.6,07/07,71.7,54.2,43.6,67.6,36.0,31.0,2.59,9.65,1.24,0.28,-0.64,9.7
12,910322,康師傅-DR,22.5,-0.95,-4.05,07/07,10.0,90.5,91.3,66.8,10.7,-55.2,-26.6,-2.22,-6.95,-1.42,-0.55,-2.35
13,1439,雋揚,24.2,0.0,0.0,07/07,31.7,389.0,117.0,66.1,59.2,32.6,27.6,10.8,5.76,2.07,-0.65,10.3
14,00932,兆豐永續高息等權,17.88,-0.28,-1.54,07/07,59.8,56.1,75.4,65.9,60.5,60.4,70.0,67.4,64.8,,,67.8
15,00986B,FT金融債10+,9.97,-0.02,-0.2,07/07,81.8,86.9,86.1,64.8,59.5,71.8,41.2,12.0,,,,12.0
16,00982B,FT投資級債20+,9.97,0.01,0.1,07/07,-2.5,88.6,78.9,63.7,64.0,77.4,34.4,41.0,14.1,,,39.3
17,00682U,期元大美元指數,20.78,-0.01,-0.05,07/07,-100.0,100.0,97.1,63.7,2.26,36.8,46.9,14.5,11.8,32.3,,14.6
18,00673R,期元大S&P原油反1,16.03,-0.14,-0.87,07/07,73.0,55.1,51.2,62.1,59.6,54.1,-4.78,-10.6,-0.19,-0.16,,-10.3
