代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00756B,群益投等新興公債,32.09,-0.07,-0.22,07/07,19,188248,98.5,13.4,0,0,0.0,0.0,1,29,14.0,0.0,3,188,29.1,0.01
6414,樺漢,400.0,16.0,4.17,07/07,15,10184,43.4,6.98,-2,-6,-0.11,0.0,-8,-518,-4.52,-0.36,9,3325,25.6,2.28
00862B,中信投資級公司債,32.02,-0.14,-0.44,07/07,14,1704,27.3,0.19,0,0,0.0,0.0,-1,-39,-10.5,0.0,14,801,12.8,0.09
8446,華研,88.3,-0.3,-0.34,07/07,14,200,21.7,0.38,0,0,0.0,0.0,-2,0,-0.27,0.0,14,199,21.7,0.38
00652,富邦印度,33.66,0.01,0.03,07/07,12,1942,33.8,2.94,0,0,0.0,0.0,1,162,51.9,0.25,1,192,61.5,0.29
6568,宏觀,156.0,-6.0,-3.7,07/07,12,282,11.3,0.92,0,0,0.0,0.0,-5,-130,-16.7,-0.42,-2,-74,-17.5,-0.24
6492,生華科,44.6,0.9,2.06,07/07,11,404,24.1,0.45,0,0,0.0,0.0,-1,0,-0.1,0.0,11,404,24.2,0.45
7610,聯友金屬-創,2400.0,-145.0,-5.7,07/07,11,655,21.9,1.35,0,0,0.0,0.0,-1,-3,-1.65,-0.01,11,634,21.2,1.3
00857B,永豐20年美公債,23.39,-0.07,-0.3,07/07,10,14124,61.6,2.6,0,0,0.0,0.0,1,31,2.23,0.01,10,16954,74.0,3.11
00864B,中信美國公債0-1,46.72,0.13,0.28,07/07,10,4287,33.3,4.05,0,0,0.0,0.0,-6,-1115,-16.4,-1.06,4,1276,28.5,1.21
