排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00870B,元大15年EM主權債,28.62,-0.16,-0.56,07/09,63.4,-93.8,-94.0,-91.8,-90.1,-41.2,-5.45,97.5,95.5,75.8,,97.3
2,00768B,復華20年美債,50.25,0.0,0.0,07/09,-72.2,-90.1,-86.7,-64.0,-3.2,12.1,11.6,-9.64,20.0,18.6,,-8.3
3,00943,兆豐電子高息等權,22.42,-0.06,-0.27,07/09,-97.9,-86.2,-80.3,-73.4,-40.0,-34.6,21.9,22.5,11.4,,,22.2
4,00836B,永豐10年A公司債,28.77,0.04,0.14,07/09,-99.4,-70.8,-68.9,-62.1,11.7,2.35,-1.38,6.84,83.2,82.5,,83.3
5,3130,一零四,220.5,0.0,0.0,07/09,-62.5,-61.3,-68.6,-76.3,-57.6,-41.2,-26.9,-26.1,-17.9,-25.2,-17.0,-26.2
6,1102,亞泥,35.7,-0.1,-0.28,07/09,-68.1,-67.6,-62.5,-45.8,10.2,3.11,-8.64,-10.3,-12.0,-2.8,-1.89,-11.6
7,00687B,國泰20年美債,27.89,0.02,0.07,07/09,-83.0,-69.7,-61.5,-38.2,25.8,26.9,26.1,28.5,23.8,6.46,,29.8
8,3686,達能,16.45,-0.15,-0.9,07/09,-6.16,-42.2,-59.6,-23.1,-9.49,2.0,2.83,0.56,1.0,0.29,0.11,0.7
9,3546,宇峻,74.4,1.3,1.78,07/09,-16.9,-40.6,-55.6,-30.7,-11.4,4.23,7.6,4.99,0.9,-0.32,0.16,4.59
10,2211,長榮鋼,95.0,-0.1,-0.11,07/09,-42.4,-52.9,-55.2,-27.4,-14.8,-8.12,-8.68,-8.43,-6.67,-4.77,,-7.65
11,00739,元大MSCI A股,28.87,-0.11,-0.38,07/09,33.7,-44.6,-55.2,-75.9,4.17,7.46,11.9,12.7,7.49,2.89,,12.8
12,1612,宏泰,33.55,-0.1,-0.3,07/09,-35.6,-48.7,-54.2,-36.3,-35.0,-22.7,-6.39,-3.57,3.01,0.59,0.37,-3.37
13,6283,淳安,23.2,-0.1,-0.43,07/09,-43.8,-46.1,-50.8,-19.0,-12.6,2.16,-1.91,-2.56,-0.49,0.35,-0.1,-2.74
14,1101,台泥,22.7,-0.4,-1.73,07/09,-75.6,-67.9,-50.6,-28.9,-39.0,-24.4,-21.7,-14.1,-7.49,-5.36,-5.59,-13.1
15,5292,華懋,192.5,-5.5,-2.78,07/09,-65.6,-54.4,-49.6,-37.7,-28.1,-8.94,-2.44,1.81,1.86,,,2.3
16,6115,鎰勝,46.0,0.6,1.32,07/09,-53.1,-45.0,-48.8,-26.5,-18.8,-7.22,0.9,1.13,0.07,-0.07,-4.35,1.08
17,3465,進泰電子,34.7,0.3,0.87,07/09,2.6,-48.1,-48.5,-40.8,-18.1,-7.52,-1.92,-1.6,-1.15,5.3,1.58,-1.68
18,5209,新鼎,158.5,1.0,0.63,07/09,16.9,-34.7,-48.4,-37.0,-31.0,-22.1,-6.22,-4.18,0.29,-1.32,0.06,-4.39
19,3025,星通,59.8,-1.0,-1.64,07/09,-52.7,-33.8,-48.4,-37.8,-31.8,-12.4,-4.36,-0.63,-0.27,0.04,-0.05,1.03
20,2745,五福,106.0,0.5,0.47,07/09,-37.6,-44.4,-48.2,-18.4,-5.29,2.84,-1.04,-0.69,-4.26,-0.01,,-0.48
21,6754,匯僑設計,41.5,-0.25,-0.6,07/09,-27.8,-30.7,-47.8,-7.17,-10.1,-8.79,-3.22,-2.08,-6.2,0.34,,-2.12
22,00761B,國泰A級公司債,34.53,0.01,0.03,07/09,-74.9,-73.2,-47.8,1.11,11.8,11.5,2.42,40.1,27.6,33.1,,39.9
23,8429,金麗-KY,6.25,-0.05,-0.79,07/09,-1.91,-37.0,-47.6,-3.42,-2.42,0.45,-4.67,-3.83,-1.86,-0.35,-0.02,-3.59
24,2748,雲品,39.55,0.1,0.25,07/09,-17.9,-17.9,-46.5,-13.6,5.9,14.7,2.58,2.49,-0.67,0.11,,2.62
25,6598,ABC-KY,22.85,0.1,0.44,07/09,-53.0,-43.2,-46.0,-18.0,-17.1,-14.0,-3.55,0.09,-0.84,-0.48,,0.22
26,6835,圓裕,34.35,-0.2,-0.58,07/09,-42.3,-47.5,-45.8,-15.2,-20.0,-26.3,-2.52,-2.26,-2.32,-0.29,,-2.46
27,4588,玖鼎電力,57.5,0.0,0.0,07/09,-62.4,-45.1,-45.6,-13.8,-0.91,8.1,-2.07,-3.65,-2.04,,,-3.48
28,2548,華固,101.0,0.5,0.5,07/09,-23.0,-48.5,-45.4,-20.4,-4.73,-1.18,-9.02,1.2,0.88,-0.41,-0.6,1.16
29,2347,聯強,88.5,-0.6,-0.67,07/09,-32.2,-31.3,-45.3,-50.9,-47.2,-29.0,-22.8,-5.5,-1.27,-0.5,-1.34,-2.76
30,00780B,國泰A級金融債,37.57,0.01,0.03,07/09,-34.4,-53.6,-45.3,-19.4,-19.1,-8.68,-3.18,64.7,73.0,52.8,,64.1
31,2032,新鋼,16.4,-0.05,-0.3,07/09,-38.6,-44.1,-45.2,-8.17,-15.5,-1.85,6.76,2.7,1.08,0.79,0.15,2.48
32,00989A,主動摩根美國科技,17.66,0.16,0.91,07/09,28.9,-9.88,-44.9,-32.4,-4.43,-1.38,16.9,12.8,,,,13.5
