"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","00836B","永豐10年A公司債","28.63","-0.14","-0.49","07/13","0","96.2","97.5","91.2","44.2","43.6","43.1","18.3","2.46","2.39","","2.89"
"2","00870B","元大15年EM主權債","28.51","-0.11","-0.38","07/13","0","0","94","91.8","91.4","73.6","43.5","1.04","1.73","3.44","","1.13"
"3","1102","亞泥","34.9","-0.8","-2.24","07/13","90.8","87.9","86.4","80.4","39.4","41.6","63.8","64.2","63.8","55.4","49.2","64"
"4","00943","兆豐電子高息等權","22.3","-0.12","-0.54","07/13","5.89","90","86.3","78.1","52.3","44.1","22.3","11.9","10","","","11.3"
"5","00768B","復華20年美債","50.15","-0.1","-0.2","07/13","1.33","52.5","82.6","65.7","33.9","20.2","17","36","9.57","16.1","","34.6"
"6","00761B","國泰A級公司債","34.3","-0.23","-0.67","07/13","89","82.9","80.8","53.5","36","26.7","26.8","15.2","14.6","13.4","","15"
"7","1101","台泥","22.85","+0.15","+0.66","07/13","77.5","82","80.5","74.4","68.6","63.6","58.4","52.5","47.3","48.5","45.8","50.7"
"8","00968B","元大優息投等債","9.24","-0.06","-0.65","07/13","91.9","85","79.3","65.6","29","21","16.2","21","11.1","","","20.1"
"9","2548","華固","100","-1","-0.99","07/13","74.2","74.8","79","73.9","58","46.6","43.2","37.7","35.9","36.5","34.8","37.6"
"10","00982B","FT投資級債20+","9.83","-0.08","-0.81","07/13","95.9","80.8","76.5","41.1","14.6","13.8","2.13","1.73","1.48","","","1.76"
"11","2330","台積電","2440","+25","+1.04","07/13","71.4","77.5","76.4","69.1","69.5","67.4","64.6","64","58.6","57.5","60.1","63.8"
"12","3130","一零四","221","+0.5","+0.23","07/13","72.8","74.9","74.8","80.2","74.6","64.2","48.5","45","44.8","47.4","46.1","45.1"
"13","3533","嘉澤","1980","+25","+1.28","07/13","79.8","77.8","74.5","73.8","58.8","48.7","48.8","46.2","47.2","48.2","29","45.8"
"14","1590","亞德客-KY","1320","+40","+3.12","07/13","54","67.2","71.4","67.4","72.1","76.6","75","73.2","73.1","72.5","54.6","72.6"
"15","2308","台達電","1890","+10","+0.53","07/13","68.4","70.8","71","64.7","61.5","58.9","56.5","53.1","51.6","54.3","55.9","52"
"16","00970B","台新BBB投等債20+","9.37","-0.07","-0.74","07/13","86.2","73","70.8","56.8","35.8","22.3","11.2","6.88","4.51","","","6.54"
"17","00937B","群益ESG投等債20+","14.79","-0.12","-0.8","07/13","83.6","74.5","70.6","54.8","40","20.2","9.85","13.2","12.3","","","12.5"
"18","9904","寶成","24.25","0","0","07/13","64.7","71","70.4","70.6","47.1","55.2","57.7","48.4","24.4","8.49","3.77","46.7"
"19","00720B","元大投資級公司債","33.1","-0.23","-0.69","07/13","79","73.1","70.3","53","36.4","22.8","16.6","17.5","15.4","13.9","","17.1"
"20","1402","遠東新","26.85","-0.6","-2.19","07/13","71.2","66.6","70.3","71.1","61.5","56.7","59.8","58","57.2","54.6","47.7","57.7"
"21","2345","智邦","2405","-65","-2.63","07/13","60.5","64.7","70.2","63.5","57.4","56.9","54.7","51.9","49.3","52.8","37.5","51.2"
"22","00959B","大華投等美債15Y+","9.37","-0.06","-0.64","07/13","48.2","36.7","69.7","41.9","27.8","14.8","5.37","7.51","6.1","","","7.36"
"23","2885","元大金","68.3","0","0","07/13","71.2","70.7","68.4","60.5","62.3","54.2","53.5","58.4","53.2","53.1","48.3","56.6"
"24","2887I","台新新光辛特","9.48","+0.04","+0.42","07/13","42.9","63.4","68.4","59.3","36","33.2","19.8","16.8","","","","17.2"
"25","5292","華懋","180","-12.5","-6.49","07/13","65.4","72.1","68.2","63.9","57","45.5","34.6","29.8","26.5","","","28.7"
"26","2762","世界健身-KY","82","-0.4","-0.49","07/13","51.9","68.1","67.1","68.5","71.4","64.6","38.3","35.4","24.4","","","35.4"
"27","8464","億豐","368","+8","+2.22","07/13","58.3","62.2","66.7","74.8","77.1","80.3","77.6","43.8","23.6","9.42","3.24","44.7"
"28","1612","宏泰","32.8","-0.75","-2.24","07/13","61.1","64.6","66.5","62.9","53.1","46.8","35.4","33","31","27.2","22.1","32.9"
"29","3023","信邦","324","-2","-0.61","07/13","74.8","64","66.4","70.6","65.1","63.2","46.8","47.4","51.3","56.3","44","47.4"
"30","2504","國產","31.2","-0.9","-2.8","07/13","64.5","66.2","66.4","55.2","49","45.8","49.6","48.8","47.4","41.5","25.6","49.2"
"31","2718","全心投控","48.4","-0.8","-1.63","07/13","70","63.3","65.6","47.8","26.4","21.3","17.8","16.2","17.6","15.9","11.7","16.3"
"32","00751B","元大AAA至A公司債","31.28","-0.17","-0.54","07/13","68.2","58.9","65.4","46.6","35.1","25.2","17.5","18.6","14.2","13","","15.9"
"33","00948B","中信優息投資級債","9.44","-0.06","-0.63","07/13","86.6","68.7","65.2","49","13.9","14.1","7.89","8.61","8.18","","","8.65"
"34","00687B","國泰20年美債","27.83","-0.06","-0.22","07/13","42.3","71.7","64.8","52.2","20.8","12.4","11","10.8","10.2","11.5","","10.2"
"35","5904","寶雅","669","-51","-7.08","07/13","67.7","66.3","64.7","59.5","56.3","54.4","49.9","48.4","53.1","48.8","46.4","48.6"
"36","3044","健鼎","439","-9.5","-2.12","07/13","68.5","58.3","64.3","62.2","52.5","47.1","45.6","46.4","43.8","40","42.6","46"
"37","4938","和碩","82.6","-0.1","-0.12","07/13","60.8","61.9","63.6","48.9","39.8","37.5","49.3","47.3","49.1","49.2","48.7","46.5"
"38","6283","淳安","21.8","-1.4","-6.03","07/13","60.6","61.1","63.5","55.9","45.4","33.9","28.8","31","23.4","22.3","13","31.2"
"39","2881","富邦金","127","+2.5","+2.01","07/13","60.4","64.6","63.5","57.1","42.3","47","44","48.1","51.2","50.7","48","48"
"40","2207","和泰車","475","-1.5","-0.31","07/13","71","70.4","62.9","60.7","68.5","38.2","55.5","59.4","63.4","66.7","60.6","59.8"
"41","4766","南寶","339","-0.5","-0.15","07/13","47.9","65.7","62.7","53.7","29.4","31","33.1","35.1","34.3","36.3","","35.5"
"42","2387","精元","38.85","-1","-2.51","07/13","73.7","71.4","62.6","42.5","38.4","38.6","32.3","31.6","37.2","29.1","17.4","31.9"
"43","2882","國泰金","96.7","+0.4","+0.42","07/13","52.7","58.3","62.2","46.7","41.5","49.2","47.2","51.5","50.9","50.4","45.4","51.5"
"44","9933","中鼎","40.6","-0.5","-1.22","07/13","57.2","57.4","61.8","47.2","52","41","34.4","21.9","13.1","4.83","2.45","21.8"
"45","3465","進泰電子","34.85","+0.15","+0.43","07/13","70.2","52.6","61.8","62","44","28.7","20.7","18.5","17.3","14","12.6","18.4"
"46","5871","中租-KY","116.5","+2","+1.75","07/13","52.8","61.1","61.5","59.9","62.9","68.5","59.5","56.8","52.8","58.9","55.8","55"
"47","00723B","群益投資級科技債","30.57","-0.25","-0.81","07/13","71.4","69","61.5","24","19.2","16.6","14.7","16.6","13.6","7.09","","16.1"
"48","2211","長榮鋼","95.3","+0.3","+0.32","07/13","39.8","49.2","61.4","63.2","54.2","49.2","44.7","42.9","44.8","41.2","","42.3"
"49","6669","緯穎","4960","-80","-1.59","07/13","53.3","61.3","61.4","54.5","52.2","51.2","48.1","46.9","43.8","41.9","","46.4"
"50","7750","新代","2030","-35","-1.69","07/13","63.6","65.2","61.1","55.2","51.8","50","38.5","25.1","","","","25.1"
"51","9911","櫻花","84.5","+1","+1.2","07/13","46","53.5","61.1","46","47.3","48.7","43.7","25.9","18","4.16","1.49","26.5"
"52","2451","創見","252.5","-1","-0.39","07/13","61.1","58.7","61","50.7","51","51.9","36.8","34.6","32.4","35","35.4","33.8"
"53","9910","豐泰","67.4","-0.1","-0.15","07/13","65.8","64","60.2","60.6","48.7","36.8","50.9","37","27","12.8","4.5","37.4"
"54","1726","永記","78.7","-0.1","-0.13","07/13","61.1","58.6","60.1","58.2","50.8","49.4","43.5","38.7","31.2","39.6","38.3","37.9"
"55","2834","臺企銀","17.75","-0.2","-1.11","07/13","84.8","79.9","60.1","47.8","46.2","40","41","47.7","42.2","38.2","33.8","47.6"
"56","2254","巨鎧精密-創","59.4","0","0","07/13","0","0","60","17.6","14.2","20.1","23.2","13.4","12.9","","","13"
"57","1470","大統新創","21.45","-0.05","-0.23","07/13","57.1","55.5","60","55.5","34.5","18.7","10.2","12.4","12","9.51","13.8","12.3"
"58","3010","華立","118.5","+1","+0.85","07/13","55.6","58.8","59.9","56.9","45.6","41.9","38.2","34.6","34.6","32.7","29.2","34.7"
"59","2855","統一證","49.65","-0.75","-1.49","07/13","60.2","52.6","59.5","41.4","44.6","46.4","43.8","39.3","38.2","36.8","29.3","38.6"
"60","6115","鎰勝","45.75","-0.25","-0.54","07/13","68.4","64.7","59.4","53.3","44.8","35.4","25.7","24.8","23.5","22.6","21.3","24.7"
