"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00870B","元大15年EM主權債","28.51","-0.11","-0.38","07/13","+100","+77.6","-89.2","-87.4","-87.4","-58.2","-5.36","+97.5","+95.5","+75.8","","+97.3"
"2","00943","兆豐電子高息等權","22.3","-0.12","-0.54","07/13","-5.89","-89.9","-81.7","-73.2","-39.1","-35.3","+17.6","+22.7","+13.1","","","+22.2"
"3","00761B","國泰A級公司債","34.3","-0.23","-0.67","07/13","-89","-82.9","-80.5","-43.3","-10.1","+4.8","-0.02","+38.1","+26.6","+33","","+38"
"4","00968B","元大優息投等債","9.24","-0.06","-0.65","07/13","-91.9","-84.8","-79.2","-55.3","-1.01","+2.32","+11.4","+3.95","+34.8","","","+6.16"
"5","00768B","復華20年美債","50.15","-0.1","-0.2","07/13","+59.1","-35.7","-77.3","-58","-13.9","+12.5","+12.1","-10.7","+20","+18.6","","-8.21"
"6","00982B","FT投資級債20+","9.83","-0.08","-0.81","07/13","-95.9","-80.8","-76.5","-38.6","-9.88","-11","+33.6","+18.4","+5.09","","","+17.3"
"7","1102","亞泥","34.9","-0.8","-2.24","07/13","-79.1","-75","-72.9","-63.8","+1.44","+0.96","-9.36","-11.5","-13","-2.99","-2.02","-12.4"
"8","00970B","台新BBB投等債20+","9.37","-0.07","-0.74","07/13","-85.3","-72.1","-69.8","-52.6","-16.2","+2.7","+31.3","+29.3","+40.7","","","+30.7"
"9","00959B","大華投等美債15Y+","9.37","-0.06","-0.64","07/13","-48","-36.5","-69.6","-26","-2.77","+17.2","+37.7","+30.9","+37.4","","","+31.7"
"10","00836B","永豐10年A公司債","28.63","-0.14","-0.49","07/13","0","-96.2","-69.3","-61.2","+11","+2.47","-1.3","+6.67","+83.2","+82.6","","+83.3"
"11","00937B","群益ESG投等債20+","14.79","-0.12","-0.8","07/13","-79.7","-70.8","-68.3","-44.4","-27.1","+11","+27","+18.3","+16.7","","","+20.3"
"12","00720B","元大投資級公司債","33.1","-0.23","-0.69","07/13","-74.2","-68.3","-67","-43.2","-24","-2","+13.4","+13.7","+18.9","+5.93","","+14.4"
"13","00948B","中信優息投資級債","9.44","-0.06","-0.63","07/13","-85.8","-68.1","-65","-33.7","+58.3","+52.9","+50.2","+51.6","+50.8","","","+51"
"14","00723B","群益投資級科技債","30.57","-0.25","-0.81","07/13","-71.1","-68.9","-61.4","-20.8","-5.11","+0.72","-1.77","-4.41","-1.64","+41.2","","-3.56"
"15","00751B","元大AAA至A公司債","31.28","-0.17","-0.54","07/13","-60.8","-52.8","-61.3","-31.9","-21.8","-2.75","+13.2","+22","+36.4","+11","","+31.8"
"16","1101","台泥","22.85","+0.15","+0.66","07/13","-45","-63.4","-60.8","-43.9","-41.4","-29.3","-22.5","-15.3","-7.72","-5.39","-5.66","-13.3"
"17","00687B","國泰20年美債","27.83","-0.06","-0.22","07/13","-26.9","-66.1","-60.3","-44.4","+19.4","+33.9","+25.9","+27.5","+23.7","+6.45","","+29.6"
"18","00983D","主動富邦複合收益","10.15","-0.03","-0.29","07/13","-63.8","-49.3","-58.7","-42.9","-21.8","-8.81","-2.68","-1.05","","","","-0.65"
"19","00786B","元大10年IG銀行債","32.88","-0.13","-0.39","07/13","-95.8","-86.2","-58.4","-40.7","-13.9","-9.43","-6.51","-13.7","-13","+1.98","","-17.7"
"20","00746B","富邦A級公司債","35.61","-0.17","-0.48","07/13","-70","-54.2","-57.2","-7.11","+17.5","+19.8","+45","+47.5","+52.4","+44.2","","+48.5"
"21","3465","進泰電子","34.85","+0.15","+0.43","07/13","-66.9","-48.5","-56.9","-50.2","-30.4","-12.6","-4.53","-4.03","-3.02","+4.6","+1.4","-3.99"
"22","00933B","國泰10Y+金融債","16.06","-0.07","-0.43","07/13","-73.6","-59.8","-56.2","-29","-1.35","+26.3","+23.2","+38.2","+29.5","","","+37.6"
"23","2718","全心投控","48.4","-0.8","-1.63","07/13","-64","-57.6","-55.3","-37.8","-10","-6.8","-4.81","-0.94","-1.49","+0.32","+0.28","-1.05"
"24","5292","華懋","180","-12.5","-6.49","07/13","-53.7","-61.1","-54.2","-47.5","-36.9","-19","-3.47","+0.95","+1.39","","","+1.69"
"25","00966B","統一ESG投等債15+","13.89","-0.09","-0.64","07/13","-61.4","-54.4","-54","-23","-1.38","+18.6","+25.3","+13.7","+6.35","","","+12.6"
"26","2548","華固","100","-1","-0.99","07/13","-59.2","-46.9","-52.6","-44.6","-17","-8.36","-10.3","+0.89","+0.43","-0.5","-0.68","+0.79"
"27","00719B","元大美債1-3","31.43","-0.01","-0.03","07/13","-35.1","-55.2","-52.2","-29.8","-22","+1.7","-0.67","-0.73","+6.76","+5.05","","-0.28"
"28","2754","亞洲藏壽司","69.1","-0.5","-0.72","07/13","-67.1","-60.2","-51.8","-16.7","-10.8","-3.66","-4.38","-5.77","-6.52","-9.21","","-5.71"
"29","4552","力達-KY","19.45","-0.2","-1.02","07/13","-76.8","-57.8","-51","-34.2","-21.4","-18.5","-7.47","-4.82","-3.76","-3.89","","-4.72"
"30","3130","一零四","221","+0.5","+0.23","07/13","-42.5","-47.5","-50.1","-62.2","-57.2","-44.6","-27.5","-26.6","-19.4","-25.3","-17.1","-26.9"
"31","00780B","國泰A級金融債","37.46","-0.11","-0.29","07/13","-37.4","-35.9","-50.1","-38.5","-25","-7.13","-3.72","+64.6","+72.9","+52.8","","+63.8"
"32","00792B","群益A級公司債","31.67","-0.04","-0.13","07/13","-62.5","-54.3","-49.6","-16.4","+4.15","+4.11","+2.1","-0.24","+1.68","+65.1","","+0.92"
"33","6115","鎰勝","45.75","-0.25","-0.54","07/13","-57.4","-54.9","-48.8","-41.5","-22.5","-12.6","-0.75","+0.21","-0.41","-0.33","-4.43","+0.22"
"34","00772B","中信高評級公司債","33.54","-0.17","-0.5","07/13","-60","-39.2","-48.7","-1.5","+15.9","+39.7","+45.5","+43","+37.1","+14","","+43.3"
"35","6283","淳安","21.8","-1.4","-6.03","07/13","-49.1","-47.9","-47.9","-35","-8.75","+4.17","-2.2","-2.69","-0.64","+0.3","-0.1","-3.03"
"36","6170","統振","47.05","-0.2","-0.42","07/13","-33.1","-44","-47.3","-32.5","-24","-17.6","-2.23","-2.45","-1.73","+0.1","-0.09","-2.99"
"37","6629","泰金-KY","108","0","0","07/13","-44","-52.2","-46.8","-9.74","-5.38","-15.2","+2.88","+1.7","-0.72","-2.2","","+2.5"
"38","6924","榮惠-KY創","125","-5","-3.85","07/13","-67.6","-57.4","-46.4","-38.4","-25.2","-21","-6.29","-6.1","-4.05","","","-6.19"
"39","00739","元大MSCI A股","28.3","-0.57","-1.97","07/13","-50","-19.3","-45.9","-75.9","+2.11","+7.84","+11.8","+12.8","+7.48","+2.86","","+12.6"
"40","8049","晶采","26.35","-0.3","-1.13","07/13","-47.2","-38.1","-45.5","-32.9","-3.63","+3.8","+2.62","+2.45","+1.33","-0.2","+0.04","+2.19"
"41","1713","國化","47.8","-0.05","-0.1","07/13","-37.6","-34.4","-45","-26.3","-18.8","+2.76","+9.55","+1.47","-0.33","+0.41","+0.08","-0.03"
"42","1612","宏泰","32.8","-0.75","-2.24","07/13","-38.3","-37.5","-44.5","-40.3","-35.6","-25.9","-7.16","-4.04","+2.37","+0.37","+0.36","-3.73"
"43","1504","東元","66.5","-1","-1.48","07/13","-33.5","-42.2","-44.4","-12.6","-7.06","-10.1","-9.51","-7.9","-1.13","-1.95","-3.96","-7.46"
"44","00969B","元大零息超長美債","8.31","-0.02","-0.24","07/13","-5.53","-3.36","-44.1","-22.7","-27.5","-23.2","-21","+5.3","+2.19","","","+5.32"
"45","8906","花王","28.25","-0.3","-1.05","07/13","-55.1","-50.1","-42.8","-11.7","-4.18","-9.54","-2.22","-1.43","-0.89","-0.09","-0.06","-1.46"
"46","8342","益張","91","+0.2","+0.22","07/13","-98.2","-98.2","-42.4","-30.5","-16.2","-5.17","+1.32","+0.25","0","-0.07","","+0.36"
"47","2745","五福","103.5","-2.5","-2.36","07/13","-40.7","-39.8","-42.3","-31.1","-15.6","-1.31","-1.72","-0.94","-4.45","-0.05","","-0.88"
"48","2439","美律","87","-1.9","-2.14","07/13","-49","-45","-42.3","-28.9","-1.48","-9.64","-4.78","-7.69","-0.64","-0.5","-0.2","-6.03"
"49","6986","和迅","46.2","-0.8","-1.7","07/13","-38.4","-22.6","-42.2","-13.8","+2.55","","","","","","",""
"50","5469","瀚宇博","80.1","-0.5","-0.62","07/13","-42.2","-50.1","-41.6","-37.9","-28.7","-10.8","-6.11","-2.39","-2.09","-0.83","+0.03","-2.01"
"51","3686","達能","16.2","-0.25","-1.52","07/13","-39.9","-26.2","-41.4","-46.6","-9.48","-3.04","+2.15","+0.47","+0.92","+0.29","+0.09","+0.61"
"52","1608","華榮","33.6","-0.45","-1.32","07/13","-52.5","-35.6","-41.2","-16.6","-5.48","-9.47","-2.91","-0.5","+0.25","+0.08","-0.11","-0.89"
"53","4766","南寶","339","-0.5","-0.15","07/13","+0.07","-40.9","-41","-30.6","+19.5","+14","-0.31","-0.93","-0.93","-0.01","","-1.38"
"54","00754B","群益AAA-AA公司債","32.88","-0.29","-0.87","07/13","-56.8","-40","-40.4","-18.5","+98.4","+98.2","+94.4","+89.6","+81.8","+86.8","","+89.2"
"55","1402","遠東新","26.85","-0.6","-2.19","07/13","-41.7","-39","-40.3","-40.7","-29.3","-19.5","-11.2","-10.1","-8.34","-1.87","-1.08","-9.66"
"56","00679B","元大美債20年","26.76","-0.04","-0.15","07/13","-12.2","-31.2","-39.5","-21.8","-21.6","+5.25","+7.12","+9.26","+7.09","+2.94","","+9.61"
"57","5209","新鼎","157.5","-1","-0.63","07/13","-52.5","-19","-39.2","-45.8","-31.3","-25.4","-6.4","-4.93","+0.1","-1.52","+0.05","-4.53"
"58","2387","精元","38.85","-1","-2.51","07/13","-65.1","-54.9","-38.7","-0.94","-2.03","-6.51","+7.3","-2.31","-7.82","-0.34","-0.17","-2.63"
"59","6962","奕力-KY","34.9","-1.05","-2.92","07/13","-50.7","-45.6","-38.4","-17.9","-3.15","+10.8","-0.31","+0.57","-0.44","","","+0.57"
"60","8032","光菱","39.7","-2.1","-5.02","07/13","-41.5","-39.8","-38.3","-31.5","-11.2","-2.18","+2.11","+2.14","+0.66","+0.06","+0.05","+2.33"
"61","1752","南光","31.7","-0.1","-0.31","07/13","-35.1","-40.4","-38.1","-25.6","-15.8","-10.4","-4.19","-3.93","-3.18","-0.24","-0.09","-3.94"
"62","5907","大洋-KY","4.9","-0.1","-2","07/13","-30.7","-28.1","-38","-33.8","-20.3","-9.52","-0.79","-1.8","+7.39","+0.48","-1.73","-1.71"
"63","7744","崴寶","453","-10","-2.16","07/13","-32.3","-36.8","-37.9","-10.9","-5.93","-6.62","+2.16","+0.38","","","","+0.53"
"64","8422","可寧衛*","26.55","-0.45","-1.67","07/13","-48.9","-42.7","-37.8","-27.5","-14.1","-15.5","-3.07","-2.01","-0.46","-0.47","-0.43","-0.59"
"65","1231","聯華食","86.5","+0.1","+0.12","07/13","-16.6","-28.6","-37.7","-23.8","-11.6","-7.1","-1.1","-0.98","-4.42","-1.13","-0.06","-1.29"
"66","3038","全台","21.3","-0.55","-2.52","07/13","-50.2","-41.2","-37.3","-26.6","-9.91","-6.25","+4.58","+1.82","+4.57","-0.32","+0.2","+1.79"
"67","6550","北極星藥業-KY","12.55","-0.45","-3.46","07/13","-55","-41.3","-37.1","-20.8","+1.07","-5.04","+0.29","-0.29","-0.85","+0.86","","-0.03"
"68","3050","鈺德","12.1","-0.35","-2.81","07/13","-28.2","-34.1","-37.1","-26.7","-8.33","-9.01","-0.32","-1.26","-2.18","-1.18","-0.17","-1.15"
"69","4121","優盛","13.3","0","0","07/13","-43.9","-36.8","-37","-9.36","+1.72","-5.4","-7.96","-0.77","-0.41","+0.46","0","-0.63"
"70","9955","佳龍","25.55","-0.65","-2.48","07/13","-34.2","-35.4","-37","-35.2","-16.3","-16.7","-7.97","-2.75","-0.44","-0.15","-0.06","-1.42"
"71","6281","全國電","51","-1","-1.92","07/13","-66","-43.7","-36.6","-13","+14.6","+5.41","+5.03","+0.26","-1.01","+0.55","-4.88","+0.31"
"72","1570","力肯","39.4","-0.9","-2.23","07/13","-38.1","-36.9","-36.5","-36.7","-28.8","-7.95","+1.3","+0.42","-1.12","-0.15","+0.08","+0.26"
"73","2834","臺企銀","17.75","-0.2","-1.11","07/13","-67.9","-64.1","-36.4","-10.4","-0.53","+8.3","+5.28","-5.31","-0.56","-0.87","-0.35","-5.54"
"74","00932","兆豐永續高息等權","17.7","-0.12","-0.67","07/13","-60.6","-65.6","-36.3","-20.4","-12.5","-14.3","-0.65","+1.32","+2.18","","","+1.46"
"75","8463","潤泰材","21.2","-0.2","-0.93","07/13","-43.9","-34.8","-36.2","-18.5","-12.9","-5.64","-3.1","-0.87","-0.42","-0.05","-0.02","-0.76"
"76","00942B","台新美A公司債20+","14.25","-0.07","-0.49","07/13","-78.5","-37.7","-36","-4.25","-1.46","+84.7","+73","+72.5","+62.6","","","+71.4"
"77","2022","聚亨","7.95","-0.12","-1.49","07/13","-61.2","-28.6","-35.8","-27.7","-1.45","-2.58","-6.12","-1.33","-0.81","-0.56","-0.06","-1.67"
"78","2504","國產","31.2","-0.9","-2.8","07/13","-39.1","-38.8","-35.8","-18.4","-14.5","-17.7","-18","-16.5","-5.29","-3.23","-0.58","-17"
"79","5493","三聯","85.4","-3.4","-3.83","07/13","-49.3","-35.1","-35.6","-13.2","-7.11","-5.58","+1.69","-0.73","+0.14","+0.05","+0.06","-0.89"
"80","2032","新鋼","16.1","-0.3","-1.83","07/13","-17.4","-26.7","-35.6","-37.2","-16.2","-7.05","+6.67","+2.51","+1.06","+0.8","+0.15","+2.44"
