"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","2886","兆豐金","47","+0.3","+0.64","07/13","+32.2","+22.3","+20.1","+26.9","+45.4","+47.8","+20.7","+13.1","+7.56","+4.52","+1.78","+12.6"
"2","5469","瀚宇博","80.1","-0.5","-0.62","07/13","0","+5.36","+13.6","+26.1","+22.8","+13.5","+4.49","+1.77","+1.06","+0.23","+0.18","+1.6"
"3","5434","崇越","559","+50","+9.82","07/13","+25.3","+19.3","+15.4","+25","+24.1","+16.3","+6.92","+3.19","-0.33","+1.42","+0.6","+3.02"
"4","6691","洋基工程","725","+17","+2.4","07/13","+0.19","0","+8.17","+23.5","+26.8","+15.2","+5.29","+2.46","+1.5","+0.36","","+2.09"
"5","2206","三陽工業","63.7","-0.5","-0.78","07/13","+20.6","+27.8","+27.7","+21.6","+2.24","+4.68","-0.15","-3.59","-6.11","+0.74","+0.24","-4.34"
"6","3023","信邦","324","-2","-0.61","07/13","0","+0.06","+0.97","+19","+25.7","+19.2","+2.73","+0.7","+2.46","+1.99","+0.54","+0.48"
"7","4904","遠傳","96.1","+1.1","+1.16","07/13","+31.2","+18.3","+8.52","+18.4","+22.8","+33.4","+21.1","+12.8","+5.46","+6.27","+3.64","+12.6"
"8","6669","緯穎","4960","-80","-1.59","07/13","+4.09","+17.7","+18.6","+16.8","+17.4","+7.57","+6.69","+2.01","+1.27","+0.21","","+1.8"
"9","5269","祥碩","1510","+30","+2.03","07/13","+19","+11.8","+8.01","+14.8","+15.7","+10.9","+2.86","+1.66","-0.52","+0.27","+0.15","+1.76"
"10","1402","遠東新","26.85","-0.6","-2.19","07/13","+11.8","+13.9","+13.6","+14.1","+16.8","+27.3","+4.71","+1.73","+0.04","-1.01","+1.05","+1.62"
