Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,交易口數與契約金額_多方,交易口數與契約金額_多方,交易口數與契約金額_空方,交易口數與契約金額_空方,交易口數與契約金額_多空淨額,交易口數與契約金額_多空淨額,未平倉餘額_多方,未平倉餘額_多方,未平倉餘額_空方,未平倉餘額_空方,未平倉餘額_多空淨額,未平倉餘額_多空淨額
1,臺股期貨,自營商,8774,79913086,10717,97646365,-1943,-17733279,3941,36404678,4605,42508599,-664,-6103921
1,臺股期貨,投信,6242,57219234,4469,40853445,1773,16365789,81601,751806333,5955,54864606,75646,696941727
1,臺股期貨,外資,61727,561690489,60535,551182103,1192,10508385,7319,67433521,86876,800498844,-79557,-733065323
2,電子期貨,自營商,145,1683239,109,1263767,36,419472,7,82544,111,1308912,-104,-1226368
2,電子期貨,投信,0,0,69,804894,-69,-804894,190,2240480,0,0,190,2240480
2,電子期貨,外資,161,1883657,182,2124801,-21,-241144,37,436304,238,2806496,-201,-2370192
3,金融期貨,自營商,53,164292,54,167384,-1,-3092,11,33909,90,277434,-79,-243525
3,金融期貨,投信,0,0,0,0,0,0,29,89395,0,0,29,89395
3,金融期貨,外資,217,672660,263,814677,-46,-142016,102,314425,171,527125,-69,-212700
4,小型臺指期貨,自營商,19811,45066867,18003,40954788,1808,4112079,1150,2667512,9570,22129885,-8420,-19462373
4,小型臺指期貨,投信,4,9215,2,4604,2,4610,133,306339,83,191174,50,115165
4,小型臺指期貨,外資,119458,271048188,114183,259089690,5275,11958498,2522,5809974,1961,4519389,561,1290585
5,微型臺指期貨,自營商,52663,23971400,30504,13877677,22159,10093723,2978,1386229,25903,11999751,-22925,-10613522
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,157060,71249353,149038,67623571,8022,3625782,1934,890916,596,274623,1338,616293
6,小型電子期貨,自營商,201,293092,228,333883,-27,-40791,42,61908,99,145926,-57,-84018
6,小型電子期貨,投信,0,0,0,0,0,0,77,113498,0,0,77,113498
6,小型電子期貨,外資,366,536156,351,513992,15,22164,33,48642,50,73700,-17,-25058
7,小型金融期貨,自營商,40,31041,20,15419,20,15622,16,12330,16,12330,0,0
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,22,17033,55,42634,-33,-25602,1,771,38,29285,-37,-28514
8,股票期貨,自營商,121126,56815094,126185,59500179,-5059,-2685085,49400,14422813,306162,202143372,-256762,-187720559
8,股票期貨,投信,9639,4338328,9633,4265721,6,72607,9775,4443099,236,49881,9539,4393218
8,股票期貨,外資,412756,233122426,428812,244619420,-16056,-11496993,127405,120012721,548752,353146219,-421347,-233133498
9,ETF期貨,自營商,11109,3656974,9114,3664768,1995,-7794,10302,3700882,37613,22340359,-27311,-18639477
9,ETF期貨,投信,0,0,0,0,0,0,4568,3929850,50,20680,4518,3909170
9,ETF期貨,外資,6858,4739454,4709,3641941,2149,1097512,16331,14098349,1629,1719924,14702,12378425
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,317,51717,465,75779,-148,-24062,588,96844,200,32940,388,63904
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,90,14625,115,18700,-25,-4075,4,659,84,13835,-80,-13176
12,富櫃200期貨,自營商,27,25804,16,15291,11,10513,0,0,15,14333,-15,-14333
12,富櫃200期貨,投信,5,4794,0,0,5,4794,34,32489,0,0,34,32489
12,富櫃200期貨,外資,10,9568,10,9560,0,8,0,0,0,0,0,0
13,臺灣中型100期貨,自營商,345,123843,342,122985,3,858,521,188670,272,98499,249,90171
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,4,1441,4,1434,0,7,0,0,0,0,0,0
14,臺灣永續期貨,自營商,0,0,0,0,0,0,52,131139,52,131139,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
