日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
115/07/01,"14,683,404,939","1,367,817,795,171","6,457,744","47,018.99",893.08
115/07/02,"11,740,053,658","1,083,583,417,368","5,564,334","46,744.16",-274.83
115/07/03,"12,189,040,098","1,078,028,137,102","5,526,867","46,780.62",36.46
115/07/06,"12,910,602,003","1,064,431,906,064","6,006,874","46,556.39",-224.23
115/07/07,"15,447,467,314","1,228,119,421,876","7,718,514","45,479.11","-1,077.28"
115/07/08,"11,331,191,739","1,004,560,446,696","5,252,043","45,734.41",255.30
115/07/09,"10,483,502,597","996,789,429,935","4,722,256","45,354.61",-379.80
115/07/13,"11,168,410,368","1,067,662,107,060","5,448,646","45,380.52",25.91
115/07/14,"15,548,656,718","1,245,206,538,568","7,798,338","44,737.95",-642.57
115/07/15,"10,421,924,556","1,024,385,500,649","4,431,963","45,631.59",893.64
115/07/16,"10,374,680,186","933,180,942,503","4,555,916","45,624.98",-6.61
