排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,7822,倍利科,963.0,-16.0,-1.63,07/16,3.57,38.1,45.0,867.0,,,,,,
2,7610,聯友金屬-創,2600.0,170.0,7.0,07/16,144.0,550.0,388.0,550.0,-58.5,-29.1,,,,
3,00685L,群益臺灣加權正2,12.17,0.02,0.16,07/16,16.2,16.5,139.0,528.0,,8984.0,14387.0,6592.0,12226.0,6397.0
4,00988B,玉山嚴選非投債,20.01,0.08,0.4,07/16,2.06,20.5,520.0,520.0,1769.0,1769.0,,,,
5,6474,華豫寧,37.85,0.1,0.26,07/16,333.0,333.0,333.0,333.0,333.0,,,,,
6,00749B,凱基新興債10+,31.66,0.07,0.22,07/16,0.0,0.0,200.0,200.0,200.0,200.0,,,-85.0,
7,3489,森寶,19.6,-0.1,-0.51,07/16,22.1,67.0,183.0,181.0,234.0,166.0,258.0,298.0,-13.7,285.0
8,00989B,台新美國非投等債,10.21,0.01,0.1,07/16,0.0,0.0,167.0,167.0,167.0,167.0,,,,
9,5511,德昌,66.4,-1.4,-2.06,07/16,35.7,43.3,73.2,158.0,158.0,27.2,81.7,118.0,-3.1,144.0
10,2248,華勝-KY,65.4,-0.6,-0.91,07/16,38.1,164.0,149.0,149.0,149.0,172.0,444.0,1143.0,,4250.0
11,006203,元大MSCI台灣,193.15,0.4,0.21,07/16,4.35,50.0,167.0,140.0,167.0,167.0,300.0,,243.0,380.0
12,00941,中信上游半導體,27.73,-0.68,-2.39,07/16,41.5,121.0,121.0,118.0,212.0,156.0,132.0,2.63,-64.4,4.04
13,00406A,主動中信台灣收益,9.64,-0.12,-1.23,07/16,4.65,4.65,11.6,106.0,133.0,,,,,
14,7828,創新服務,2160.0,145.0,7.2,07/16,2.08,22.5,28.9,104.0,,,,,,
15,6910,德鴻,25.8,-0.2,-0.77,07/16,14.3,100.0,100.0,100.0,,,,,,
16,7772,耀穎,104.0,-0.5,-0.48,07/16,50.0,50.0,50.0,100.0,,,,,,
17,7820,立盈,115.0,-1.0,-0.86,07/16,0.0,0.0,0.0,100.0,,,,,,
