排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00702,國泰標普低波高息,24.85,-0.33,-1.31,123,07/22,-100.0,-100.0,-100.0,-100.0,-100.0,,,,,
2,00864B,中信美國公債0-1,47.22,0.12,0.25,1042,07/22,,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,00875,國泰網路資安,52.1,-1.15,-2.16,33,07/22,-100.0,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
4,6730,常廣,34.7,0.2,0.58,103,07/22,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,,,
5,00990B,國泰收益非投等債,10.07,0.0,0.0,2596,07/22,,,,-99.8,,,,,,
6,00898,國泰基因免疫革命,9.4,0.21,2.29,459,07/22,-20.5,-25.8,-26.4,-82.7,-82.0,424.0,642.0,-22.6,-50.0,7.23
7,00842B,台新美元銀行債,30.14,-0.06,-0.2,276,07/22,0.0,0.0,0.0,-80.0,100.0,,,,,
8,009822,華南永昌未來金融,9.94,0.17,1.74,2323,07/22,-57.1,-66.7,-66.7,-72.7,-89.0,-97.3,,,,
9,2838,聯邦銀,20.25,-0.25,-1.22,4488,07/22,2.9,2.62,-57.7,-69.4,-61.1,-65.6,0.13,138.0,-57.8,105.0
10,00980B,台新特選IG債10+,9.43,-0.02,-0.21,434,07/22,0.0,0.0,0.0,-66.7,-66.7,-66.7,-66.7,-75.0,-88.9,-75.0
11,2910,統領,25.75,-2.55,-9.01,498,07/22,75.0,169.0,84.2,-63.2,1650.0,600.0,1067.0,106.0,-45.3,29.6
12,00757,統一FANG+,132.45,-0.05,-0.04,1400,07/22,-4.08,-13.6,-14.9,-59.4,-41.1,-27.9,-74.0,-78.1,-84.7,-62.1
13,00897,富邦基因免疫生技,11.13,0.11,1.0,495,07/22,-2.89,-4.27,-2.54,-59.4,-61.0,1693.0,1693.0,449.0,172.0,37.2
14,00917,中信特選金融,23.67,0.09,0.38,213,07/22,3.53,6.02,8.64,-56.7,2.33,10.0,-84.3,-89.6,529.0,319.0
15,4904,遠傳,103.0,1.0,0.98,13356,07/22,-46.8,36.7,24.1,-55.8,-42.6,-78.6,123.0,17.5,-83.3,-2.43
16,5876,上海商銀,45.0,-0.65,-1.42,14762,07/22,-22.3,-30.5,-25.2,-52.9,-64.4,-62.0,-40.0,-73.5,-8.57,-68.4
17,2892,第一金,34.4,-0.05,-0.15,31044,07/22,1.53,-27.9,-39.9,-52.8,-50.9,-75.7,-75.3,-71.0,52.2,-75.1
