排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,3088,艾訊,154.0,9.5,6.57,6428,07/23,,,,14900.0,1567.0,249.0,9900.0,3650.0,4900.0,4900.0
2,00735,國泰臺韓科技,101.5,1.4,1.4,1867,07/23,-0.23,2.59,1717.0,8620.0,3533.0,938.0,2465.0,43500.0,,
3,3388,崇越電,73.5,-1.0,-1.34,554,07/23,-9.83,11.2,127.0,6017.0,716.0,1123.0,-79.5,,12133.0,
4,3577,泓格,160.0,8.0,5.26,3934,07/23,7.06,75.0,1038.0,4450.0,,12.3,,4450.0,-32.6,4450.0
5,009819,中信數據及電力,10.1,0.09,0.9,5673,07/23,0.0,0.0,-35.0,3800.0,,,-98.8,,,
6,6166,凌華,159.5,14.5,10.0,7007,07/23,238.0,284.0,476.0,3167.0,,416.0,989.0,833.0,532.0,880.0
7,3231,緯創,173.5,9.5,5.79,218009,07/23,288.0,533.0,621.0,2947.0,5668.0,700.0,261.0,34.9,-3.64,-6.16
8,1612,宏泰,31.1,-0.3,-0.96,503,07/23,0.0,0.0,0.0,2650.0,,,1733.0,,588.0,450.0
9,6237,驊訊,35.0,-1.0,-2.78,242,07/23,-3.57,28.6,28.6,2600.0,,108.0,,50.0,-69.7,-15.6
10,2425,承啟,45.8,0.65,1.44,10885,07/23,68.3,1625.0,1280.0,2200.0,2200.0,475.0,6800.0,1050.0,527.0,1050.0
11,00992A,主動群益科技創新,16.36,0.14,0.86,27551,07/23,2.63,179.0,230.0,2027.0,27.9,-35.7,-87.5,2500.0,,
12,1219,福壽,11.65,0.0,0.0,960,07/23,0.0,0.0,0.0,2000.0,5150.0,,,,,
13,2515,中工,12.3,0.1,0.82,11953,07/23,-2.33,-4.55,2.44,2000.0,-6.67,-32.3,-2.33,-26.3,-89.4,-32.3
14,6617,共信-KY,89.7,-9.1,-9.21,972,07/23,412.0,4000.0,4000.0,1950.0,105.0,,,,,
15,3615,安可,38.7,-2.7,-6.52,956,07/23,81.8,60.0,100.0,1900.0,344.0,-40.3,,900.0,,900.0
16,2414,精技,54.5,0.2,0.37,577,07/23,,,,1800.0,1800.0,1800.0,,,,
17,00400A,主動國泰動能高息,13.93,0.05,0.36,31018,07/23,267.0,400.0,450.0,1733.0,,1.85,-42.1,,,
18,2867,三商壽,9.18,-0.1,-1.08,9907,07/23,-10.0,-30.8,-25.0,1700.0,1700.0,800.0,,,,
19,3581,博磊,118.0,-4.0,-3.28,276,07/23,5.88,5.88,5.88,1700.0,1700.0,-48.6,-96.6,-73.1,800.0,-88.9
20,5608,四維航,13.65,-0.2,-1.44,1209,07/23,0.0,0.0,-12.5,1650.0,1067.0,3400.0,400.0,-86.2,25.0,-88.2
21,3556,禾瑞亞,62.1,-1.4,-2.2,459,07/23,650.0,400.0,,1400.0,200.0,,1400.0,,,
22,6208,日揚,83.3,-1.5,-1.77,409,07/23,7.69,-39.1,-36.4,1300.0,1300.0,,-26.3,,,1300.0
23,4133,亞諾法,22.7,1.05,4.85,1669,07/23,243.0,243.0,243.0,1100.0,700.0,,,,,
24,5465,富驊,22.25,-0.25,-1.11,39,07/23,0.0,0.0,0.0,1100.0,,1100.0,50.0,50.0,-57.1,50.0
25,6412,群電,82.4,0.2,0.24,497,07/23,-20.0,-20.0,-20.0,1100.0,1100.0,100.0,1100.0,500.0,-76.5,500.0
26,2356,英業達,63.0,1.3,2.11,40918,07/23,-71.1,-70.3,119.0,1078.0,421.0,-67.5,76.0,-73.6,-68.0,-44.1
27,1445,大宇,10.85,-0.2,-1.81,99,07/23,120.0,120.0,1000.0,1000.0,1000.0,,37.5,,,
28,1786,科妍,50.4,0.4,0.8,109,07/23,0.0,0.0,0.0,1000.0,1000.0,450.0,,1000.0,-99.2,83.3
29,3227,原相,202.0,0.5,0.25,1317,07/23,0.0,88.2,129.0,967.0,,28.0,18.5,52.4,-17.9,23.1
30,7777,能率亞洲,40.0,-1.0,-2.44,2797,07/23,60.0,88.2,14.3,967.0,10.3,,,,,
31,2889,國票金,15.65,-0.05,-0.32,3909,07/23,5.0,-12.5,-12.5,950.0,950.0,2000.0,950.0,133.0,2000.0,133.0
32,3447,展達,30.05,-0.15,-0.5,112,07/23,0.0,0.0,-4.55,950.0,,,2000.0,61.5,-12.5,162.0
