"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"301","6204","艾華","88.4","-0.6","-0.67","26W30","07/24","69","0","70.3","0","70.3","0","70.3","0"
"302","00983D","主動富邦複合收益","9.91","-0.03","-0.3","26W30","07/24","45.1","+0.22","58.3","-0.05","70.4","-0.04","77.6","+0.15"
"303","3441","聯一光","130","-7.5","-5.45","26W30","07/24","63.5","+2.38","69","+0.26","73.1","-2.46","76.9","-2.8"
"304","3402","漢科","122.5","0","0","26W30","07/24","58.8","+1.05","63.5","+1.47","67.9","+0.01","69.3","+0.05"
"305","8024","佑華","13.2","0","0","26W30","07/24","54.8","-0.72","61.6","-1.19","71.4","0","74.5","0"
"306","3338","泰碩","64.2","+0.3","+0.47","26W30","07/24","58.4","+0.37","64.2","+0.38","68.9","+0.13","72.9","-0.65"
"307","3615","安可","38.05","-0.75","-1.93","26W30","07/24","64","+0.28","66.9","+0.29","70.8","-0.4","73.4","+0.2"
"308","1310","台苯","8.43","-0.26","-2.99","26W30","07/24","58.8","+0.35","65.2","+0.41","70.4","+0.14","73.9","+0.23"
"309","4976","佳凌","39.15","-0.85","-2.12","26W30","07/24","60","+0.06","65.6","-0.15","71","-0.07","71.6","-0.48"
"310","00660","元大歐洲50","46.55","-0.06","-0.13","26W30","07/24","37.5","-0.24","43.7","-0.23","67.1","-0.23","87.2","-0.23"
"311","00647L","元大S&P500正2","139.5","+0.4","+0.29","26W30","07/24","54.4","-0.65","57.2","-2.83","70.4","-2.16","70.4","-2.16"
"312","00685L","群益臺灣加權正2","11.96","+0.12","+1.01","26W30","07/24","44.5","+1.93","57","+2.51","68.9","+2.68","74.4","+2.79"
"313","3390","旭軟","22.35","-0.2","-0.89","26W30","07/24","51.6","-0.14","60.2","-0.02","68.5","+0.65","72","-0.03"
"314","00781B","國泰A級科技債","27.15","-0.15","-0.55","26W30","07/24","50.5","-0.46","59.7","-0.6","70.4","+2.74","82","+8.19"
"315","3325","旭品","11.25","0","0","26W30","07/24","54.1","+0.04","60.9","-0.05","69.6","-0.04","76.6","-0.04"
"316","1528","恩德","19.55","+0.05","+0.26","26W30","07/24","62.5","-0.08","66","-0.06","70.1","-0.1","71.5","+0.06"
