排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,0061,元大寶滬深,24.51,-0.32,-1.29,07/28,74.7,68.3,84.1,46.1,37.1,19.3,12.0,12.4,8.33,13.5,6.23,11.3
2,3130,一零四,205.0,-1.0,-0.49,07/28,29.5,68.4,81.6,83.8,77.6,73.3,58.7,53.4,49.9,49.1,47.0,52.3
3,00943,兆豐電子高息等權,20.68,-0.82,-3.81,07/28,0.0,5.98,81.4,75.3,71.4,62.6,34.8,17.8,10.5,,,14.8
4,5520,力泰,81.6,-0.7,-0.85,07/28,94.2,79.8,79.8,28.9,16.1,9.44,6.83,7.05,8.31,5.82,3.74,6.74
5,5274,信驊,13230.0,-1465.0,-9.97,07/28,81.9,79.4,77.2,66.7,64.3,60.2,56.7,58.3,56.7,49.6,39.8,58.4
6,00793B,群益AAA-A醫療債,30.63,-0.04,-0.13,07/28,98.2,91.0,74.7,72.6,24.5,10.9,2.26,3.07,2.01,1.15,,2.78
7,2885,元大金,63.5,-1.2,-1.85,07/28,85.8,74.4,72.8,55.0,57.2,60.6,55.1,58.8,54.5,53.5,48.6,56.9
8,2330,台積電,2280.0,-70.0,-2.98,07/28,65.5,70.8,71.8,68.4,65.7,67.7,67.0,64.7,59.8,57.6,60.2,64.0
9,8213,志超,29.8,-1.1,-3.56,07/28,73.4,72.2,71.1,62.2,55.1,56.2,34.7,22.3,14.0,5.98,0.94,22.7
10,2704,國賓,45.65,-0.35,-0.76,07/28,63.9,65.8,70.7,67.3,51.4,57.5,48.7,49.0,54.5,34.8,24.7,49.0
11,8499,鼎炫-KY,253.0,-8.0,-3.07,07/28,73.4,72.5,70.6,67.9,60.3,47.0,35.5,22.9,6.3,4.29,,26.0
12,2882,國泰金,95.4,-3.1,-3.15,07/28,87.4,74.2,70.6,55.3,49.4,44.4,46.2,51.4,51.2,50.6,45.5,51.5
13,2548,華固,98.8,-0.6,-0.6,07/28,63.4,62.8,70.1,69.6,59.7,58.9,45.8,39.4,36.6,37.0,34.9,39.3
14,2104,國際中橡,9.9,-0.25,-2.46,07/28,61.2,68.1,69.8,61.1,47.0,39.5,36.1,34.1,35.4,36.6,23.1,33.7
15,2360,致茂,1940.0,-160.0,-7.62,07/28,69.7,73.4,69.2,69.0,71.6,68.1,61.8,59.8,61.2,62.9,54.7,58.6
16,5536,聖暉*,1015.0,-90.0,-8.14,07/28,73.2,72.7,69.1,59.4,61.8,49.8,41.5,37.1,36.8,37.2,27.5,35.9
17,8464,億豐,377.0,-2.0,-0.53,07/28,82.0,71.7,68.7,73.3,72.1,74.2,78.0,42.8,24.0,9.56,3.22,45.6
18,2891,中信金,62.4,-0.6,-0.95,07/28,57.3,69.5,68.5,71.0,55.6,55.7,54.6,58.6,55.4,50.7,49.1,57.6
19,1773,勝一,154.0,-6.0,-3.75,07/28,49.5,62.4,68.4,62.2,48.4,40.5,36.0,32.6,30.3,29.9,23.2,31.2
20,2323,中環,9.92,-0.38,-3.69,07/28,68.4,69.3,68.1,59.8,56.6,42.8,35.9,33.8,32.0,30.4,16.3,33.9
21,3044,健鼎,359.5,-31.0,-7.94,07/28,66.3,70.3,68.0,74.0,68.2,59.2,49.9,48.5,45.6,41.0,42.8,47.1
22,2345,智邦,2040.0,-200.0,-8.93,07/28,64.7,65.8,67.8,68.3,68.0,61.3,56.9,53.0,49.9,52.8,37.8,51.9
23,1560,中砂,635.0,-55.0,-7.97,07/28,64.0,64.7,67.6,58.8,52.3,50.1,41.6,36.8,33.2,29.5,22.3,36.7
24,3702,大聯大,110.0,-6.0,-5.17,07/28,65.8,65.9,67.4,57.5,55.9,60.2,46.8,40.6,48.0,49.2,46.5,39.7
