排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00908,富邦入息REITs+,15.68,-0.02,-0.13,54,07/28,0.0,900.0,900.0,,,,,,42.9,900.0
2,00907,永豐優息存股,16.51,-0.17,-1.02,2567,07/28,51.7,49.9,561.0,43.1,295.0,305.0,272.0,1644.0,61.0,1236.0
3,7631,聚賢研發-創,132.0,-6.5,-4.69,48,07/28,65.2,171.0,533.0,,,,,,,
4,00865B,國泰US短期公債,49.48,0.04,0.08,5154,07/28,10.7,3700.0,418.0,470.0,245.0,,-69.1,2180.0,,714.0
5,7795,長廣,370.0,-32.5,-8.07,502,07/28,7.23,48.3,271.0,,,,,,,
6,00963,中信全球高股息,13.28,0.0,0.0,1711,07/28,-5.71,120.0,154.0,175.0,200.0,450.0,312.0,1550.0,17.9,1000.0
7,00962,台新AI優息動能,14.07,-0.62,-4.22,1145,07/28,14.1,32.8,145.0,-30.2,-35.7,-40.0,76.1,-61.4,-43.8,-69.5
8,00850,元大臺灣ESG永續,82.35,-4.35,-5.02,1439,07/28,107.0,121.0,121.0,121.0,72.2,417.0,343.0,343.0,-27.9,182.0
9,6272,驊陞,25.6,-0.35,-1.35,332,07/28,63.0,91.3,110.0,132.0,389.0,,,,,
10,00930,永豐ESG低碳高息,22.92,-0.81,-3.41,1907,07/28,-1.87,-2.78,102.0,377.0,377.0,275.0,400.0,-62.9,-85.8,-61.4
11,00859B,群益0-1年美債,41.68,0.03,0.07,2142,07/28,100.0,100.0,100.0,100.0,0.0,-92.5,-20.0,,,-71.4
12,00661,元大日經225,80.4,-3.55,-4.23,163,07/28,0.0,0.0,80.0,-74.3,80.0,50.0,-53.8,-41.9,-21.7,-53.8
13,6577,勁豐,83.4,-6.1,-6.82,630,07/28,-21.3,-24.0,71.3,204.0,165.0,170.0,216.0,144.0,63.2,108.0
14,2886,兆豐金,49.45,0.05,0.1,36821,07/28,43.9,25.0,70.9,49.7,60.0,55.9,-74.1,-23.1,-11.1,-24.9
15,00408A,主動第一金優股息,9.5,-0.43,-4.33,5807,07/28,50.3,55.6,67.2,-31.3,,,,,,
16,6527,明達醫,68.6,0.0,0.0,0,07/28,0.0,25.0,66.7,66.7,-37.5,,,,,
17,2834,臺企銀,18.1,-0.1,-0.55,42459,07/28,40.8,73.4,66.1,165.0,190.0,165.0,135.0,314.0,127.0,342.0
18,00953B,群益優選非投等債,9.8,-0.02,-0.2,39270,07/28,7.37,32.0,62.7,41.8,15.2,-3.04,46.8,108.0,283.0,141.0
19,9918,欣天然,43.5,0.05,0.12,8,07/28,0.0,0.0,62.3,62.3,57.7,7.69,-35.3,-8.94,2700.0,-8.94
20,6024,群益期,63.8,-0.9,-1.39,1018,07/28,25.2,64.5,58.1,70.5,110.0,83.8,39.4,56.4,222.0,83.8
