代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
0050,元大台灣50,93.5,-0.2,-0.21,26W31,07/30,-6,-1196321,-24.6,-5.37,26,260072,1.43,1.17,-16,-1747305,-15.7,-7.84,-6,-2221277,-45.6,-9.96
2542,興富發,44.35,1.1,2.54,26W31,07/30,1,2424,8.62,0.11,13,134984,16.2,6.27,3,4868,3.61,0.23,9,46529,7.99,2.16
1216,統一,75.6,0.4,0.53,26W31,07/30,1,26023,28.6,0.46,11,152702,16.0,2.69,6,20431,3.75,0.36,1,34755,38.2,0.61
2352,佳世達,26.45,-0.5,-1.86,26W31,07/30,-6,-58145,-10.8,-3.68,11,51710,5.82,3.27,1,174,0.66,0.01,-4,-26161,-8.44,-1.66
2382,廣達,279.0,-30.5,-9.85,26W31,07/30,-1,-27574,-21.4,-0.71,11,333034,18.0,8.62,2,1981,0.8,0.05,-1,-22546,-17.5,-0.58
2886,兆豐金,51.5,1.6,3.21,26W31,07/30,1,3249,2.03,0.02,11,552100,25.7,3.72,8,54756,3.74,0.37,14,275476,11.2,1.86
2892,第一金,35.5,0.7,2.01,26W31,07/30,1,4814,2.48,0.03,11,425410,15.1,2.96,3,17215,3.12,0.12,1,20667,10.6,0.14
2912,統一超,230.0,-2.0,-0.86,26W31,07/30,1,2214,12.4,0.21,11,69823,23.7,6.72,-2,-511,-1.26,-0.05,1,3357,18.8,0.32
2633,台灣高鐵,26.3,0.25,0.96,26W31,07/30,1,10203,42.5,0.18,10,99641,13.9,1.77,1,321,1.34,0.01,3,24415,25.1,0.43
2890,永豐金,38.85,0.25,0.65,26W31,07/30,1,16621,10.6,0.11,10,336160,13.4,2.32,1,8121,5.19,0.06,10,550025,22.0,3.79
