排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2867,三商壽,9.9,0.32,3.34,07/31,-25.7,-66.7,-65.5,-61.7,-82.4,-94.3,-94.0,,,
2,6176,瑞儀,82.3,-2.5,-2.95,07/31,-36.1,-37.3,-45.9,-48.9,-53.2,-65.9,-86.4,19.3,10.8,-62.4
3,2618,長榮航,43.3,1.55,3.71,07/31,-7.18,-7.67,-41.3,-48.5,-64.7,-84.0,-84.3,-53.1,-73.2,-84.3
4,00696B,富邦美債20年,28.72,0.15,0.53,07/31,-49.2,-49.2,-51.2,-45.2,-45.2,-57.0,-58.4,-64.8,-73.4,-65.0
5,4744,皇將,30.05,1.1,3.8,07/31,0.0,0.0,-18.1,-40.4,-43.0,-53.1,-68.9,-57.6,43.6,-55.0
6,3090,日電貿,125.0,11.0,9.65,07/31,-0.03,-0.03,-38.4,-39.4,-46.5,-59.5,-39.0,-68.3,77.7,-65.5
7,4904,遠傳,105.0,-0.5,-0.47,07/31,-0.31,-1.94,-34.6,-39.3,-47.1,-11.4,883.0,1171.0,394.0,1026.0
8,1419,新紡,67.6,-0.8,-1.17,07/31,-4.32,-4.58,-34.6,-38.4,-53.5,-59.8,-71.3,-81.2,-85.6,-84.0
9,6174,安碁,39.5,1.05,2.73,07/31,-13.4,-13.4,-36.0,-38.4,-38.4,-9.47,-2.22,54.9,40.1,66.7
10,00693U,期街口S&P黃豆,21.86,0.11,0.51,07/31,0.0,0.0,-32.9,-38.2,-46.8,-54.7,-64.0,-45.1,-67.1,-45.1
11,8905,裕國,30.45,2.75,9.93,07/31,0.0,0.0,0.0,-38.2,-38.2,-44.7,-44.7,-45.3,-42.7,-44.0
12,00650L,復華香港正2,17.87,0.07,0.39,07/31,-4.05,-31.1,-37.8,-37.8,-41.5,-45.7,-48.3,-58.3,-81.8,-61.5
13,1303,南亞,159.5,14.5,10.0,07/31,-22.4,-19.5,-27.9,-37.7,15.3,125.0,145.0,22.8,-84.9,-86.0
14,6728,上洋,108.0,1.0,0.93,07/31,-1.28,-1.28,-2.53,-37.4,-41.2,-40.8,-38.9,-41.7,-22.2,-56.0
15,00731,復華富時高息低波,91.05,3.6,4.12,07/31,0.0,0.0,-36.2,-36.2,-37.1,-37.1,-38.0,-37.1,-40.2,-37.1
16,1734,杏輝,31.7,0.0,0.0,07/31,-0.14,1.8,1.52,-36.2,-39.2,-42.9,11.4,41.2,11.5,48.9
17,4107,邦特,113.5,2.0,1.79,07/31,0.0,0.0,-35.9,-35.9,-39.3,-40.4,-37.9,-17.6,-56.9,-31.5
18,00917,中信特選金融,24.09,0.26,1.09,07/31,0.0,0.0,-35.5,-35.5,-35.5,-35.8,-49.3,-3.53,-44.2,113.0
19,00992A,主動群益科技創新,14.82,1.34,9.94,07/31,11.1,11.0,-35.7,-35.0,-37.7,-8.18,-24.4,811.0,,2987.0
20,3045,台灣大,112.5,-1.5,-1.32,07/31,-0.08,0.84,-31.4,-33.4,-54.6,-55.1,-57.8,-70.3,62.8,-64.9
21,00915,凱基優選高股息30,31.65,1.58,5.25,07/31,0.0,-4.03,-20.6,-32.9,-40.4,-38.0,-63.7,8.81,-77.2,-42.5
22,2027,大成鋼,43.2,-0.5,-1.14,07/31,-2.1,0.41,-6.29,-32.1,-42.6,-68.0,-93.9,-88.1,-67.4,-83.0
23,00402A,主動安聯美國科技,9.51,0.61,6.85,07/31,0.0,0.0,0.0,-31.0,-31.0,-34.4,,,,
24,00999A,主動野村臺灣高息,10.16,0.76,8.09,07/31,0.0,0.28,0.28,-29.8,-29.4,-12.8,,,,
25,00722B,群益投資級電信債,34.68,0.15,0.43,07/31,0.0,0.0,-29.4,-29.4,-14.3,63.5,63.5,-25.9,-13.1,-0.18
26,4771,望隼,182.0,0.5,0.28,07/31,0.0,2.05,13.7,-27.3,-27.0,-27.3,-24.4,-20.3,-15.3,-26.2
27,3498,陽程,90.0,3.7,4.29,07/31,-20.6,-20.7,-26.2,-26.9,-31.0,45.9,1.14,9.88,-9.61,24.3
28,6206,飛捷,125.0,7.0,5.93,07/31,3.6,7.73,-16.6,-26.5,-27.3,-30.3,-70.6,-75.8,-74.9,-82.1
29,00891,中信關鍵半導體,33.2,3.01,9.97,07/31,1.18,1.18,-3.94,-26.2,-26.9,5.3,14.6,146.0,0.27,148.0
30,00988B,玉山嚴選非投債,19.93,0.05,0.25,07/31,0.0,0.0,-25.8,-25.8,-83.3,213.0,,,,
31,3037,欣興,787.0,71.0,9.92,07/31,-0.53,1.96,-8.85,-25.7,-38.3,16.5,87.6,28.2,-89.3,31.3
32,00918,大華優利高填息30,32.73,1.49,4.77,07/31,-7.74,-10.8,-22.8,-25.1,-69.1,-70.8,-64.3,-53.9,-57.0,-81.5
33,3055,蔚華科,90.4,-2.8,-3.0,07/31,1.35,1.35,-15.2,-25.1,-25.4,-66.8,-44.4,-45.6,-71.2,-58.1
34,6240,松崗,18.0,-0.4,-2.17,07/31,0.0,-21.7,-21.7,-25.0,-5.26,-5.26,-50.0,-50.0,-41.9,-50.0
35,7820,立盈,100.0,3.0,3.09,07/31,0.0,0.0,0.0,-25.0,50.0,,,,,
36,2248,華勝-KY,59.4,1.9,3.3,07/31,0.0,-24.5,-24.5,-24.5,-14.9,111.0,185.0,957.0,,3600.0
37,2615,萬海,84.7,0.3,0.36,07/31,-2.87,-8.08,-16.5,-23.9,-37.2,-46.2,-57.5,-60.0,-63.2,-48.6
38,4121,優盛,12.9,0.25,1.98,07/31,-15.7,-23.8,-23.7,-23.5,-23.3,-35.2,-22.8,27.6,25.3,64.6
39,00757,統一FANG+,131.55,5.2,4.12,07/31,0.0,-1.52,-7.45,-23.5,-22.6,-37.5,-41.6,-49.7,-53.9,-34.8
40,00690,兆豐藍籌30,72.8,6.6,9.97,07/31,0.0,0.0,0.0,-23.4,-23.4,-22.1,-56.3,-16.5,-75.9,-17.3
41,6757,台灣虎航,57.4,2.5,4.55,07/31,-6.42,-22.4,-24.5,-23.1,-25.9,-41.5,-70.7,-58.6,-40.4,-65.2
42,00938,凱基優選30,25.3,1.6,6.75,07/31,8.41,9.13,-23.1,-23.1,-13.6,-0.41,40.0,192.0,-72.4,76.3
43,3016,嘉晶,79.9,5.5,7.39,07/31,-0.69,-3.27,-19.4,-22.7,-15.1,32.2,62.6,-47.9,-28.9,-52.1
44,1530,亞崴,27.75,0.75,2.78,07/31,0.0,2.68,2.68,-22.3,-31.1,-41.6,-18.2,-0.65,-52.6,-13.6
45,3605,宏致,79.0,0.7,0.89,07/31,8.24,6.31,-0.68,-21.5,-8.68,-56.0,-60.1,-69.9,-60.7,-63.4
46,4958,臻鼎-KY,413.5,37.5,9.97,07/31,-17.8,-17.8,-25.0,-21.4,-31.6,-42.8,-50.9,5.08,-54.3,-21.0
47,5876,上海商銀,45.45,0.65,1.45,07/31,-5.96,-20.3,-20.7,-21.2,-24.5,-11.4,62.3,312.0,334.0,341.0
