排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
2101,5904,寶雅*,79.0,-2.8,-3.42,26W33,08/14,13.7,-4.24,15.2,-9.2,17.3,-13.3,19.6,-16.4
2102,5278,尚凡*,24.45,-0.15,-0.61,26W33,08/14,9.52,-0.04,12.8,0.14,17.2,-0.06,19.3,-0.22
2103,1614,三洋電,30.75,-0.05,-0.16,26W33,08/14,7.91,0.01,11.7,0.0,17.2,0.0,20.6,-0.01
2104,5530,龍巖,50.8,1.3,2.63,26W33,08/14,11.8,-0.12,14.5,-0.06,17.2,-0.15,18.7,-0.15
2105,6240,松崗,20.6,0.9,4.57,26W33,08/14,11.2,-0.22,14.1,-0.22,17.2,0.0,19.5,0.0
2106,8917,欣泰,53.3,-0.2,-0.37,26W33,08/14,6.31,-0.03,10.8,-0.01,17.2,0.0,24.5,0.0
2107,7716,昱臺國際,23.85,-0.15,-0.62,26W33,08/14,10.1,-0.01,15.0,-0.01,17.1,-0.01,23.4,-0.01
2108,6901,鑽石投資,16.5,-0.85,-4.9,26W33,08/14,13.2,0.11,15.2,0.15,17.0,0.06,18.0,-0.1
2109,2024,志聯,13.35,-0.05,-0.37,26W33,08/14,13.2,-0.01,15.6,-0.01,17.0,-0.01,18.5,-0.01
2110,2064,晉椿,12.35,-0.2,-1.59,26W33,08/14,8.93,0.02,11.4,0.02,16.9,-0.01,26.3,0.0
2111,2885,元大金,69.7,0.0,0.0,26W33,08/14,13.2,-0.04,15.1,-0.04,16.9,-0.04,18.0,-0.02
2112,6754,匯僑設計,41.75,-0.2,-0.48,26W33,08/14,13.9,-0.18,15.9,-0.02,16.9,-0.02,18.6,0.0
2113,1234,黑松,34.0,0.05,0.15,26W33,08/14,11.0,-0.03,13.3,-0.02,16.8,-0.05,20.4,-0.06
2114,00666R,富邦恒生國企反1,9.16,0.14,1.55,26W33,08/14,10.1,-0.81,12.8,-0.79,16.8,-2.28,16.8,-2.28
2115,2897B,王道銀乙特,11.5,0.0,0.0,26W33,08/14,10.1,-0.01,12.8,-0.01,16.8,0.0,19.4,0.0
2116,1438,三地開發,22.2,-0.2,-0.89,26W33,08/14,11.5,-0.01,14.1,-0.03,16.8,-0.03,19.5,-0.04
2117,00696B,富邦美債20年,28.3,-0.09,-0.32,26W33,08/14,14.0,-0.04,15.8,-0.03,16.7,-0.03,17.3,0.05
2118,2637,慧洋-KY,85.7,0.5,0.59,26W33,08/14,11.3,-0.25,13.8,-0.3,16.7,-0.21,18.1,-0.27
2119,2886,兆豐金,47.35,1.5,3.27,26W33,08/14,13.8,0.25,15.5,0.28,16.7,0.27,17.3,0.3
2120,1236,宏亞,25.4,0.3,1.2,26W33,08/14,12.1,-0.09,14.6,-0.07,16.7,-0.07,17.2,-0.07
2121,3666,光耀,25.25,0.15,0.6,26W33,08/14,12.9,-0.21,15.2,-0.05,16.7,-0.04,17.4,-0.02
2122,1423,利華,35.5,0.0,0.0,26W33,08/14,10.9,0.07,13.3,0.25,16.6,0.02,19.6,0.03
2123,3523,迎輝,14.65,-0.35,-2.33,26W33,08/14,11.3,-0.01,14.8,0.0,16.6,0.0,19.7,0.0
2124,8927,北基,19.95,0.05,0.25,26W33,08/14,10.3,-0.05,13.1,0.12,16.6,0.1,20.4,-0.03
2125,2028,威致,15.8,0.0,0.0,26W33,08/14,13.1,-0.04,14.6,-0.2,16.6,0.1,17.3,-0.03
2126,2945,三商家購,40.25,0.1,0.25,26W33,08/14,13.7,0.0,15.6,0.0,16.5,0.0,16.5,0.0
2127,6856,鑫傳,42.2,-2.6,-5.8,26W33,08/14,12.2,0.0,14.1,0.0,16.4,0.0,18.1,0.0
2128,6534,正瀚-創,94.6,-0.3,-0.32,26W33,08/14,10.4,-0.15,13.4,-0.11,16.4,-0.35,20.5,-0.36
2129,5347,世界,160.5,-2.5,-1.53,26W33,08/14,13.2,-0.22,14.6,-0.27,16.4,-0.33,17.9,-0.37
2130,9950,萬國通,10.35,-0.05,-0.48,26W33,08/14,12.2,-0.08,14.6,0.1,16.4,-0.03,19.0,0.0
2131,2724,藝舍-KY,10.5,-0.25,-2.33,26W33,08/14,8.46,0.0,11.4,0.0,16.3,-0.08,20.5,0.0
2132,1341,富林-KY,60.6,-0.1,-0.16,26W33,08/14,8.59,-0.1,10.1,-0.44,16.3,0.0,20.9,0.0
2133,5520,力泰,83.0,0.0,0.0,26W33,08/14,7.67,0.0,10.9,0.0,16.2,0.0,22.5,0.0
2134,1541,錩泰,21.6,-0.1,-0.46,26W33,08/14,11.2,0.0,11.9,0.0,16.2,0.0,17.6,0.0
2135,7689,大鵬科CLMX,173.0,-1.0,-0.57,26W33,08/14,13.5,-0.3,14.7,-0.46,16.2,-0.44,18.0,-0.44
2136,9926,新海,49.0,-0.3,-0.61,26W33,08/14,7.68,0.12,11.1,0.0,16.2,0.0,20.4,0.0
2137,6958A,日盛台駿甲特,19.95,0.15,0.76,26W33,08/14,12.0,0.0,12.9,0.0,16.1,0.0,16.1,0.0
2138,5704,老爺知,21.6,0.0,0.0,26W33,08/14,14.3,0.0,15.6,0.0,16.1,0.0,17.9,0.0
2139,2235,謚源,27.3,0.15,0.55,26W33,08/14,15.8,0.0,16.1,0.0,16.1,0.0,18.9,0.0
2140,2012,春雨,15.15,0.0,0.0,26W33,08/14,10.5,0.03,12.5,0.03,16.1,0.03,20.5,0.22
2141,1459,聯發,14.0,-0.05,-0.36,26W33,08/14,9.95,-0.13,12.2,0.0,16.0,-0.08,18.3,-0.09
2142,6629,泰金-KY,110.5,-1.5,-1.34,26W33,08/14,8.07,-0.04,10.1,-0.02,16.0,0.01,18.3,0.0
2143,8080,泰霖,28.05,-0.45,-1.58,26W33,08/14,11.7,0.02,13.8,0.04,15.9,0.0,16.5,0.0
2144,2912,統一超,214.5,-2.5,-1.15,26W33,08/14,12.0,0.38,13.6,0.38,15.7,0.52,17.3,0.5
2145,6674,鋐寶科技,14.85,-0.2,-1.33,26W33,08/14,12.1,0.0,13.8,0.0,15.7,0.0,17.4,0.0
2146,2905,三商,17.1,0.9,5.56,26W33,08/14,10.5,-0.01,13.1,0.0,15.7,0.02,17.1,-0.07
2147,2645,長榮航太,200.0,18.0,9.89,26W33,08/14,11.9,0.7,13.6,0.92,15.6,0.56,16.5,0.39
2148,2528,皇普,20.15,-0.25,-1.23,26W33,08/14,9.71,0.02,12.7,-0.01,15.5,-0.41,18.3,0.03
2149,4728,雙美,385.5,-3.0,-0.77,26W33,08/14,7.25,0.19,9.3,0.0,15.5,0.0,26.7,0.0
2150,2937,集雅社,47.75,-0.05,-0.1,26W33,08/14,5.81,-0.03,7.96,-0.48,15.4,-0.01,18.8,0.01
2151,3036,文曄,210.0,-5.0,-2.33,26W33,08/14,11.0,0.82,12.7,0.87,15.4,0.87,17.2,1.03
2152,5546,永固-KY,13.75,0.4,3.0,26W33,08/14,7.75,0.01,11.5,0.02,15.4,0.02,18.3,0.02
2153,2408,南亞科,512.0,-2.0,-0.39,26W33,08/14,12.4,-2.0,13.8,-2.09,15.4,-2.09,16.4,-2.11
2154,7736,虎山,71.3,1.7,2.44,26W33,08/14,10.6,0.0,13.4,0.0,15.3,0.0,19.3,0.0
2155,6542,隆中,44.55,-1.8,-3.88,26W33,08/14,11.6,-0.04,14.1,0.0,15.3,0.0,16.4,0.0
2156,4305,世坤,43.75,0.1,0.23,26W33,08/14,9.11,0.0,10.8,0.0,15.2,0.0,16.3,0.0
2157,7713,威力德生醫,70.8,0.0,0.0,26W33,08/14,6.5,-0.27,9.98,-0.01,15.2,-0.01,18.4,-0.03
2158,3702,大聯大,115.0,-8.5,-6.88,26W33,08/14,10.6,0.09,12.5,0.11,15.2,0.23,17.2,0.03
2159,2382,廣達,327.5,2.5,0.77,26W33,08/14,12.4,0.09,13.6,0.08,15.1,0.18,16.4,0.18
2160,7722,LINEPAY,276.5,-14.0,-4.82,26W33,08/14,14.5,0.15,14.5,0.15,15.1,0.15,15.1,0.15
2161,9918,欣天然,42.55,0.05,0.12,26W33,08/14,6.8,0.0,9.78,-0.09,15.0,-0.09,19.0,-0.06
