統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均量,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,外資持股比,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減幅_5日,B4_融資減張_當日,B4_融資減張_5日,B4_融資減張_當日估算(萬),B4_借券減幅_當日,B4_借券減幅_5日,B4_借券減張_當日,B4_借券減張_5日,B4_借券減張_當日估算(萬),B4_融券增幅_當日,B4_融券增幅_5日,B4_融券增張_當日,B4_融券增張_5日,B4_融券增張_當日估算(萬),B4_融資增幅_當日,B4_融資增幅_5日,B4_借券增幅_當日,B4_借券增幅_5日,B4_融資增張_當日,B4_融資增張_5日,B4_融資增張_當日估算(萬),B4_借券增張_當日,B4_借券增張_5日,B4_借券增張_當日估算(萬),B4_借券實際減額_當日,B4_借券實際減額_5日,B4_借券實際增額_當日,B4_借券實際增額_5日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B5_共振狀態,B6_總額(億),B6_成交均價,B6_收盤價,B6_防守狀態,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_日連買,B8_週連買,B8_囤貨張數
1240,茂生農經,農業科技業,09/17,55.6,0.72,5.0,0.29,10.4,5.0,0.28,⏸️ 平量滯漲 (拋壓增大，高位見頂),61.111111111111114,1.04,,,,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.02,🔄 持平,-0.0,0.02,🔄 持平,-0.0,0.02,🔄 持平,-0.0,0.02,,,,,,11.1,21.8,0.0,🔄 持平,0.0,0.0,➖ 持平,1,3,27.0
1259,安心,觀光餐旅,09/17,64.5,2.06,17.0,1.11,18.2,9.0,0.56,⚖️ 溫和震盪整理,11000.000000000002,1.98,,,,26.20,,,,,,🔄 持平 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.17,-0.07,↗️ 微增,0.17,3.02,↗️ 微增,0.17,1.04,↗️ 微增,0.17,1.04,雙引擎,,,,,52.6,23.5,0.0,🔄 持平,0.0,0.0,➖ 持平,1,3,75.0
1264,德麥,食品工業,09/17,244.5,0.41,14.0,3.35,11.5,36.0,8.91,⚖️ 溫和震盪整理,-40.28520499108734,0.38,,,,1.80,,,,,,,,,,🌐 外資日連買(2)-🆕 試單觀察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🚨 劇減,-2.18,-2.24,↘️ 微減,-0.03,-0.09000000000000001,↘️ 微減,-0.03,-0.09000000000000001,,,,,,15.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,1,3,13.0
1268,漢來美食,觀光餐旅,09/17,173.0,0.58,21.0,3.58,13.1,22.0,3.75,⏸️ 平量滯漲 (拋壓增大，高位見頂),126.58227848101266,0.95,,,,1.80,,,,,,,,,,🌐 外資日連買(2)-🆕 試單觀察,,,0.0,-19.0,,,,,,,,,,,,,,,,0.0,9.09,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,,,16.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,7,3,96.0
1294,漢田生技,食品工業,09/17,51.5,0.78,10.0,0.51,12.6,16.0,0.81,⚖️ 溫和震盪整理,54.54545454545454,0.63,,,,2.10,,,,,,🔄 持平 (0%),,,,🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↗️ 微增,0.17,3.2300000000000004,↗️ 微增,0.17,7.529999999999999,↗️ 微增,0.17,0.51,↗️ 微增,0.17,3.99,雙引擎 | 長短線,,,,,21.2,0,-4.2,🚨 減/大減,0.1,0.0,➖ 持平,1,4,21.0
1295,生合,食品工業,09/17,44.5,-0.11,12.0,0.55,10.8,15.0,0.68,⏸️ 平量滯漲 (拋壓增大，高位見頂),-24.65753424657533,0.81,,,,1.40,,,,,,,,,,,,⚠️ 初危,,,,,,,,,,,,,,,,0.0,2.05,,,,,,,,,,,,,🔄 持平,0.0,-0.039999999999999994,🔄 持平,-0.0,4.64,🔄 持平,-0.0,0.30000000000000004,🔄 持平,-0.0,1.4200000000000002,,,,,,15.2,0,1.3,🔥 大增,-11.7,0.0,➖ 持平,2,2,39.0
1336,台翰,電子零組件業,09/17,16.75,3.72,359.0,6.01,22.6,420.0,6.87,⚖️ 溫和震盪整理,239.54802259887003,0.87,,,,4.30,,,,,,🔄 持平 (0%),,🔥 持續加碼 (0.15%),,🌐 外資日連買(2)-🆕 試單觀察 | 🌐 外資週連買(4)-🌱 週線發動,,,,,,,,0.0,-9.27,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,-0.7799999999999999,🔄 持平,-0.0,1.53,↘️ 微減,-0.02,-0.09999999999999981,↘️ 微減,-0.02,1.37,,,,,,29.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3,4,338.0
1565,精華,生技醫療業,09/17,96.5,0.73,119.0,11.5,12.0,106.0,10.23,⏸️ 平量滯漲 (拋壓增大，高位見頂),-3.361344537815125,1.12,,,,8.90,,,,,,,,,,🌐 外資週連買(16)-👑 長線主控,,,,,,,,,,,,,,,,,,0.16,6.02,,,2.0,72.0,19.3,,,,,,,,↗️ 微增,0.08,2.27,↗️ 微增,0.08,0.5,↗️ 微增,0.08,0.5,↗️ 微增,0.08,-1.23,雙引擎,,,,,8.02,0,0.0,🔄 持平,0.0,0.0,➖ 持平,1,4,162.0
1569,濱川,電腦及週邊設備業,09/17,52.0,2.56,1362.0,70.9,,1314.0,66.96,⚖️ 溫和震盪整理,94.7802197802198,1.06,,,,4.20,,,,,,🔄 持平 (0%),,🔥 持續加碼 (0.19%),,🌐 外資日連買(3)-🆕 試單觀察 | 🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,,,21.7,55.3,13.0,26.0,67.6,,,,,41.0,285.0,213.2,,,,-41.6,-479.0,,,📉 小減,-0.73,-1.77,↘️ 微減,-0.14,-0.6100000000000001,📉 小減,-0.63,-0.7000000000000001,📉 小減,-0.87,-1.5600000000000003,,,,,,16.8,36.0,0.0,🔄 持平,0.0,0.0,➖ 持平,3,4,1217.0
1570,力肯,電機機械,09/17,32.6,0.77,34.0,1.09,47.2,29.0,0.91,⏸️ 平量滯漲 (拋壓增大，高位見頂),127.08333333333334,1.2,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,↗️ 微增,0.02,0.13,↗️ 微增,0.12,0.29,↗️ 微增,0.12,-0.5899999999999999,,,,,,40.4,0,0.0,🔄 持平,0.0,0.0,➖ 持平,2,4,228.0
