排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,25.6,1.6,6.67,171,06/23,108,0,-27,81,1730.0,99.4,＋・－
2,8482,商億-KY,市,49.4,1.05,2.17,5,06/23,4,0,0,4,98.6,91.7,＋・・
3,8455,大拓-KY,櫃,28.0,-2.85,-9.24,99,06/23,-3,0,0,-3,22.1,87.8,－・・
4,6230,尼得科超眾,市,133.0,-2.0,-1.48,76,06/23,9,0,1,10,75.2,87.0,＋・＋
5,6890,來億-KY,市,238.0,7.5,3.25,382,06/23,78,0,-23,55,215.0,86.1,＋・－
6,4560,強信-KY,市,32.45,-0.3,-0.92,224,06/23,25,0,6,31,57.6,84.6,＋・＋
7,2762,世界健身-KY,市,85.3,0.8,0.95,109,06/23,33,0,0,33,93.2,82.8,＋・・
8,1590,亞德客-KY,市,1375.0,-20.0,-1.43,1204,06/23,-24,49,1,25,161.0,80.3,－＋＋
9,1341,富林-KY,市,59.0,1.1,1.9,26,06/23,4,0,0,4,42.2,79.9,＋・－
10,6415,矽力*-KY,市,645.0,-28.0,-4.16,10212,06/23,487,906,-68,1325,309.0,79.5,＋＋－
11,006203,元大MSCI台灣,市,201.4,-0.35,-0.17,7,06/23,0,0,2,2,8.02,78.5,・・＋
12,3711,日月光投控,市,662.0,-12.0,-1.78,44280,06/23,10811,-5643,-339,4830,3470.0,77.6,＋－－
13,6965,中傑-KY,市,80.4,2.6,3.34,100,06/23,29,0,0,29,121.0,77.2,＋・・
14,5276,達輝-KY,櫃,18.35,-0.35,-1.87,12,06/23,-2,0,0,-2,30.4,77.0,－・・
15,6629,泰金-KY,櫃,114.5,1.5,1.33,57,06/23,-11,0,-1,-12,29.5,76.9,－・－
16,6924,榮惠-KY創,市,119.5,-7.0,-5.53,13,06/23,0,0,0,0,15.8,76.6,＋・・
17,2239,英利-KY,市,22.3,-0.4,-1.76,75,06/23,-21,0,0,-21,88.7,75.3,－・・
18,6666,羅麗芬-KY,市,43.3,0.05,0.12,33,06/23,-1,0,0,-1,35.7,75.3,－・・
19,8291,尚茂,櫃,49.8,-2.3,-4.41,335,06/23,2,0,0,2,12.8,73.5,＋・・
20,8499,鼎炫-KY,市,312.0,-12.0,-3.7,173,06/23,11,0,2,13,29.7,72.1,＋・＋
21,4148,全宇生技-KY,市,29.8,-0.85,-2.77,77,06/23,1,0,1,2,47.8,71.1,＋・＋
22,2330,台積電,市,2490.0,-20.0,-0.8,37002,06/23,-2726,165,1192,-1369,18163.0,70.0,－＋＋
23,8488,吉源-KY,市,10.4,0.1,0.97,10,06/23,4,0,0,4,51.2,69.6,＋・・
24,6863,永道-KY,市,93.5,-1.9,-1.99,121,06/23,7,0,2,9,51.9,69.3,＋・＋
25,6550,北極星藥業-KY,市,13.1,-0.1,-0.76,1030,06/23,-191,0,-1,-192,614.0,68.6,－・－
