"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2101","3555","博士旺","156.5","-1","-0.63","26W28","07/09","22.3","0","22.3","0","77.7","0"
"2102","5278","尚凡*","24.65","0","0","26W28","07/09","21.4","-0.02","22.5","-0.02","77.5","+0.02"
"2103","1735","日勝化","20.5","-0.1","-0.49","26W28","07/09","22.2","-0.05","22.2","-0.05","77.8","+0.05"
"2104","2433","互盛電","41.95","+0.15","+0.36","26W28","07/09","22.2","+0.02","22.2","+0.02","77.8","-0.02"
"2105","5546","永固-KY","14","+0.3","+2.19","26W28","07/09","20.9","0","22","+0.01","78","-0.01"
"2106","2897B","王道銀乙特","11.5","+0.05","+0.44","26W28","07/09","20.4","0","21.9","0","78.1","0"
"2107","3332","幸康","61.9","0","0","26W28","07/09","20.2","0","22.1","0","77.9","0"
"2108","2211","長榮鋼","88.1","+1.9","+2.2","26W28","07/09","19.6","+0.01","20.9","-0.18","79.1","+0.18"
"2109","6666","羅麗芬-KY","42.5","+0.2","+0.47","26W28","07/09","22","+0.04","22","+0.04","78","-0.04"
"2110","1459","聯發","12.9","-0.05","-0.39","26W28","07/09","18.7","0","20.5","0","79.5","0"
"2111","8464","億豐","381","-1","-0.26","26W28","07/09","20.1","+0.2","22.2","-0.38","77.8","+0.38"
"2112","2597","潤弘","166","+1.5","+0.91","26W28","07/09","21","+0.03","21.8","+0.03","78.2","-0.03"
"2113","1808","潤隆","33.05","+1.2","+3.77","26W28","07/09","21.8","-0.1","22.4","+0.01","77.6","-0.01"
"2114","4148","全宇生技-KY","30.3","-0.5","-1.62","26W28","07/09","21.8","-0.01","21.8","-0.01","78.2","+0.01"
"2115","6464","台數科","78","+0.7","+0.91","26W28","07/09","19.5","-0.65","22.2","-0.02","77.8","+0.02"
"2116","9940","信義","20.8","+0.45","+2.21","26W28","07/09","21.6","+0.01","22.1","+0.01","77.9","-0.01"
"2117","7713","威力德生醫","68.9","-0.2","-0.29","26W28","07/09","21.9","-0.04","21.9","-0.04","78.1","+0.04"
"2118","2637","慧洋-KY","87.9","+2.4","+2.81","26W28","07/09","21.9","-0.65","23.1","-0.9","76.9","+0.9"
"2119","2618","長榮航","44.4","+1.15","+2.66","26W28","07/09","22.8","-0.14","23.7","-0.13","76.3","+0.13"
"2120","1307","三芳","32.5","+0.35","+1.09","26W28","07/09","20.9","+0.82","21.8","+0.82","78.2","-0.82"
"2121","6199","天品","96","-0.3","-0.31","26W28","07/09","21.6","-1.72","23","-1.73","77","+1.73"
"2122","1236","宏亞","25.5","+0.55","+2.2","26W28","07/09","17.6","+0.04","22","+0.04","78","-0.04"
"2123","7642","昶瑞機電","80.1","+2.9","+3.76","26W28","07/09","21.6","+0.02","21.6","+0.02","78.4","-0.02"
"2124","3523","迎輝","15.3","-0.35","-2.24","26W28","07/09","21.6","0","21.6","0","78.4","0"
"2125","2105","正新","31.4","+0.4","+1.29","26W28","07/09","21.1","-0.32","21.8","-0.31","78.2","+0.31"
"2126","2395","研華","634","+12","+1.93","26W28","07/09","20.1","+0.17","22.1","+0.09","77.9","-0.09"
"2127","9946","三發地產","17.95","+0.15","+0.84","26W28","07/09","20.7","+0.04","21.5","-0.2","78.5","+0.2"
"2128","1442","名軒","30.1","+0.6","+2.03","26W28","07/09","18.2","-0.46","21.6","-0.72","78.4","+0.72"
"2129","8931","大汽電","40.75","-0.05","-0.12","26W28","07/09","20.9","0","22.5","0","77.5","0"
"2130","3521","台鋼建設","12.25","+0.1","+0.82","26W28","07/09","21.4","0","21.9","0","78.1","0"
"2131","5345","馥鴻","22.45","-0.35","-1.54","26W28","07/09","21.1","0","21.1","0","78.9","0"
"2132","00772B","中信高評級公司債","33.16","-0.27","-0.81","26W28","07/09","21","+0.16","21.4","+0.16","78.6","-0.16"
"2133","2528","皇普","20.6","+0.1","+0.49","26W28","07/09","19.6","+0.23","20.6","+0.23","79.4","-0.23"
"2134","4994","傳奇","87.2","+0.5","+0.58","26W28","07/09","19.7","+0.46","21","+1.71","79","-1.71"
"2135","2891","中信金","65.6","+1","+1.55","26W28","07/09","19.8","-0.02","20.5","-0.03","79.5","+0.03"
"2136","6101","寬魚國際","35.65","+0.05","+0.14","26W28","07/09","18.8","+0.19","22.1","+0.03","77.9","-0.03"
