"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1201","00665L","富邦恒生國企正2","9.5","+0.01","+0.11","26W32","08/07","19.5","+0.77","30","+0.8","40.8","+1.18","46.9","+0.89"
"1202","1342","八貫","104","0","0","26W32","08/07","32.6","+0.78","36.8","+1.09","41.4","+0.79","45.7","+3.13"
"1203","9927","泰銘","69.1","-0.2","-0.29","26W32","08/07","33.6","+0.1","37.2","+0.23","41.1","+0.02","42.9","+0.02"
"1204","2916","滿心","40.05","-0.05","-0.12","26W32","08/07","30","+0.1","35.9","0","41.1","0","42.5","0"
"1205","3447","展達","28.7","+1.1","+3.99","26W32","08/07","31.6","-0.08","36.5","-0.37","41.1","0","44.7","0"
"1206","6142","友勁","8.87","-0.08","-0.89","26W32","08/07","29.9","-0.06","35.5","+0.08","40.9","+0.11","44.2","-0.02"
"1207","00641R","富邦日本反1","3.62","-0.03","-0.82","26W32","08/07","26.3","-0.25","36","-2.23","47.3","-1.46","53.8","-1.18"
"1208","6112","邁達特","45.05","-0.45","-0.99","26W32","08/07","36.1","-0.58","38.7","-0.86","41.5","0","42.5","+0.07"
"1209","2331","精英","19.7","-0.1","-0.51","26W32","08/07","34.6","-0.15","38.2","-0.19","41.2","-0.35","43.8","-0.17"
"1210","2732","六角","64.8","-0.3","-0.46","26W32","08/07","36.1","0","40.3","-0.29","40.9","-0.29","45.9","-0.57"
"1211","7819","精誠金融","34.5","-0.3","-0.86","26W32","08/07","34.1","0","38.8","0","40.9","0","40.9","0"
"1212","4129","聯合","82.4","+0.1","+0.12","26W32","08/07","27.8","+0.04","33","-0.15","40.9","0","48.3","-0.62"
"1213","2421","建準","163.5","+4","+2.51","26W32","08/07","30.6","-2.33","35.1","-2.45","41","-2.1","45.8","-2.97"
"1214","3628","盈正","68.4","-0.3","-0.44","26W32","08/07","32.1","+0.02","36.8","+0.02","40.8","0","40.8","0"
"1215","2364","倫飛","67.6","-0.4","-0.59","26W32","08/07","36.9","-0.34","41.2","-0.06","45","0","45","0"
"1216","5521","工信","10.65","-0.15","-1.39","26W32","08/07","30.1","-0.07","36.4","-0.26","41.8","+0.12","44.4","-0.3"
"1217","1474","弘裕","10","0","0","26W32","08/07","29.7","+0.05","35.3","+0.17","40.5","-0.01","43.8","-0.02"
"1218","3581","博磊","110.5","-2.5","-2.21","26W32","08/07","31.2","+0.09","37.1","-0.17","39.3","-0.55","43.9","+1.08"
"1219","2313","華通","241","-3","-1.23","26W32","08/07","36.8","-1.86","39.1","-1.9","41.1","-2.08","42.9","-2.08"
"1220","3691","碩禾","100","+1.3","+1.32","26W32","08/07","32.7","+0.01","37.1","+0.1","41.4","-0.4","42.5","-1.04"
"1221","3416","融程電","180.5","-2","-1.1","26W32","08/07","30.7","-0.78","36.2","-1.47","42.6","-0.39","44.6","-0.2"
"1222","6620","漢達","84.5","+7.6","+9.88","26W32","08/07","28.1","+0.29","33.9","+0.29","40.5","+0.79","45.4","+0.56"
"1223","1312","國喬","14.15","-0.15","-1.05","26W32","08/07","31.8","-0.21","36.4","-0.25","40.8","-0.27","42.7","-0.33"
"1224","6203","海韻電","59.6","-0.1","-0.17","26W32","08/07","36.9","+0.16","39.3","-0.27","40.8","-0.01","44.4","-0.01"
