排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1501,3465,進泰電子,29.05,-0.05,-0.17,26W36,09/04,37.8,1.13,41.8,-0.86,58.2,0.86
1502,8042,金山電,110.5,10.0,9.95,26W36,09/04,41.1,-0.09,41.8,-0.04,58.2,0.04
1503,6465,威潤,46.0,0.0,0.0,26W36,09/04,38.7,-0.01,41.7,0.0,58.3,0.0
1504,6214,精誠,185.5,2.5,1.37,26W36,09/04,39.1,-1.58,41.7,-1.91,58.3,1.91
1505,2640,大車隊,156.0,-0.5,-0.32,26W36,09/04,40.0,0.0,41.7,0.0,58.3,0.0
1506,1441,大東,8.8,0.0,0.0,26W36,09/04,39.1,0.0,41.6,0.0,58.4,0.0
1507,1817,凱撒衛,40.05,0.0,0.0,26W36,09/04,41.6,0.0,41.6,0.0,58.4,0.0
1508,00969B,元大零息超長美債,7.99,0.0,0.0,26W36,09/04,39.7,0.33,41.6,0.34,58.4,-0.34
1509,2748,雲品,38.85,0.15,0.39,26W36,09/04,40.6,0.0,41.6,0.0,58.4,0.0
1510,3432,台端,14.55,0.0,0.0,26W36,09/04,37.4,0.0,41.5,0.0,58.5,0.0
1511,2497,怡利電,45.0,0.35,0.78,26W36,09/04,39.4,0.01,41.5,0.01,58.5,-0.01
1512,5464,霖宏,69.5,0.5,0.72,26W36,09/04,33.9,-3.3,41.5,-0.67,58.5,0.67
1513,2415,錩新,28.2,0.3,1.08,26W36,09/04,41.5,0.98,41.5,0.0,58.5,0.0
1514,5234,達興材料,293.0,3.5,1.21,26W36,09/04,41.4,0.73,41.4,-0.05,58.6,0.05
1515,5548,安倉,20.55,0.05,0.24,26W36,09/04,40.0,0.08,41.4,0.08,58.6,-0.08
1516,6725,矽科宏晟,225.0,6.0,2.74,26W36,09/04,38.6,0.0,41.3,0.0,58.7,0.0
1517,4441,振大環球,175.0,3.5,2.04,26W36,09/04,39.9,0.04,41.3,0.04,58.7,-0.04
1518,4528,江興鍛,14.95,0.0,0.0,26W36,09/04,40.2,0.0,41.3,0.0,58.7,0.0
1519,2755,揚秦,100.5,-2.0,-1.95,26W36,09/04,41.3,0.0,41.3,0.0,58.7,0.0
1520,1516,川飛,14.35,0.0,0.0,26W36,09/04,41.3,0.0,41.3,0.0,58.7,0.0
1521,4930,燦星網,16.15,0.05,0.31,26W36,09/04,39.2,0.0,41.3,0.0,58.7,0.0
1522,4549,桓達,102.5,2.0,1.99,26W36,09/04,41.3,0.0,41.3,0.0,58.7,0.0
1523,2617,台航,32.45,0.15,0.46,26W36,09/04,40.0,-0.67,41.2,-0.07,58.8,0.07
1524,2115,六暉-KY,23.8,0.0,0.0,26W36,09/04,36.9,-0.04,41.2,-0.04,58.8,0.04
1525,8210,勤誠,986.0,38.0,4.01,26W36,09/04,38.5,0.97,41.2,0.26,58.8,-0.26
1526,3596,智易,159.5,2.5,1.59,26W36,09/04,36.8,0.35,41.2,-0.03,58.8,0.03
1527,2643,捷迅,62.4,-0.2,-0.32,26W36,09/04,36.0,0.01,41.2,0.01,58.8,-0.01
1528,1722,台肥,44.8,0.15,0.34,26W36,09/04,39.6,0.38,41.2,0.3,58.8,-0.3
1529,5511,德昌,69.3,-0.7,-1.0,26W36,09/04,39.1,-0.17,41.2,-0.17,58.8,0.17
1530,8068,全達,16.85,0.0,0.0,26W36,09/04,41.2,0.05,41.2,0.05,58.8,-0.05
1531,1532,勤美,23.0,-0.05,-0.22,26W36,09/04,39.8,-0.09,41.1,-0.09,58.9,0.09
1532,6605,帝寶,138.5,1.5,1.09,26W36,09/04,38.9,0.0,41.1,0.0,58.9,0.0
1533,4919,新唐,120.0,5.0,4.35,26W36,09/04,39.9,0.02,41.1,0.23,58.9,-0.23
1534,8462,柏文,165.5,0.0,0.0,26W36,09/04,38.9,-0.01,41.1,-0.03,58.9,0.03
1535,6525,捷敏-KY,138.0,2.5,1.85,26W36,09/04,39.6,0.06,41.1,0.06,58.9,-0.06
