排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1,00643K,群益深証中小+R,3.83,-0.01,-0.26,26W36,09/04,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2,0057,富邦摩台,321.6,3.85,1.21,26W36,09/04,62.4,-1.9,100.0,0.0,100.0,0.0,100.0,0.0
3,00860B,群益1-5Y投資級債,37.83,0.02,0.05,26W36,09/04,89.2,1.81,100.0,8.13,100.0,0.0,100.0,0.0
4,00657K,國泰日經225+U,24.23,0.29,1.21,26W36,09/04,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
5,00668K,國泰美國道瓊+U,19.66,0.24,1.24,26W36,09/04,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
6,00636K,國泰中國A50+U,8.74,0.04,0.46,26W36,09/04,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
7,006204,永豐臺灣加權,232.25,1.45,0.63,26W36,09/04,66.8,-0.22,85.4,-0.22,100.0,0.0,100.0,0.0
8,00625K,富邦上証+R,8.62,0.0,0.0,26W36,09/04,65.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0
9,009818,華南永昌NASDAQxT,20.05,0.4,2.04,26W36,09/04,81.9,-0.9,90.2,-0.93,96.0,-0.88,96.0,-2.14
10,00728,第一金工業30,69.65,1.6,2.35,26W36,09/04,84.7,-0.7,89.3,-0.75,94.7,-0.63,95.9,-0.53
11,00899,FT潔淨能源,23.09,0.14,0.61,26W36,09/04,82.6,-0.52,89.1,0.2,94.4,0.06,94.4,0.06
12,00861,元大全球未來通訊,84.25,1.75,2.12,26W36,09/04,89.1,-0.01,91.0,-0.18,93.8,-0.19,93.8,-0.19
13,00930,永豐ESG低碳高息,24.31,0.31,1.29,26W36,09/04,88.1,2.24,91.7,2.56,93.8,2.59,94.2,2.59
14,00701,國泰股利精選30,40.08,0.48,1.21,26W36,09/04,89.2,-1.1,91.2,-1.21,93.3,-0.92,94.8,-0.92
15,00939,統一台灣高息動能,23.89,0.32,1.36,26W36,09/04,81.5,-0.18,89.6,-0.24,92.9,-0.18,93.6,-0.31
16,00896,中信綠能及電動車,28.4,0.54,1.94,26W36,09/04,83.4,0.49,90.2,1.04,92.4,1.2,93.1,1.42
17,00961,FT臺灣永續高息,13.6,0.18,1.34,26W36,09/04,71.2,2.04,84.4,2.02,92.4,2.03,95.6,2.47
18,00905,FT臺灣Smart,26.41,0.34,1.3,26W36,09/04,82.4,0.09,89.2,0.18,92.2,0.15,93.4,0.15
19,00921,兆豐龍頭等權重,24.73,0.31,1.27,26W36,09/04,85.3,3.74,89.1,4.09,91.7,4.12,92.8,5.19
20,00893,國泰智能電動車,42.59,0.88,2.11,26W36,09/04,83.8,0.04,88.7,0.08,91.5,0.09,92.6,0.22
21,00929,復華台灣科技優息,29.4,0.51,1.77,26W36,09/04,76.7,0.68,86.8,0.78,90.7,0.83,91.9,0.81
22,00895,富邦未來車,50.2,1.1,2.24,26W36,09/04,84.4,-0.07,88.4,-0.07,90.7,0.05,90.7,-0.7
23,00962,台新AI優息動能,15.66,0.38,2.49,26W36,09/04,77.8,8.64,88.0,10.5,90.6,10.3,92.3,11.1
24,00910,第一金太空衛星,57.05,0.55,0.97,26W36,09/04,82.9,2.05,86.7,2.13,90.3,2.73,91.1,1.92
25,00657,國泰日經225,76.5,1.55,2.07,26W36,09/04,69.0,-0.57,74.2,-0.32,89.9,1.08,89.9,1.08
26,00783,富邦中証500,27.8,0.04,0.14,26W36,09/04,61.2,-0.23,73.4,-1.92,89.8,1.15,89.8,1.15
27,00936,台新永續高息中小,21.42,0.15,0.71,26W36,09/04,82.8,0.09,88.4,0.11,89.8,0.0,90.7,0.32
28,006208,富邦台50,247.25,3.45,1.42,26W36,09/04,86.6,0.0,88.9,-0.05,89.8,-0.03,90.1,-0.03
29,8349A,恒耀甲特,45.55,0.0,0.0,26W36,09/04,55.7,-0.01,66.3,-0.01,89.8,0.0,100.0,0.0
30,00888,永豐台灣ESG,33.7,0.65,1.97,26W36,09/04,82.1,0.42,87.2,0.56,89.7,0.63,90.4,0.41
31,009822,華南永昌未來金融,10.06,0.4,4.14,26W36,09/04,76.3,6.84,84.4,7.48,89.6,7.63,92.5,7.36
32,00944,野村趨勢動能高息,21.5,0.34,1.61,26W36,09/04,82.8,-0.46,86.8,-0.54,89.6,-1.18,92.2,-0.35
33,009821,野村稀土關鍵資源,15.15,0.24,1.61,26W36,09/04,79.3,3.09,86.1,3.25,89.4,3.18,91.2,3.25
34,00999A,主動野村臺灣高息,11.54,0.18,1.58,26W36,09/04,77.1,2.09,85.5,2.27,89.4,2.5,91.0,2.53
35,00903,富邦元宇宙,21.3,0.35,1.67,26W36,09/04,80.3,1.39,86.8,1.52,89.3,1.57,90.2,1.3
36,009804,聯邦台精彩50,23.07,0.43,1.9,26W36,09/04,75.3,0.01,84.1,-0.15,89.1,-0.66,91.4,-0.5
37,009825,聯邦美國金融創新,10.31,0.29,2.89,26W36,09/04,67.1,1.65,81.8,1.92,89.1,2.44,93.4,2.08
38,009808,華南永昌優選50,31.28,0.51,1.66,26W36,09/04,74.4,-0.93,80.9,-0.97,89.1,-1.69,90.6,-1.59
39,00919,群益台灣精選高息,33.02,0.5,1.54,26W36,09/04,72.8,0.12,83.4,0.19,88.9,0.22,90.5,0.2
40,009803,玉山市值動能50,22.14,0.36,1.65,26W36,09/04,74.2,4.41,82.6,4.78,88.8,4.96,89.8,5.28
41,00878,國泰永續高股息,34.11,0.53,1.58,26W36,09/04,74.9,-0.3,84.3,-0.32,88.7,-0.35,90.1,-0.35
42,009819,中信數據及電力,9.74,0.14,1.46,26W36,09/04,77.1,-0.03,84.3,-0.01,88.5,0.17,90.1,0.02
43,00907,永豐優息存股,17.74,0.13,0.74,26W36,09/04,79.2,-0.98,85.5,-1.2,88.5,-1.43,89.5,-1.43
44,2314,台揚,11.35,-0.15,-1.3,26W36,09/04,77.7,-0.09,83.8,0.0,88.5,0.0,91.2,0.02
45,00934,中信成長高股息,30.56,0.56,1.87,26W36,09/04,81.1,-0.43,86.4,-0.49,88.5,-0.37,89.2,-0.38
46,0056,元大高股息,55.4,0.9,1.65,26W36,09/04,76.2,0.2,84.4,0.21,88.4,0.2,89.8,0.21
