排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
901,3588,通嘉,市,09/18,,52.4,1.1,2.14,125,6.52,51.3,52.2,52.8,51.5,2.53,43.3,1.79,,,,,
902,6776,展碁國際,市,09/18,,52.3,0.3,0.58,48,2.53,52.0,52.0,52.4,51.9,0.96,11.6,1.73,,,,,
903,8917,欣泰,櫃,09/18,,52.2,-0.4,-0.76,2,0.1,52.6,52.2,52.2,52.2,0.0,20.9,3.23,,,,,
904,5471,松翰,市,09/18,,52.1,1.0,1.96,882,45.7,51.1,51.6,52.4,50.9,2.94,31.4,2.42,,,,,
905,6112,邁達特,市,09/18,,52.1,3.35,6.87,8939,460.0,48.75,48.8,53.1,48.5,9.44,16.1,2.27,,,,,
906,8936,國統,櫃,09/18,,52.1,-0.1,-0.19,707,36.9,52.2,52.4,52.5,52.0,0.96,12.0,2.04,,,,,
907,4933,友輝,櫃,09/18,,52.0,0.7,1.36,51,2.65,51.3,52.3,52.4,51.5,1.75,7.19,1.11,,,,,
908,6796,晉弘,市,09/18,,52.0,1.6,3.17,40,2.04,50.4,51.2,52.2,50.5,3.37,144.0,2.46,,,,,
909,00760B,復華新興企業債,櫃,09/18,,51.9,0.1,0.19,101,5.23,51.8,51.9,51.9,51.9,0.0,,1.0029,,,,,
910,2838A,聯邦銀甲特,市,09/18,,51.9,0.0,0.0,18,0.94,51.9,52.0,52.0,51.9,0.19,,,,,,,
911,3015,全漢,市,09/18,,51.8,0.4,0.78,217,11.3,51.4,52.0,52.3,51.5,1.56,20.4,0.65,,,,,
912,5498,凱崴,櫃,09/18,,51.8,1.4,2.78,828,42.5,50.4,50.9,52.0,50.8,2.38,144.0,4.58,,,,,
913,3094,聯傑,市,09/18,,51.7,4.7,10.0,17282,886.0,47.0,48.8,51.7,48.6,6.6,83.4,4.14,,,,,
914,2881C,富邦金丙特,市,09/18,,51.6,0.1,0.19,40,2.05,51.5,51.5,51.6,51.5,0.19,,,,,,,
915,3025,星通,市,09/18,,51.6,0.4,0.78,75,3.86,51.2,51.5,51.7,51.3,0.78,10.9,3.77,,,,,
916,3545,敦泰,市,09/18,,51.6,1.1,2.18,949,48.6,50.5,49.9,51.8,49.9,3.76,,1.26,,,,,
917,1294,漢田生技,櫃,09/18,,51.5,0.0,0.0,8,0.39,51.5,51.5,51.5,51.4,0.19,12.6,1.9,,,,,
918,5309,系統電,櫃,09/18,,51.5,0.9,1.78,854,43.7,50.6,51.1,51.5,50.6,1.78,286.0,2.24,,,,,
919,6494,九齊,櫃,09/18,,51.5,1.9,3.83,115,5.85,49.6,50.3,51.5,49.8,3.43,17.3,1.58,,,,,
920,00913,兆豐台灣晶圓製造,市,09/18,,51.3,2.26,4.61,1771,90.1,49.04,50.4,51.35,50.3,2.14,,0.9975,,,,,
921,1730,花仙子,市,09/18,,51.3,0.0,0.0,8,0.44,51.3,51.5,51.5,51.3,0.39,10.8,1.6,,,,,
922,4175,杏一,櫃,09/18,,51.2,-0.3,-0.58,4,0.19,51.5,51.5,51.5,51.2,0.58,13.5,1.42,,,,,
923,6122,擎邦,櫃,09/18,,51.2,-0.1,-0.19,285,14.5,51.3,51.5,51.7,50.6,2.14,10.8,2.24,,,,,
924,1522A,堤維西甲特,市,09/18,,51.1,0.0,0.0,8,0.38,51.1,51.1,51.1,51.1,0.0,,,,,,,
925,2886,兆豐金,市,09/18,,51.1,-0.8,-1.54,46975,2388.0,51.9,51.9,51.9,50.1,3.47,19.8,1.88,,,,,
926,3312,弘憶股,市,09/18,,51.1,2.35,4.82,1482,75.1,48.75,49.9,51.5,49.15,4.82,13.3,2.32,,,,,
927,4995,晶達,櫃,09/18,,51.1,0.6,1.19,26,1.34,50.5,50.5,51.1,50.3,1.58,14.5,2.3,,,,,
928,6281,全國電,市,09/18,,51.1,0.2,0.39,54,2.74,50.9,51.0,51.5,50.9,1.18,13.7,1.82,,,,,
929,00881,國泰台灣科技龍頭,市,09/18,,51.0,1.19,2.39,17932,910.0,49.81,50.5,51.05,50.5,1.1,,0.9975,,,,,
930,3048,益登,市,09/18,,51.0,0.6,1.19,619,31.5,50.4,51.2,51.2,50.6,1.19,10.8,1.87,,,,,
931,6721,信實,櫃,09/18,,51.0,0.0,0.0,1,0.06,51.0,51.0,51.0,51.0,0.0,10.1,1.76,,,,,
932,8240,華宏,櫃,09/18,,51.0,0.4,0.79,315,15.9,50.6,50.7,51.0,50.0,1.98,21.7,1.06,,,,,
933,1708,東鹼,市,09/18,,50.7,-0.4,-0.78,2260,115.0,51.1,51.5,51.5,50.4,2.15,12.3,1.66,,,,,
934,8070,長華*,市,09/18,,50.7,0.6,1.2,1814,91.5,50.1,50.6,50.7,49.9,1.6,30.0,1.34,,,,,
935,2540,愛山林,市,09/18,,50.6,0.85,1.71,1750,90.4,49.75,54.0,54.0,50.6,6.83,,4.44,,,,,
936,3694,海華,市,09/18,,50.6,0.4,0.8,633,31.9,50.2,50.8,51.0,50.0,1.99,12.6,2.14,,,,,
937,6695,芯鼎,市,09/18,,50.6,1.05,2.12,507,25.5,49.55,49.85,50.8,49.65,2.32,,2.91,,,,,
938,8432,東生華,櫃,09/18,,50.6,0.5,1.0,36,1.82,50.1,50.4,50.6,50.0,1.2,11.6,1.37,,,,,
939,00895,富邦未來車,市,09/18,,50.5,0.78,1.57,263,13.2,49.72,50.85,50.85,50.2,1.31,,0.9982,,,,,
940,4763,材料*-KY,市,09/18,,50.5,2.8,5.87,16467,811.0,47.7,48.0,50.5,47.45,6.39,12.1,2.56,,,,,
941,8938,明安,櫃,09/18,,50.4,-2.0,-3.82,108,5.54,52.4,52.6,52.6,50.4,4.2,9.46,1.01,,,,,
942,9943,好樂迪,市,09/18,,50.4,-0.4,-0.79,111,5.61,50.8,50.8,51.2,50.4,1.57,8.3,1.7,,,,,
943,6165,浪凡,市,09/18,,50.3,1.7,3.5,518,25.8,48.6,48.45,50.3,48.45,3.81,12.8,2.85,,,,,
944,00758B,復華能源債,櫃,09/18,,50.2,0.22,0.44,100,5.02,49.98,50.2,50.2,50.2,0.0,,1.0006,,,,,
945,4417,金洲,櫃,09/18,,50.2,0.45,0.9,150,7.52,49.75,50.1,50.5,49.75,1.51,9.64,1.33,,,,,
946,6125,廣運,櫃,09/18,,50.2,1.85,3.83,515,25.5,48.35,48.65,50.2,48.4,3.72,167.0,2.79,,,,,
947,0055,元大MSCI金融,市,09/18,,50.15,-0.7,-1.38,1767,88.4,50.85,51.4,51.4,49.45,3.83,,0.998,,,,,
948,8074,鉅橡,櫃,09/18,,50.1,0.35,0.7,203,10.2,49.75,50.5,50.6,49.95,1.31,25.6,2.14,,,,,
949,8924,大田,櫃,09/18,,50.1,0.2,0.4,133,6.65,49.9,49.9,50.1,49.5,1.2,18.2,1.08,,,,,
950,2338,光罩,市,09/18,,50.0,1.2,2.46,23198,1148.0,48.8,49.1,50.4,48.4,4.1,,2.66,,,,,
951,3527,聚積,櫃,09/18,,50.0,-0.1,-0.2,39,1.98,50.1,50.2,51.0,50.0,2.0,,0.99,,,,,
952,6899,創為精密,櫃,09/18,,50.0,0.4,0.81,8,0.4,49.6,49.05,50.0,49.05,1.92,11.2,1.13,,,,,
953,7547,碩網,櫃,09/18,,49.95,0.25,0.5,3,0.15,49.7,49.5,49.95,49.35,1.21,16.2,1.74,,,,,
954,5515,建國,市,09/18,,49.9,0.35,0.71,186,9.3,49.55,50.3,50.3,49.8,1.01,5.06,1.72,,,,,
955,3564,其陽,櫃,09/18,,49.85,1.65,3.42,340,16.9,48.2,49.05,51.0,48.05,6.12,147.0,2.13,,,,,
