" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1101台泥","水泥","7.87","7.87","7.94","41","0.07"," ","610,083","610,083","613,954","41","3,871","22.55","-0.25"," "
" "," ","","1102亞泥","水泥","26.19","26.19","26.19","32","0.00"," ","929,013","929,013","929,013","32","0","35.15","0.60"," "
" "," ","","1103嘉泥","水泥","17.4","17.4","17.4","32","0.00"," ","137,537","137,537","137,537","32","0","13.50","-0.25"," "
" "," ","","1104環泥","水泥","25.16","25.15","25.19","31","0.03"," ","172,777","172,745","172,990","31","213","29.85","0.15"," "
" "," ","","1108幸福","水泥","3.95","3.95","3.95","32","0.00"," ","16,005","16,005","16,005","32","0","14.85","0.00"," "
" "," ","","1109信大","水泥","36.91","36.91","35.01","20","-1.90"," ","125,955","125,955","119,455","20","-6,500","15.20","0.00"," "
" "," ","","1110東泥","水泥","31.4","31.4","31.4","32","0.00"," ","179,633","179,633","179,633","32","0","15.40","0.05"," "
" "," ","","1201味全","食品","14.55","14.55","14.55","32","0.00"," ","73,648","73,648","73,648","32","0","13.40","0.00"," "
" "," ","","1203味王","食品","33.24","33.25","33.27","50","0.03"," ","79,795","79,821","79,855","50","60","39.45","-0.10"," "
" "," ","","1210大成","食品","17.74","17.74","17.74","32","0.00"," ","158,744","158,744","158,744","32","0","54.50","0.20"," "
" "," ","","1213大飲","食品","28.14","28.14","28.14","32","0.00"," ","15,935","15,935","15,935","32","0","9.57","-0.41"," "
" "," ","","1215卜蜂","食品","28.38","28.38","28.38","32","0.00"," ","83,677","83,677","83,677","32","0","140.00","-2.50"," "
" "," ","","1216統一","食品","9.84","9.84","9.88","41","0.04"," ","559,595","559,595","561,746","41","2,151","71.90","-0.10"," "
" "," ","","1217愛之味","食品","12.44","12.64","12.69","50","0.25"," ","61,534","62,552","62,764","50","1,230","10.40","0.10"," "
" "," ","","1218泰山","食品","11.65","11.65","11.65","32","0.00"," ","58,279","58,279","58,279","32","0","19.35","0.05"," "
" "," ","","1219福壽","食品","9.97","9.97","9.91","20","-0.06"," ","34,031","34,031","33,848","20","-183","14.20","0.30"," "
" "," ","","1220台榮","食品","23.18","23.26","23.33","50","0.15"," ","41,054","41,189","41,318","50","264","12.75","0.35"," "
" "," ","","1225福懋油","食品","14.94","14.94","14.95","41","0.01"," ","36,206","36,206","36,241","41","35","31.85","-0.45"," "
" "," ","","1227佳格","食品","3.2","3.2","3.2","32","0.00"," ","29,320","29,320","29,320","32","0","30.30","-0.05"," "
" "," ","","1229聯華","食品","24.16","24.16","24.16","32","0.00"," ","433,995","433,995","433,995","32","0","44.75","-0.10"," "
" "," ","","1231聯華食","食品","21.3","21.24","21.21","10","-0.09"," ","63,577","63,400","63,328","10","-249","91.70","-0.50"," "
" "," ","","1232大統益","食品","61.3","61.19","61.13","10","-0.17"," ","98,066","97,900","97,794","10","-272","150.00","0.00"," "
" "," ","","1233天仁","食品","11.85","11.85","11.85","32","0.00"," ","10,738","10,740","10,740","40","2","29.00","-0.25"," "
" "," ","","1234黑松","食品","13.15","13.15","13.15","32","0.00"," ","52,861","52,861","52,866","41","5","35.85","-0.20"," "
" "," ","","1235興泰","食品","3.26","3.26","3.26","32","0.00"," ","6,158","6,158","6,158","32","0","37.90","-1.65"," "
" "," ","","1236宏亞","食品","16.74","16.74","16.74","32","0.00"," ","14,512","14,512","14,512","32","0","26.05","-0.30"," "
" "," ","","1256鮮活果汁-KY","食品","48.46","48.39","48.34","10","-0.12"," ","17,336","17,313","17,296","10","-41","149.50","-0.50"," "
" "," ","","1301台塑","塑膠","14.46","14.46","14.46","32","0.00"," ","920,748","920,748","920,748","32","0","48.25","1.35"," "
" "," ","","1303南亞","塑膠","18.19","18.19","18.19","32","0.00"," ","1,443,197","1,443,197","1,443,156","20","-41","81.40","7.20"," "
" "," ","","1304台聚","塑膠","24.41","24.41","24.41","32","0.00"," ","290,242","290,242","290,242","32","0","17.80","1.60"," "
" "," ","","1305華夏","塑膠","33.13","33.13","33.13","32","0.00"," ","192,516","192,516","192,516","32","0","18.40","1.65"," "
" "," ","","1307三芳","塑膠","9.47","9.47","9.47","32","0.00"," ","37,693","37,693","37,693","32","0","34.80","0.65"," "
" "," ","","1308亞聚","塑膠","38.78","38.78","38.78","32","0.00"," ","230,271","230,271","230,271","32","0","19.40","1.75"," "
" "," ","","1309台達化","塑膠","39.37","39.37","39.37","32","0.00"," ","156,534","156,534","156,534","32","0","24.35","2.20"," "
" "," ","","1310台苯","塑膠","4.89","4.89","4.89","32","0.00"," ","25,846","25,846","25,846","32","0","11.95","0.70"," "
" "," ","","1312國喬","塑膠","6.29","6.29","6.29","32","0.00"," ","70,962","70,962","70,962","32","0","14.15","0.40"," "
" "," ","","1313聯成","塑膠","34.11","34.11","34.11","32","0.00"," ","454,065","454,065","454,065","32","0","13.45","0.65"," "
" "," ","","1314中石化","塑膠","6.9","6.9","6.9","32","0.00"," ","261,365","261,365","261,365","32","0","8.21","0.10"," "
" "," ","","1315達新","塑膠","19.82","19.82","19.82","32","0.00"," ","19,651","19,651","19,651","32","0","63.10","0.10"," "
" "," ","","1316上曜","營建","5.47","5.44","5.34","10","-0.13"," ","20,083","20,083","20,083","32","0","12.25","0.10"," "
" "," ","","1319東陽","汽車","18.38","18.38","18.38","32","0.00"," ","108,725","108,725","108,725","32","0","82.00","-1.40"," "
" "," ","","1321大洋","塑膠","5.88","5.88","5.88","32","0.00"," ","13,376","13,376","13,376","32","0","33.85","-0.50"," "
" "," ","","1323永裕","塑膠","13.64","13.64","13.64","32","0.00"," ","12,455","12,457","12,457","40","2","21.00","1.90"," "
" "," ","","1324地球","塑膠","8.05","8.05","8.05","32","0.00"," ","6,051","6,051","6,051","32","0","10.90","0.30"," "
" "," ","","1325恆大","塑膠","28.93","28.93","28.93","32","0.00"," ","24,680","24,680","24,680","32","0","27.35","0.20"," "
