" "," ","#","股票代號/名稱","類別","20260211","0226","0306","0313","0320","0327"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8271宇瞻","半導體","4.08","-0.17","0.27","13.56","-0.62","-0.27"," ","31","16.85"," ","56.41","144.00","-0.50"," "
" "," ","2","8028昇陽半導體","半導體","-0.37","2.34","3.14","-0.62","8.08","1.89"," ","30","14.46"," ","46.69","188.50","-2.50"," "
" "," ","3","3167大量","電機","15.66","1.43","-0.11","-0.57","-2.22","-1.61"," ","31","12.58"," ","61.08","409.00","37.00"," "
" "," ","4","8112至上","電子通路","0.76","0.94","-0.08","10.24","1.40","-2.15"," ","10","11.11"," ","51.21","77.80","-0.60"," "
" "," ","5","3450聯鈞","半導體","-1.33","9.80","0.35","-3.60","-0.51","4.74"," ","50","9.45"," ","36.73","257.50","-14.00"," "
" "," ","6","2355敬鵬","電子零組件","-0.07","0.89","1.09","1.59","1.45","3.95"," ","31","8.90"," ","46.63","51.40","0.90"," "
" "," ","7","2399映泰","電腦週邊","0.09","0.86","-0.99","0.80","6.44","1.55"," ","30","8.75"," ","32.89","30.55","-0.45"," "
" "," ","8","3583辛耘","半導體","0.08","1.02","0.59","0.61","2.54","3.08"," ","50","7.92"," ","58.00","479.00","-18.50"," "
" "," ","9","6213聯茂","電子零組件","2.04","5.90","-2.41","0.75","1.48","-0.12"," ","30","7.64"," ","62.69","151.00","-7.00"," "
" "," ","10","2605新興","航運","0.72","3.36","-0.73","-2.15","5.60","0.75"," ","30","7.55"," ","55.61","42.00","-1.00"," "
" "," ","11","8021尖點","其他電子","-2.48","8.18","-2.49","0.47","2.97","0.90"," ","30","7.55"," ","50.04","265.00","-3.00"," "
" "," ","12","6451訊芯-KY","半導體","-3.09","2.36","-1.17","0.46","6.06","2.62"," ","30","7.24"," ","77.72","328.50","-36.50"," "
" "," ","13","3060銘異","電腦週邊","1.10","1.45","1.98","-0.76","0.14","3.12"," ","50","7.03"," ","18.88","29.95","-0.80"," "
" "," ","14","4977眾達-KY","通信網路","-1.31","10.40","-5.12","0.74","2.48","-0.47"," ","30","6.72"," ","24.28","190.00","-10.00"," "
" "," ","15","1582信錦","電子零組件","0.26","0.82","1.30","3.11","-2.35","3.39"," ","31","6.53"," ","36.67","102.00","0.00"," "
" "," ","16","3209全科","電子通路","1.67","0.41","0.04","0.69","3.18","0.44"," ","30","6.43"," ","43.49","41.90","-2.55"," "
" "," ","17","2461光群雷","其他電子","0.16","0.01","-0.14","2.24","1.26","2.65"," ","31","6.18"," ","45.92","18.05","0.55"," "
" "," ","18","1711永光","化學","-0.95","1.50","1.25","1.55","3.84","-1.04"," ","30","6.15"," ","52.22","38.10","-0.90"," "
" "," ","19","4906正文","通信網路","-0.55","0.11","-0.17","0.49","3.48","2.64"," ","30","6.00"," ","36.72","35.00","-2.10"," "
" "," ","20","2436偉詮電","半導體","2.88","1.18","0.65","-0.09","2.14","-0.83"," ","30","5.93"," ","29.55","61.50","-2.20"," "
" "," ","21","3645達邁","電子零組件","-0.61","-0.63","-2.26","10.70","-1.55","0.17"," ","31","5.82"," ","48.76","74.90","-0.90"," "
" "," ","22","2464盟立","其他電子","1.89","-1.23","0.47","0.72","4.02","-0.17"," ","30","5.70"," ","36.25","71.00","-0.90"," "
" "," ","23","6531愛普*","半導體","0.04","-0.27","0.70","1.85","3.23","-0.08"," ","30","5.47"," ","65.84","485.00","-22.00"," "
" "," ","24","4807日成-KY","貿易百貨","0.00","0.00","-0.01","-0.01","-1.05","6.52"," ","31","5.45"," ","76.39","14.75","-0.25"," "
" "," ","25","6861睿生光電","生技醫療業","-0.58","1.58","1.68","2.82","-0.53","0.45"," ","31","5.42"," ","62.71","134.50","-3.50"," "
" "," ","26","2426鼎元","光電","0.08","0.41","-0.16","4.30","0.25","0.39"," ","31","5.27"," ","47.79","35.00","-1.00"," "
" "," ","27","1708東鹼","化學","0.30","0.50","0.59","0.34","4.59","-1.14"," ","30","5.18"," ","49.48","42.65","-0.45"," "
" "," ","28","2243宏旭-KY","汽車","0.00","0.66","0.87","1.43","1.09","1.03"," ","10","5.08"," ","50.40","22.90","2.05"," "
" "," ","29","3026禾伸堂","電子零組件","-0.27","2.84","0.21","-0.39","0.63","1.79"," ","50","4.81"," ","43.46","147.00","-4.00"," "
" "," ","30","3563牧德","光電","-0.29","0.61","3.70","-1.29","1.21","0.87"," ","30","4.81"," ","58.52","844.00","15.00"," "
" "," ","31","2337旺宏","半導體","6.67","-3.67","0.03","-3.33","6.74","-1.79"," ","30","4.65"," ","56.29","128.00","3.00"," "
" "," ","32","8261富鼎","半導體","-1.02","2.44","0.34","1.61","0.98","0.23"," ","10","4.58"," ","42.96","99.30","-3.20"," "
" "," ","33","1727中華化","化學","-0.38","4.53","1.50","4.65","-5.97","0.25"," ","31","4.58"," ","56.07","49.00","-1.70"," "
" "," ","34","3665貿聯-KY","其他電子","0.04","1.49","2.23","-1.02","0.34","1.18"," ","50","4.26"," ","63.63","1880.00","20.00"," "
" "," ","35","6197佳必琪","電子零組件","-0.15","0.68","0.37","1.36","2.94","-1.07"," ","30","4.13"," ","49.20","162.50","-9.00"," "
" "," ","36","6706惠特","光電","-5.38","4.60","3.04","-3.18","-3.24","8.29"," ","31","4.13"," ","33.21","122.50","-4.00"," "
" "," ","37","4949有成精密","光電","0.19","0.55","-0.44","2.93","1.54","-0.73"," ","10","4.04"," ","59.47","66.50","-3.90"," "
" "," ","38","4722國精化","化學","-0.44","6.36","-0.70","-1.32","0.70","-0.61"," ","30","3.99"," ","55.65","169.00","-3.50"," "
" "," ","39","2472立隆電","電子零組件","-0.55","3.30","-0.57","-1.15","3.11","-0.24"," ","30","3.90"," ","56.75","132.00","2.50"," "
" "," ","40","2495普安","電腦週邊","0.52","0.39","0.33","0.32","2.28","0.03"," ","30","3.87"," ","52.91","34.20","-0.65"," "
" "," ","41","9933中鼎","其他","-0.06","-0.20","-0.07","1.91","1.10","1.14"," ","31","3.82"," ","58.94","35.35","-0.80"," "
" "," ","42","2515中工","營建","1.85","1.39","0.94","0.07","-0.15","-0.33"," ","10","3.77"," ","61.42","13.60","0.00"," "
