Unnamed: 0_level_1,Unnamed: 1_level_1,#,股票代號/名稱,類別,20260618,0626,0703,0709,0717,0724,Unnamed: 11_level_1,走 勢,總增減,Unnamed: 14_level_1,上週持有%,今日 收盤價,今日 漲跌,Unnamed: 18_level_1
類股排行 台灣50排行 進階查詢,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[上市全部]水泥 食品 塑膠 紡織 電機 電器 玻璃 造紙 鋼鐵 橡膠 汽車 營建 航運 觀光 金融 貿易 其他 化學 生技 油電 半導 電腦 光電 通信 電零 通路 資服 他電 創新 居家 運動 綠能 雲端 戰略 存託憑證 [上櫃全部] 櫃水泥 櫃食品 櫃塑膠 櫃紡織 櫃電機 櫃電器 櫃玻璃 櫃造紙 櫃鋼鐵 櫃橡膠 櫃汽車 櫃營建 櫃航運 櫃觀光 櫃金融 櫃貿易 櫃其他 櫃化學 櫃生技 櫃油電 櫃半導 櫃電腦 櫃光電 櫃通信 櫃電零 櫃通路 櫃資服 櫃他電 櫃文創 櫃電商 櫃農技 生活 運動 綠能 雲端 戰略 櫃管理,,,,,,,,,,,,,,,,,,
[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],[上市全部],,,,,
,,,,,,,,,,,,,,,,,,
水泥,食品,塑膠,紡織,電機,電器,玻璃,造紙,鋼鐵,橡膠,汽車,營建,航運,觀光,,,,,
,,,,,,,,,,,,,,,,,,
金融,貿易,其他,化學,生技,油電,半導,電腦,光電,通信,電零,通路,資服,他電,,,,,
,,,,,,,,,,,,,,,,,,
創新,居家,運動,綠能,雲端,戰略,存託憑證,,,,,,,,,,,,
[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],[上櫃全部],,,,,
,,,,,,,,,,,,,,,,,,
櫃水泥,櫃食品,櫃塑膠,櫃紡織,櫃電機,櫃電器,櫃玻璃,櫃造紙,櫃鋼鐵,櫃橡膠,櫃汽車,櫃營建,櫃航運,櫃觀光,,,,,
,,,,,,,,,,,,,,,,,,
櫃金融,櫃貿易,櫃其他,櫃化學,櫃生技,櫃油電,櫃半導,櫃電腦,櫃光電,櫃通信,櫃電零,櫃通路,櫃資服,櫃他電,,,,,
,,,,,,,,,,,,,,,,,,
櫃文創,櫃電商,櫃農技,生活,運動,綠能,雲端,戰略,櫃管理,,,,,,,,,,
"<!--  google_ad_client = ""pub-0961028032610560"";  /* 728x90 */  google_ad_slot = ""6361958068"";  google_ad_width = 728;  google_ad_height = 15;  //-->",,,,,,,,,,,,,,,,,,
"<!--  google_ad_client = ""pub-0961028032610560"";  /* 728x90 */  google_ad_slot = ""6361958068"";  google_ad_width = 728;  google_ad_height = 15;  //-->",,,,,,,,,,,,,,,,,,
．收盤價日期:2026/07/2420260724 大股東(>400張)持有張數成長率,,,,,,,,,,,,,,,,,,
．收盤價日期:2026/07/24,20260724 大股東(>400張)持有張數成長率,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
