" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","2489瑞軒","光電","5.59","2.06","-0.08","5.10","4.10","4.85"," ","31","21.62"," ","55.32","41.35","3.75"," "
" "," ","2","3167大量","電機","-1.64","2.20","-0.41","15.66","1.43","-0.11"," ","10","17.13"," ","65.48","390.50","35.50"," "
" "," ","3","2486一詮","光電","4.04","10.86","1.10","-0.24","-4.36","-0.25"," ","31","11.15"," ","46.53","152.00","13.50"," "
" "," ","4","3450聯鈞","半導體","-0.74","-0.07","1.42","-1.33","9.80","0.35"," ","30","9.43"," ","36.10","281.00","6.50"," "
" "," ","5","6443元晶","光電","0.18","0.40","3.80","-3.60","1.31","7.02"," ","50","9.11"," ","26.09","50.60","-0.40"," "
" "," ","6","4927泰鼎-KY","電子零組件","-0.19","1.99","0.84","1.05","9.36","-4.57"," ","30","8.48"," ","36.31","44.60","0.65"," "
" "," ","7","1727中華化","化學","0.02","0.97","0.50","-0.38","4.53","1.50"," ","30","7.14"," ","57.14","60.80","5.50"," "
" "," ","8","3543州巧","光電","5.80","-2.75","-0.91","-0.52","5.09","0.35"," ","30","7.06"," ","59.30","51.50","3.40"," "
" "," ","9","3028增你強","電子通路","0.49","1.61","3.41","-0.79","2.37","-0.09"," ","30","7.00"," ","45.34","50.60","0.90"," "
" "," ","10","2605新興","航運","1.75","2.87","-1.23","0.72","3.36","-0.73"," ","30","6.74"," ","51.41","34.75","-0.75"," "
" "," ","11","6213聯茂","電子零組件","2.29","-3.32","2.12","2.04","5.90","-2.41"," ","30","6.62"," ","60.58","137.50","5.00"," "
" "," ","12","2436偉詮電","半導體","0.98","0.90","-0.55","2.88","1.18","0.65"," ","10","6.04"," ","28.33","60.80","2.00"," "
" "," ","13","8046南電","電子零組件","5.02","0.71","0.21","-0.64","0.93","-0.32"," ","30","5.91"," ","86.30","515.00","46.50"," "
" "," ","14","2481強茂","半導體","7.17","0.34","-0.77","-1.83","0.71","-0.24"," ","30","5.38"," ","58.60","96.90","2.10"," "
" "," ","15","8039台虹","電子零組件","-1.38","4.01","0.27","-0.46","0.66","2.27"," ","50","5.37"," ","59.82","128.00","0.00"," "
" "," ","16","6202盛群","半導體","0.41","0.87","0.24","1.94","1.45","0.33"," ","10","5.24"," ","37.20","53.90","-0.50"," "
" "," ","17","2337旺宏","半導體","0.61","3.88","-2.34","6.67","-3.67","0.03"," ","31","5.18"," ","54.67","108.50","9.50"," "
" "," ","18","3017奇鋐","電腦週邊","-0.32","2.12","2.00","-0.30","0.16","1.50"," ","50","5.16"," ","69.21","1865.00","-10.00"," "
" "," ","19","4722國精化","化學","0.26","-0.56","0.00","-0.44","6.36","-0.70"," ","30","4.92"," ","56.88","185.50","8.50"," "
" "," ","20","8271宇瞻","半導體","0.11","1.41","-0.84","4.08","-0.17","0.27"," ","31","4.86"," ","43.74","173.50","15.50"," "
" "," ","21","6672騰輝電子-KY","電子零組件","-0.30","-1.32","6.52","-3.84","3.65","0.09"," ","30","4.80"," ","30.65","97.50","1.90"," "
" "," ","22","1513中興電","電機","5.57","0.97","-0.77","-0.26","0.12","-0.86"," ","30","4.77"," ","48.33","158.00","0.50"," "
" "," ","23","1476儒鴻","紡織","0.69","-0.03","0.17","0.46","-0.08","3.29"," ","31","4.50"," ","86.61","372.00","-6.00"," "
" "," ","24","2515中工","營建","0.14","-0.11","0.09","1.85","1.39","0.94"," ","10","4.30"," ","61.83","16.00","-0.10"," "
" "," ","25","3563牧德","光電","-0.76","-0.94","1.95","-0.29","0.61","3.70"," ","50","4.27"," ","57.73","698.00","56.00"," "
" "," ","26","2351順德","半導體","1.63","3.76","0.40","-0.37","-0.51","-0.78"," ","10","4.13"," ","62.98","88.90","1.30"," "
" "," ","27","3592瑞鼎","半導體","1.13","2.55","-0.11","-0.35","0.04","0.84"," ","50","4.10"," ","40.43","219.00","-1.00"," "
" "," ","28","8081致新","半導體","0.95","1.19","0.56","-0.18","0.28","1.25"," ","50","4.05"," ","41.58","241.50","2.50"," "
" "," ","29","1466聚隆","紡織","0.06","0.21","0.27","1.46","0.04","1.99"," ","31","4.03"," ","73.15","18.00","1.25"," "
" "," ","30","2375凱美","電子零組件","2.70","-0.28","-0.56","0.58","0.92","0.62"," ","30","3.98"," ","29.44","80.50","0.70"," "
" "," ","31","3025星通","通信網路","0.95","4.31","-0.66","-0.32","-1.25","0.86"," ","31","3.89"," ","29.66","61.80","0.20"," "
" "," ","32","6271同欣電","半導體","1.16","1.45","0.91","-0.44","4.04","-3.28"," ","30","3.84"," ","53.08","150.00","0.50"," "
" "," ","33","2355敬鵬","電子零組件","0.61","0.83","0.48","-0.07","0.89","1.09"," ","50","3.83"," ","39.64","42.30","-0.65"," "
" "," ","34","4977眾達-KY","通信網路","0.29","-1.02","0.53","-1.31","10.40","-5.12"," ","30","3.77"," ","21.53","187.00","17.00"," "
" "," ","35","2458義隆","半導體","0.13","-0.34","0.46","0.39","-0.07","3.15"," ","31","3.72"," ","60.43","143.00","0.00"," "
" "," ","36","6426統新","通信網路","-0.17","0.48","1.82","4.21","-1.31","-1.34"," ","10","3.69"," ","43.02","142.00","12.50"," "
" "," ","37","3026禾伸堂","電子零組件","1.25","-0.88","0.53","-0.27","2.84","0.21"," ","30","3.68"," ","41.43","108.00","2.50"," "
" "," ","38","8021尖點","其他電子","4.20","-3.85","-0.01","-2.48","8.18","-2.49"," ","30","3.55"," ","45.70","243.50","7.00"," "
" "," ","39","2428興勤","電子零組件","1.69","-0.05","-0.19","0.10","1.95","-0.04"," ","30","3.46"," ","63.79","160.00","2.00"," "
" "," ","40","3029零壹","資訊服務","0.50","0.92","0.22","0.04","0.39","1.39"," ","50","3.46"," ","45.54","115.00","-0.50"," "
" "," ","41","6141柏承","電子零組件","-0.02","0.00","0.01","-0.02","0.02","3.44"," ","50","3.43"," ","48.67","20.00","1.80"," "
" "," ","42","3593力銘","電子零組件","0.00","3.42","0.00","0.00","0.00","0.00"," ","32","3.42"," ","61.84","13.00","-0.10"," "
" "," ","43","6285啟卅卅","通信網路","5.86","5.02","-1.90","-3.16","0.04","-2.53"," ","30","3.33"," ","64.65","167.50","0.00"," "
" "," ","44","1708東鹼","化學","0.24","0.84","0.76","0.30","0.50","0.59"," ","50","3.23"," ","45.69","39.30","0.85"," "
" "," ","45","3060銘異","電腦週邊","-1.03","3.19","-3.51","1.10","1.45","1.98"," ","50","3.18"," ","16.38","27.65","-0.15"," "
" "," ","46","6789采鈺","半導體","0.31","0.68","0.25","0.79","0.22","0.92"," ","31","3.17"," ","78.00","345.50","-7.50"," "
" "," ","47","8261富鼎","半導體","1.26","-0.39","0.45","-1.02","2.44","0.34"," ","30","3.08"," ","40.14","111.00","10.00"," "
" "," ","48","2492華新科","電子零組件","3.16","-2.40","-1.05","-0.18","4.09","-0.64"," ","30","2.98"," ","59.36","129.50","4.50"," "
" "," ","49","2478大毅","電子零組件","2.16","-0.34","-0.22","0.38","-0.37","1.36"," ","31","2.97"," ","57.63","67.80","0.70"," "
" "," ","50","8464億豐","居家","-0.33","-0.28","0.18","0.51","0.09","2.78"," ","31","2.95"," ","87.87","386.00","-1.00"," "
" "," ","51","6451訊芯-KY","半導體","-0.41","-0.11","5.33","-3.09","2.36","-1.17"," ","30","2.91"," ","68.58","215.50","19.50"," "
" "," ","52","3209全科","電子通路","0.20","0.02","0.57","1.67","0.41","0.04"," ","10","2.91"," ","39.18","39.85","2.30"," "
" "," ","53","3042晶技","電子零組件","0.84","0.21","-0.34","0.40","1.31","0.47"," ","30","2.89"," ","58.81","93.50","1.40"," "
" "," ","54","1514亞力","電機","3.84","1.62","-0.36","-0.16","-1.76","-0.36"," ","31","2.82"," ","46.05","115.50","2.00"," "
" "," ","55","2049上銀","電機","0.87","0.76","-0.67","0.07","-0.48","2.24"," ","31","2.79"," ","64.68","238.50","-5.50"," "
" "," ","56","2606裕民","航運","0.98","0.61","-0.61","0.36","0.67","0.58"," ","30","2.59"," ","73.95","58.60","-1.50"," "
" "," ","57","6861睿生光電","生技醫療業","0.02","0.02","-0.15","-0.58","1.58","1.68"," ","50","2.57"," ","59.97","172.50","-5.00"," "
" "," ","58","912000晨訊科-DR","存託憑證","0.84","1.00","0.00","0.54","0.08","0.09"," ","31","2.55"," ","29.93","2.61","-0.02"," "
" "," ","59","3062建漢","通信網路","1.27","0.45","0.00","-0.22","0.94","0.03"," ","30","2.47"," ","28.85","23.35","-0.05"," "
" "," ","60","2488漢平","其他電子","1.17","1.12","-0.25","-0.18","0.15","0.44"," ","50","2.45"," ","49.54","47.60","-0.10"," "
" "," ","61","6550北極星藥業-KY","生技醫療業","2.74","-0.01","-0.01","-0.26","0.22","-0.30"," ","30","2.38"," ","75.10","24.10","-2.65"," "
" "," ","62","2467志聖","電子零組件","-1.23","0.59","-0.09","0.29","0.21","2.59"," ","31","2.36"," ","71.47","363.50","-1.50"," "
" "," ","63","1560中砂","電機","-0.85","-0.50","0.68","1.13","2.38","-0.49"," ","30","2.35"," ","67.92","460.00","4.00"," "
