" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1101台泥","水泥","7.87","7.94","7.94","40","0.07"," ","610,083","613,954","613,954","40","3,871","24.50","-0.25"," "
" "," ","","1102亞泥","水泥","26.19","26.19","26.19","32","0.00"," ","929,013","929,013","929,011","20","-2","35.65","0.35"," "
" "," ","","1103嘉泥","水泥","17.4","17.4","17.4","32","0.00"," ","137,537","137,537","137,537","32","0","13.80","-0.05"," "
" "," ","","1104環泥","水泥","25.15","25.19","25.19","40","0.04"," ","172,745","172,990","172,995","50","250","29.05","-0.15"," "
" "," ","","1108幸福","水泥","3.95","3.95","3.95","32","0.00"," ","16,005","16,005","16,005","32","0","14.70","-0.05"," "
" "," ","","1109信大","水泥","36.91","35.01","35.02","31","-1.89"," ","125,955","119,455","119,485","31","-6,470","15.40","-0.05"," "
" "," ","","1110東泥","水泥","31.4","31.4","31.4","32","0.00"," ","179,633","179,633","179,633","32","0","15.10","-0.50"," "
" "," ","","1201味全","食品","14.55","14.55","14.55","32","0.00"," ","73,648","73,648","73,648","32","0","13.15","-0.05"," "
" "," ","","1203味王","食品","33.25","33.27","33.29","50","0.04"," ","79,821","79,855","79,915","50","94","44.10","0.30"," "
" "," ","","1210大成","食品","17.74","17.74","17.74","32","0.00"," ","158,744","158,744","158,764","41","20","54.10","0.00"," "
" "," ","","1213大飲","食品","28.14","28.14","28.14","32","0.00"," ","15,935","15,935","15,935","32","0","9.17","0.10"," "
" "," ","","1215卜蜂","食品","28.38","28.38","28.38","32","0.00"," ","83,677","83,677","83,677","32","0","141.00","-1.50"," "
" "," ","","1216統一","食品","9.84","9.88","9.88","40","0.04"," ","559,595","561,746","561,746","40","2,151","72.40","0.40"," "
" "," ","","1217愛之味","食品","12.64","12.69","12.74","50","0.10"," ","62,552","62,764","63,010","50","458","10.35","0.00"," "
" "," ","","1218泰山","食品","11.65","11.65","11.65","32","0.00"," ","58,279","58,279","58,279","32","0","19.00","0.00"," "
" "," ","","1219福壽","食品","9.97","9.91","9.91","21","-0.06"," ","34,031","33,848","33,848","21","-183","14.00","-0.05"," "
" "," ","","1220台榮","食品","23.26","23.33","23.33","40","0.07"," ","41,189","41,318","41,318","40","129","12.60","0.00"," "
" "," ","","1225福懋油","食品","14.94","14.95","14.97","50","0.03"," ","36,206","36,241","36,271","50","65","33.20","-0.15"," "
" "," ","","1227佳格","食品","3.2","3.2","3.2","32","0.00"," ","29,320","29,320","29,320","32","0","29.85","-0.25"," "
" "," ","","1229聯華","食品","24.16","24.16","24.16","32","0.00"," ","433,995","433,995","433,995","32","0","43.50","-0.15"," "
" "," ","","1231聯華食","食品","21.24","21.21","21.21","21","-0.03"," ","63,400","63,328","63,328","21","-72","88.90","0.20"," "
" "," ","","1232大統益","食品","61.19","61.13","61.02","10","-0.17"," ","97,900","97,794","97,624","10","-276","150.00","-0.50"," "
" "," ","","1233天仁","食品","11.85","11.85","11.85","32","0.00"," ","10,740","10,740","10,740","32","0","28.70","0.00"," "
" "," ","","1234黑松","食品","13.15","13.15","13.15","32","0.00"," ","52,861","52,866","52,866","40","5","35.85","-0.15"," "
" "," ","","1235興泰","食品","3.26","3.26","31.46","41","28.20"," ","6,158","6,158","59,330","41","53,172","45.90","-0.65"," "
" "," ","","1236宏亞","食品","16.74","16.74","16.74","32","0.00"," ","14,512","14,512","14,512","32","0","25.45","0.00"," "
" "," ","","1256鮮活果汁-KY","食品","48.39","48.34","48.34","21","-0.05"," ","17,313","17,296","17,296","21","-17","163.50","-2.00"," "
" "," ","","1301台塑","塑膠","14.46","14.46","14.46","32","0.00"," ","920,748","920,748","920,748","32","0","51.90","0.10"," "
" "," ","","1303南亞","塑膠","18.19","18.19","18.19","32","0.00"," ","1,443,197","1,443,156","1,443,156","21","-41","89.40","1.00"," "
" "," ","","1304台聚","塑膠","24.41","24.41","24.41","32","0.00"," ","290,242","290,242","290,242","32","0","14.35","-0.20"," "
" "," ","","1305華夏","塑膠","33.13","33.13","33.13","32","0.00"," ","192,516","192,516","192,516","32","0","14.45","0.00"," "
" "," ","","1307三芳","塑膠","9.47","9.47","9.47","32","0.00"," ","37,693","37,693","37,693","32","0","32.15","0.65"," "
" "," ","","1308亞聚","塑膠","38.78","38.78","38.78","32","0.00"," ","230,271","230,271","230,271","32","0","15.30","-0.05"," "
" "," ","","1309台達化","塑膠","39.37","39.37","39.37","32","0.00"," ","156,534","156,534","156,534","32","0","18.60","-0.50"," "
" "," ","","1310台苯","塑膠","4.89","4.89","4.89","32","0.00"," ","25,846","25,846","25,846","32","0","9.80","-0.11"," "
" "," ","","1312國喬","塑膠","6.29","6.29","6.29","32","0.00"," ","70,962","70,962","70,962","32","0","12.85","-0.15"," "
" "," ","","1313聯成","塑膠","34.11","34.11","34.11","32","0.00"," ","454,065","454,065","454,065","32","0","11.70","-0.20"," "
" "," ","","1314中石化","塑膠","6.9","6.9","6.9","32","0.00"," ","261,365","261,365","261,365","32","0","7.68","-0.08"," "
" "," ","","1315達新","塑膠","19.82","19.82","19.82","32","0.00"," ","19,651","19,651","19,651","32","0","65.40","-0.10"," "
" "," ","","1316上曜","營建","5.44","5.34","5.34","21","-0.10"," ","20,083","20,083","20,083","32","0","11.70","-0.20"," "
" "," ","","1319東陽","汽車","18.38","18.38","18.38","32","0.00"," ","108,725","108,725","108,725","32","0","78.10","-0.90"," "
" "," ","","1321大洋","塑膠","5.88","5.88","5.88","32","0.00"," ","13,376","13,376","13,376","32","0","32.25","-0.45"," "
" "," ","","1323永裕","塑膠","13.64","13.64","13.67","41","0.03"," ","12,457","12,457","12,482","41","25","20.25","-0.40"," "
" "," ","","1324地球","塑膠","8.05","8.05","8.05","32","0.00"," ","6,051","6,051","6,051","32","0","11.50","0.25"," "
" "," ","","1325恆大","塑膠","28.93","28.93","28.93","32","0.00"," ","24,680","24,680","24,680","32","0","26.85","0.15"," "
" "," ","","1326台化","塑膠","5.71","5.71","5.69","20","-0.02"," ","335,055","335,055","334,065","20","-990","50.60","0.10"," "
" "," ","","1337再生-KY","塑膠","14.45","14.45","14.45","32","0.00"," ","38,888","38,888","38,888","32","0","5.34","-0.02"," "
" "," ","","1338廣華-KY","汽車","18.3","18.3","18.3","32","0.00"," ","15,344","15,344","15,344","32","0","17.10","0.40"," "
" "," ","","1339昭輝","汽車","45.82","46.12","46.61","50","0.79"," ","33,966","34,193","34,556","50","590","41.30","0.00"," "
" "," ","","1340勝悅-KY","塑膠","0","0","0","32","0.00"," ","0","0","0","32","0","6.29","-0.01"," "
" "," ","","1341富林-KY","塑膠","0.81","0.81","0.81","32","0.00"," ","432","432","432","32","0","61.30","0.80"," "
" "," ","","1342八貫","其他","17","17.27","17.27","40","0.27"," ","13,475","13,475","13,475","32","0","99.20","0.50"," "
" "," ","","1402遠東新","紡織","26.21","26.21","26.21","32","0.00"," ","1,403,457","1,403,457","1,403,457","32","0","25.95","-0.05"," "
" "," ","","1409新纖","紡織","5.54","5.54","5.54","32","0.00"," ","89,720","89,720","89,720","32","0","17.55","0.70"," "
" "," ","","1410南染","紡織","20.38","20.38","20.38","32","0.00"," ","12,637","12,637","12,637","32","0","32.10","0.50"," "
" "," ","","1413宏洲","紡織","33.55","33.55","33.55","32","0.00"," ","44,332","44,332","44,332","32","0","9.75","-0.04"," "
" "," ","","1414東和","紡織","18.27","18.27","18.27","32","0.00"," ","40,214","36,192","36,192","21","-4,021","16.20","-0.05"," "
" "," ","","1416廣豐","其他","6.03","6.03","6.03","32","0.00"," ","11,188","11,188","11,188","32","0","11.50","-0.10"," "
" "," ","","1417嘉裕","紡織","12.65","12.65","12.65","32","0.00"," ","24,032","24,032","24,032","32","0","9.02","0.00"," "
" "," ","","1418東華","紡織","45.1","45.21","45.21","40","0.11"," ","25,635","25,696","25,696","40","60","18.15","-0.25"," "
" "," ","","1419新紡","紡織","8.42","8.42","8.42","32","0.00"," ","25,265","25,265","25,265","32","0","64.80","-0.20"," "
