排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00631L,元大台灣50正2,35.73,1.33,3.87,05/27,-5567,-11696,-14594,-32094,-41912,-10964.0,311660.0,308113.0,302947.0,311169.0
2,2881,富邦金,110.0,6.5,6.28,05/27,-15438,-17220,-27607,-31015,-62847,-95407.0,27282.0,-37196.0,142361.0,6748.0
3,2882,國泰金,85.4,2.3,2.77,05/27,-8272,-11122,-25417,-30183,-57232,-83085.0,53315.0,-161707.0,98796.0,-3793.0
4,2312,金寶,37.35,-2.65,-6.62,05/27,-6475,-8878,-23454,-28510,-34985,-38354.0,-8552.0,-67755.0,31952.0,-75065.0
5,00403A,主動統一升級50,10.78,0.14,1.32,05/27,-25118,-21209,-19130,-27948,-1025,,,,,
6,00878,國泰永續高股息,30.55,0.93,3.14,05/27,-375,-122,-23863,-27084,-6396,-6381.0,12028.0,-35533.0,-64229.0,2719.0
7,2891,中信金,59.2,1.6,2.78,05/27,-4463,-9970,-11135,-20112,-43907,-51226.0,211114.0,93920.0,150753.0,158906.0
8,9105,泰金寶-DR,8.56,0.4,4.9,05/27,-5401,-10581,-18837,-19127,-16267,-18185.0,-6785.0,-18415.0,6517.0,-19599.0
9,1717,長興,84.5,1.5,1.81,05/27,-4353,-13921,-15642,-15546,-4808,5363.0,24489.0,20574.0,53749.0,31564.0
10,0056,元大高股息,49.64,1.32,2.73,05/27,-3064,-5190,-6205,-14472,-9643,-42422.0,29398.0,-28583.0,52444.0,-30460.0
11,2317,鴻海,264.0,5.0,1.93,05/27,-5720,-6357,-11347,-14461,-27645,-71753.0,-5041.0,9870.0,-29397.0,22458.0
12,1802,台玻,72.8,0.6,0.83,05/27,-21007,-17047,-16743,-14248,7924,26330.0,43954.0,-56.0,34605.0,-7905.0
13,00891,中信關鍵半導體,36.26,1.15,3.28,05/27,-278,-278,-7691,-13173,-7106,12326.0,13851.0,9296.0,7248.0,16578.0
14,00991A,主動復華未來50,19.74,0.41,2.12,05/27,7072,7072,3938,-11425,1158,10365.0,95145.0,,,98804.0
15,1303,南亞,95.5,4.7,5.18,05/27,-3028,-4866,-8161,-9409,-1803,-1448.0,-6826.0,-109027.0,-156636.0,-118568.0
