排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,6116,彩晶,15.55,1.05,7.24,326423,05/28,1989,1347,6946,7661,7412,8661.0,7867.0,8654.0,8684.0,8508.0
2,9105,泰金寶-DR,8.51,-0.05,-0.58,233676,05/28,193,1417,1623,2674,3482,3398.0,3279.0,3448.0,2977.0,3356.0
3,6770,力積電,80.7,5.9,7.89,742970,05/28,1066,923,1036,2114,2164,2267.0,-62.0,-10296.0,3836.0,-12216.0
4,6182,合晶,90.7,0.5,0.55,17288,05/28,-2265,1266,1927,2014,1995,2864.0,2042.0,1977.0,2886.0,1916.0
5,8110,華東,62.0,1.4,2.31,114740,05/28,327,582,1555,1999,1922,1920.0,-2733.0,-2314.0,2115.0,-4985.0
6,2344,華邦電,144.0,-11.0,-7.1,362558,05/28,-1022,-1106,617,1666,-596,1261.0,-10009.0,-15601.0,1438.0,-25699.0
7,1802,台玻,70.4,-2.4,-3.3,152764,05/28,-481,-265,-291,1085,511,101.0,-8196.0,-5225.0,2495.0,-5043.0
8,2436,偉詮電,76.8,-1.3,-1.66,10775,05/28,169,326,358,971,1180,1536.0,3287.0,3350.0,2802.0,3356.0
9,00631L,元大台灣50正2,34.47,-1.26,-3.53,341625,05/28,-645,456,175,957,2060,3783.0,15119.0,13958.0,13142.0,15637.0
10,2303,聯電,142.0,-1.5,-1.05,418286,05/28,-708,336,389,707,1103,3590.0,2059.0,4800.0,1112.0,4510.0
11,2002,中鋼,18.85,-0.25,-1.31,85147,05/28,3,-59,104,608,593,601.0,384.0,475.0,512.0,409.0
12,00981A,主動統一台股增長,30.72,-1.24,-3.88,493712,05/28,416,627,634,598,-118,136.0,2552.0,698.0,3970.0,1592.0
13,6821,聯寶,72.0,0.1,0.14,4280,05/28,17,186,537,597,666,519.0,737.0,737.0,735.0,737.0
14,3532,台勝科,290.0,-0.5,-0.17,10929,05/28,578,544,559,584,548,619.0,573.0,599.0,642.0,647.0
15,5464,霖宏,75.5,4.4,6.19,4527,05/28,291,306,377,451,903,1511.0,1511.0,1511.0,1509.0,1509.0
16,6282,康舒,57.7,-1.7,-2.86,52796,05/28,25,-111,-427,401,570,697.0,151.0,83.0,695.0,257.0
17,2356,英業達,63.9,1.9,3.06,136331,05/28,88,-175,-281,399,425,500.0,223.0,-922.0,-1771.0,215.0
18,8150,南茂,103.0,9.1,9.69,112422,05/28,206,335,304,385,-144,368.0,-1058.0,-37.0,509.0,241.0
19,6405,悅城,76.9,-4.1,-5.06,8800,05/28,314,344,364,373,346,426.0,431.0,464.0,404.0,421.0
20,2369,菱生,39.75,-0.4,-1.0,54879,05/28,-25,117,309,369,370,306.0,193.0,139.0,393.0,153.0
21,2486,一詮,261.0,-15.0,-5.43,9778,05/28,114,300,301,344,87,-55.0,-541.0,-870.0,-608.0,-625.0
22,2375,凱美,161.5,14.5,9.86,30081,05/28,450,583,521,326,738,900.0,845.0,556.0,983.0,724.0
23,4923,力士,48.85,-0.8,-1.61,5910,05/28,10,4,61,324,211,427.0,479.0,479.0,479.0,479.0
24,2484,希華,55.2,2.6,4.94,43220,05/28,119,25,-274,316,542,534.0,521.0,547.0,537.0,547.0
25,2312,金寶,37.7,0.35,0.94,161630,05/28,17,-758,-291,282,643,-626.0,601.0,450.0,520.0,579.0
26,5425,台半,114.5,10.0,9.57,67465,05/28,153,174,367,280,595,841.0,829.0,692.0,847.0,795.0
27,3105,穩懋,528.0,-32.0,-5.71,48754,05/28,38,125,161,277,413,-80.0,-702.0,466.0,778.0,35.0
28,2481,強茂,148.0,0.5,0.34,86465,05/28,137,-420,277,264,791,844.0,646.0,406.0,1044.0,747.0
29,2337,旺宏,160.0,4.5,2.89,220204,05/28,188,-77,76,260,-1482,-2221.0,-9477.0,-5099.0,-1925.0,-5093.0
30,2492,華新科,390.0,29.0,8.03,5997,05/28,-89,-491,103,246,-61,968.0,714.0,634.0,1080.0,769.0
31,6239,力成,357.5,17.0,4.99,83840,05/28,246,216,208,243,319,359.0,106.0,375.0,254.0,355.0
32,1409,新纖,20.75,1.85,9.79,84258,05/28,208,232,232,234,205,232.0,132.0,129.0,200.0,136.0
33,3016,嘉晶,134.5,8.5,6.75,17127,05/28,140,134,119,227,-225,235.0,272.0,-203.0,400.0,55.0
34,6706,惠特,202.5,-14.0,-6.47,15494,05/28,-97,-78,136,213,297,392.0,-5.0,143.0,521.0,-528.0
35,6197,佳必琪,282.5,1.0,0.36,8131,05/28,8,78,90,207,227,268.0,257.0,268.0,182.0,264.0
36,4977,眾達-KY,210.5,-10.5,-4.75,4731,05/28,29,-43,13,190,187,176.0,-668.0,49.0,169.0,-36.0
37,00990A,主動元大AI新經濟,19.23,-0.65,-3.27,64622,05/28,23,26,104,189,274,235.0,375.0,,,-11395.0
38,0050,元大台灣50,100.5,-2.05,-2.0,152916,05/28,-70,143,138,177,66,-60.0,702.0,-276.0,1098.0,-289.0
39,0056,元大高股息,48.83,-0.81,-1.63,62679,05/28,-18,8,9,169,60,195.0,-20.0,-39.0,34.0,-92.0
40,2061,風青,33.0,-0.6,-1.79,1241,05/28,-44,56,133,160,148,131.0,164.0,164.0,163.0,163.0
41,4906,正文,47.3,2.55,5.7,53893,05/28,22,211,150,157,108,53.0,510.0,519.0,475.0,501.0
42,2464,盟立,168.0,-9.0,-5.08,17695,05/28,-152,-117,239,153,495,-95.0,1272.0,1376.0,1341.0,1404.0
43,5351,鈺創,82.6,0.0,0.0,30236,05/28,26,56,57,152,-245,-12.0,-64.0,-167.0,85.0,-447.0
44,2027,大成鋼,41.75,-0.7,-1.65,18913,05/28,4,48,13,146,300,357.0,342.0,-1842.0,257.0,345.0
45,2317,鴻海,263.0,-1.0,-0.38,73792,05/28,47,138,119,142,160,560.0,-651.0,-1471.0,-1331.0,-1169.0
46,6147,頎邦,278.0,13.0,4.91,97571,05/28,88,-85,25,142,449,497.0,1145.0,1144.0,1134.0,1134.0
47,4927,泰鼎-KY,57.3,-1.3,-2.22,16224,05/28,40,27,-89,141,47,-476.0,142.0,445.0,388.0,-519.0
48,3135,凌航,250.0,8.0,3.31,3644,05/28,9,64,133,140,209,,,,,
49,6155,鈞寶,64.5,5.8,9.88,12196,05/28,41,59,74,136,258,244.0,224.0,43.0,288.0,122.0
50,009816,凱基台灣TOP50,14.8,-0.35,-2.31,294377,05/28,12,33,69,134,282,210.0,112.0,,,
51,3357,臺慶科,283.0,-2.5,-0.88,9933,05/28,26,48,0,133,353,674.0,128.0,475.0,774.0,428.0
52,6456,GIS-KY,71.6,-7.4,-9.37,36774,05/28,-64,64,108,132,189,143.0,218.0,182.0,218.0,234.0
53,6432,今展科,70.0,4.8,7.36,10252,05/28,15,42,11,119,462,1154.0,1173.0,758.0,1285.0,1043.0
54,00680L,元大美債20正2,6.74,-0.07,-1.03,20189,05/28,69,113,123,118,203,187.0,94.0,75.0,-2076.0,182.0
55,2377,微星,123.5,-3.0,-2.37,27849,05/28,-1,-11,-23,116,-46,276.0,220.0,209.0,283.0,178.0
56,3583,辛耘,877.0,1.0,0.11,4760,05/28,73,59,64,114,78,319.0,806.0,829.0,737.0,827.0
57,2426,鼎元,80.9,3.1,3.98,37925,05/28,41,58,49,109,-335,-125.0,69.0,74.0,109.0,80.0
58,00403A,主動統一升級50,10.47,-0.31,-2.88,808934,05/28,-93,-300,-308,107,-1843,,,,,
59,2881,富邦金,110.0,0.0,0.0,83541,05/28,-53,19,-48,107,104,189.0,52.0,-1632.0,-728.0,-294.0
60,3707,漢磊,87.1,-2.2,-2.46,56002,05/28,-84,59,57,107,21,397.0,441.0,-3965.0,374.0,-2113.0
61,4979,華星光,604.0,-24.0,-3.82,9770,05/28,-13,86,92,105,81,15.0,-871.0,-738.0,-610.0,-1961.0
62,4973,廣穎,152.5,13.5,9.71,8788,05/28,54,72,84,104,40,120.0,11.0,63.0,151.0,85.0
63,2495,普安,47.35,-3.25,-6.42,25814,05/28,-12,32,28,103,108,97.0,8.0,-511.0,122.0,-379.0
64,3260,威剛,404.5,-8.0,-1.94,14017,05/28,-47,63,75,103,-38,-903.0,-287.0,-616.0,114.0,-2530.0
65,8039,台虹,153.5,-6.5,-4.06,21145,05/28,-5,38,51,102,-6,164.0,-230.0,-236.0,248.0,-756.0
66,4931,新盛力,209.0,2.0,0.97,11307,05/28,-53,-54,-89,101,17,98.0,-136.0,-936.0,-2944.0,-1341.0
67,3706,神達,83.1,-1.1,-1.31,13165,05/28,-11,-1,37,100,69,100.0,-155.0,-975.0,-333.0,-298.0
68,3026,禾伸堂,605.0,-3.0,-0.49,2507,05/28,-13,-107,44,99,-28,207.0,256.0,256.0,288.0,278.0
69,3577,泓格,161.0,14.5,9.9,2526,05/28,24,18,14,97,100,113.0,111.0,111.0,112.0,111.0
70,2472,立隆電,371.0,33.5,9.93,9320,05/28,84,123,114,95,216,296.0,228.0,139.0,294.0,221.0
