"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"1","00715L","期街口布蘭特正2","53.6","+2.4","+4.69","26W22","05/29","28.9","-20","24.3","-21.4","22.5","-21"
"2","8093","保銳","18.7","+0.4","+2.19","26W22","05/29","47","0","47","0","44.3","0"
"3","4513","福裕","15.5","-0.9","-5.49","26W22","05/29","42.2","+0.02","42.2","+0.02","41.4","+0.02"
"4","4967","十銓","277.5","+8.5","+3.16","26W22","05/29","17.6","-0.14","16","-0.94","13.3","-2.67"
"5","00962","台新AI優息動能","14.43","-0.03","-0.21","26W22","05/29","26","+0.49","26","+1.85","21.9","+1.85"
"6","4939","亞電","60.2","+0.1","+0.17","26W22","05/29","23.7","+4.28","20.9","+2.83","18.4","+2.98"
"7","1514","亞力","118","-1","-0.84","26W22","05/29","42.4","+0.93","38.2","+1.44","36.5","+0.75"
"8","3234","光環","109","-4","-3.54","26W22","05/29","26.1","+0.84","21.3","+0.86","18.9","-0.73"
"9","00916","國泰全球品牌50","27.28","-0.27","-0.98","26W22","05/29","19.2","+0.98","19.2","+0.98","14.9","+0.98"
"10","00920","富邦ESG綠色電力","25.05","-0.38","-1.49","26W22","05/29","11.9","+4.86","8.81","+8.81","0","0"
"11","6805","富世達","1750","-5","-0.28","26W22","05/29","51.4","-1.15","47.2","+1.05","43","-3.1"
"12","00907","永豐優息存股","16.15","-0.01","-0.06","26W22","05/29","10.7","+1.34","10.7","+1.34","9.73","+1.33"
"13","00988A","主動統一全球創新","19.85","+0.03","+0.15","26W22","05/29","15.5","-9.5","13.4","-9.93","11.9","-10.4"
"14","00989B","台新美國非投等債","10.06","+0.03","+0.3","26W22","05/29","39.2","-1.72","38.1","-1.85","33.1","-0.86"
"15","6282","康舒","57.2","-1.3","-2.22","26W22","05/29","49.4","+3.24","48.1","+3.2","47.7","+3.32"
"16","3324","雙鴻","998","-12","-1.19","26W22","05/29","41.6","-0.69","34.8","-1.53","27.8","-1.59"
"17","6225","天瀚","23.1","-0.45","-1.91","26W22","05/29","56.5","0","54.1","0","50.7","0"
"18","6126","信音","41.55","+2.95","+7.64","26W22","05/29","36.1","+1.45","32.3","+1.75","30.3","+1.73"
"19","00983B","大華優利美公債20","15.59","+0.03","+0.19","26W22","05/29","48.5","+2.94","46.4","+0.78","46.4","+0.78"
"20","009810","玉山全球藍籌100","20.11","-0.14","-0.69","26W22","05/29","19.5","-1.24","19.5","+5.84","14.8","+1.06"
"21","2406","國碩","39.4","+3.55","+9.9","26W22","05/29","34.5","+0.75","33.3","+0.98","31","+1"
"22","6806","森崴能源","4.48","-0.49","-9.86","26W22","05/29","55.4","+0.01","55.2","+0.01","54.5","0"
"23","4739","康普","123.5","-1.5","-1.2","26W22","05/29","39.2","+2.07","34.4","+2.85","32.2","+0.73"
"24","8112","至上","95.5","+2.9","+3.13","26W22","05/29","36.8","-1.22","35.9","-1.38","34.1","-1.36"
"25","00991A","主動復華未來50","18.59","-0.04","-0.21","26W22","05/29","16.1","-2.38","15","-2.38","13.7","-2.28"
"26","00647L","元大S&P500正2","127.8","-1.6","-1.24","26W22","05/29","23.7","+0.3","23.7","+0.3","23.7","+0.3"
"27","00642U","期元大S&P石油","29.08","+0.77","+2.72","26W22","05/29","33.7","-8.92","31.1","-8.98","31.1","-8.17"
"28","6485","點序","85","-3.4","-3.85","26W22","05/29","28.6","+0.54","22.5","-4.23","18.6","-2.43"
"29","5475","德宏","238","-7","-2.86","26W22","05/29","34.6","-2.25","31.4","-3.78","30.6","-3.14"
