"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"901","2645","長榮航太","200","+18","+9.89","26M05","25.7","0","68.6","0","0","0","0","0","0","0","25.7","0","68.6","0","0"
"902","2646","星宇航空","20.4","0","0","26M05","166","0","55.3","0","0","0","0","0","0","0","166","0","55.3","0","0"
"903","2701","萬企","10.6","0","0","26M05","8.98","0","20","0","0","0","0","0.01","0","0","8.98","0","20","0","0"
"904","2704","國賓","45.95","-0.6","-1.29","26M05","7.72","0","21","0","0","0","0","0","0","0","7.72","0","21","0","0"
"905","2705","六福","16.05","+0.05","+0.31","26M05","2.48","0","13","0","0","0","0","0","0","0","2.48","0","13","0","0"
"906","2706","第一店","12.5","0","0","26M05","9.9","0","19.8","0","0","0","0","0","0","0","9.9","0","19.8","0","0"
"907","2707","晶華","177.5","-0.5","-0.28","26M05","1.34","0","10.5","0","0","0","0","0","0","0","1.34","0","10.5","0","0"
"908","2712","遠雄來","14.45","+0.15","+1.05","26M05","5.37","0","51.1","0","0","0","0","0","0","0","5.37","0","51.1","0","0"
"909","2718","全心投控","48.4","-0.2","-0.41","26M05","1.04","0","11.9","0","0","0","0","0","0","0","1.04","0","11.9","0","0"
"910","2723","美食-KY","61.1","0","0","26M05","8.34","0","46.3","0","0","0","0","0","0","0","8.34","0","46.3","0","0"
"911","2724","藝舍-KY","10.5","-0.25","-2.33","26M05","2.73","0","45.8","0","0","0","0","0","0","0","2.73","0","45.8","0","0"
"912","2726","雅茗-KY","8.7","-0.1","-1.14","26M05","0.91","0","24","0","0","0","0","0","0","0","0.91","0","24","0","0"
"913","2727","王品","231","+0.5","+0.22","26M05","0.72","0","8.67","0","0","0","0","0","0","0","0.72","0","8.67","0","0"
"914","2731","雄獅","143.5","-1.5","-1.03","26M05","1.63","0","17.5","0","0","0","0","0","0","0","1.63","0","17.5","0","0"
