"115年06月02日 鉅額交易日成交資訊-單一證券 (元/股)
  "
"證券代號","證券名稱","交易別","成交價","成交股數","成交金額",
"2454","聯發科","逐筆交易","4,525.00","86,000","389,150,000",
"2454","聯發科","逐筆交易","4,515.00","38,000","171,570,000",
"1560","中砂","配對交易","711.00","529,000","376,119,000",
"1590","亞德客-KY","配對交易","1,280.82","38,000","48,671,160",
"1590","亞德客-KY","配對交易","1,275.63","27,000","34,442,010",
"1590","亞德客-KY","配對交易","1,275.62","19,000","24,236,780",
"1590","亞德客-KY","配對交易","1,275.61","23,000","29,339,030",
"2033","佳大","配對交易","13.85","790,000","10,941,500",
"2308","台達電","配對交易","2,386.38","30,000","71,591,400",
"2308","台達電","配對交易","2,360.00","90,000","212,400,000",
"2330","台積電","配對交易","2,395.26","13,000","31,138,380",
"2330","台積電","配對交易","2,390.00","3,365,000","8,042,350,000",
"2330","台積電","配對交易","2,383.00","136,500","325,279,500",
"2330","台積電","配對交易","2,382.99","167,000","397,959,330",
"2330","台積電","配對交易","2,382.97","88,500","210,892,845",
"2330","台積電","配對交易","2,380.00","1,576,000","3,750,880,000",
"2330","台積電","配對交易","2,360.00","4,600,000","10,856,000,000",
"2345","智邦","配對交易","2,415.00","15,000","36,225,000",
"2360","致茂","配對交易","2,565.25","52,360","134,316,490",
"2360","致茂","配對交易","2,565.24","15,640","40,120,354",
"2379","瑞昱","配對交易","618.89","98,000","60,651,220",
"2395","研華","配對交易","518.90","52,000","26,982,800",
"2454","聯發科","配對交易","4,762.31","30,000","142,869,300",
"2454","聯發科","配對交易","4,609.85","84,800","390,915,280",
"2454","聯發科","配對交易","4,609.84","75,200","346,659,968",
"2454","聯發科","配對交易","4,581.67","6,000","27,490,020",
"2467","志聖","配對交易","637.00","492,000","313,404,000",
"3006","晶豪科","配對交易","254.00","1,482,000","376,428,000",
"3583","辛耘","配對交易","874.00","430,000","375,820,000",
"3711","日月光投控","配對交易","586.24","90,000","52,761,600",
"6282","康舒","配對交易","65.50","5,747,000","376,428,500",
"6669","緯穎","配對交易","5,515.00","50,000","275,750,000",
"6770","力積電","配對交易","87.00","4,950,000","430,650,000",
"6805","富世達","配對交易","2,150.00","175,000","376,250,000",
"7750","新代","配對交易","2,280.00","137,000","312,360,000",
"8464","億豐","配對交易","321.65","108,000","34,738,200",
"8464","億豐","配對交易","321.64","1,092,000","351,230,880",
"9912","偉聯","配對交易","11.25","1,400,000","15,750,000",
"總計","","","","28,198,000","29,480,762,547",
"說明:"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。"

