排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,3122,笙泉,31.5,0.95,3.11,07/02,,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,8450,霹靂,15.05,0.1,0.67,07/02,-70.6,-70.6,-70.6,-88.4,-88.6,-90.6,-97.0,-97.0,-97.0,-97.0
3,009821,野村稀土關鍵資源,14.22,0.01,0.07,07/02,6.79,-43.8,-60.6,-81.6,,,,,,
4,1326,台化,61.9,5.6,9.95,07/02,-6.76,-5.44,-36.9,-67.8,-71.7,-76.6,-89.7,-88.4,-91.0,-88.4
5,2006,東和鋼鐵,69.0,1.1,1.62,07/02,-19.9,-21.9,-61.2,-63.2,-75.5,-73.7,-29.2,-40.6,-23.6,-40.6
6,009820,元大納斯達克精選,9.98,-0.16,-1.58,07/02,0.0,0.47,-60.6,-60.6,-53.4,-77.7,,,,
7,00916,國泰全球品牌50,25.55,0.34,1.35,07/02,0.0,0.0,-57.5,-57.8,-81.4,-67.2,101.0,35.0,-62.2,35.0
8,1301,台塑,59.7,5.4,9.94,07/02,-12.7,-12.6,-18.6,-57.3,-69.6,-67.0,-80.2,-79.9,-82.4,-79.9
9,009819,中信數據及電力,10.17,-0.16,-1.55,07/02,0.0,-29.5,-55.4,-55.4,-49.1,-62.2,,,,
10,7717,萊德光電-KY,420.5,-5.0,-1.18,07/02,3.53,12.8,-51.9,-52.7,-47.6,-33.3,633.0,,,
11,00940,元大台灣價值高息,12.65,0.03,0.24,07/02,-19.7,-19.7,-19.7,-50.8,-57.8,-76.8,-54.2,18.4,-26.3,18.4
12,9905,大華,21.25,0.0,0.0,07/02,0.0,-0.61,-19.8,-50.3,-50.3,-46.0,-37.7,-43.8,-67.3,-43.8
13,00405A,主動富邦台灣龍耀,9.45,0.06,0.64,07/02,-29.1,-29.1,-29.1,-50.1,-35.9,,,,,
14,6169,昱泉,14.75,0.05,0.34,07/02,-39.5,-39.5,-39.5,-50.0,-50.0,-64.6,-63.5,27.8,0.0,27.8
15,1580,新麥,123.0,0.5,0.41,07/02,-1.31,0.67,-44.1,-46.1,-51.0,-40.8,-14.2,-34.6,-32.9,-34.6
16,4702,中美實,10.15,0.0,0.0,07/02,0.0,0.0,-46.0,-46.0,-49.7,-49.5,-29.4,-45.6,-42.3,-45.6
17,00998A,主動復華金融股息,16.77,0.19,1.15,07/02,0.0,-43.5,-43.5,-43.5,-45.9,6388.0,,,,
18,00662,富邦NASDAQ,122.2,-1.45,-1.17,07/02,-8.1,-32.6,-33.2,-41.9,-47.1,-46.5,-10.2,27.1,90.8,27.1
19,6790,永豐實,40.6,0.05,0.12,07/02,4.71,4.2,-33.8,-41.8,-47.3,-47.1,-25.7,-37.7,-37.7,-37.7
20,3628,盈正,80.0,7.2,9.89,07/02,-3.87,-3.87,-21.3,-41.6,-45.5,-66.3,-56.9,-71.1,89.1,-71.1
21,6184,大豐電,43.05,-0.05,-0.12,07/02,2.62,6.52,12.0,-41.3,-47.0,-50.8,-54.8,-71.7,-52.8,-71.7
22,2013,中鋼構,44.0,0.25,0.57,07/02,0.0,0.93,-38.8,-41.2,-45.9,-52.0,-1.8,-5.63,-58.8,-5.63
23,6155,鈞寶,85.5,-2.5,-2.84,07/02,-8.32,-7.95,-27.0,-40.2,-53.3,-48.5,-31.0,-13.4,79.2,-13.4
24,00788B,元大10年IG電能債,30.53,0.0,0.0,07/02,0.0,0.0,-38.1,-38.1,-45.8,-45.8,-45.8,-77.6,-87.8,-77.6
25,4130,健亞,27.3,0.85,3.21,07/02,-20.0,-32.2,-37.5,-37.4,-40.9,-47.1,-46.8,16.4,74.4,16.4
26,6715,嘉基,445.0,3.5,0.79,07/02,-7.13,-7.13,-9.13,-37.4,-49.7,-63.0,-6.62,-28.7,-56.0,-28.7
