排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6641,基士德-KY,18.4,0.25,1.38,07/03,19.0,87.8,84.5,79.8,62.6,45.3,25.4,17.4,17.5,16.8,,17.4
2,00870B,元大15年EM主權債,28.94,0.07,0.24,07/03,100.0,100.0,80.8,87.5,57.5,40.9,42.5,0.99,1.67,3.45,,1.07
3,2762,世界健身-KY,83.0,1.0,1.22,07/03,73.8,81.0,79.3,73.6,66.1,45.6,35.9,33.7,23.9,,,33.6
4,2347,聯強,94.8,1.8,1.94,07/03,70.2,81.4,77.7,77.0,63.7,66.0,61.4,52.4,57.8,54.0,49.4,52.1
5,5876,上海商銀,42.0,0.15,0.36,07/03,74.4,80.9,77.7,79.6,78.0,63.6,62.0,61.3,59.0,57.3,,61.2
6,3130,一零四,221.0,-0.5,-0.23,07/03,86.8,87.5,77.0,65.8,55.7,50.3,41.1,41.0,41.2,46.6,45.8,40.9
7,2704,國賓,44.9,1.05,2.39,07/03,45.8,56.2,75.2,78.6,67.4,45.6,45.2,48.5,55.3,35.0,24.7,48.7
8,2892,第一金,32.4,0.3,0.93,07/03,41.5,68.2,74.6,74.5,69.4,51.2,59.8,59.3,54.5,53.4,46.1,59.3
9,2890,永豐金,39.7,0.2,0.51,07/03,50.8,78.4,73.4,71.6,70.9,57.1,51.4,53.3,51.8,51.0,45.7,53.4
10,3702,大聯大,110.0,2.0,1.85,07/03,47.6,67.3,71.7,72.4,67.6,49.8,41.5,38.1,47.4,48.9,46.2,38.1
11,3045,台灣大,116.5,-2.0,-1.69,07/03,76.2,75.6,70.5,72.0,62.2,47.0,40.6,38.8,45.6,43.7,47.4,39.1
12,2886,兆豐金,45.5,-0.5,-1.09,07/03,54.3,63.5,70.3,72.5,77.1,70.4,64.0,58.6,54.8,51.5,48.8,58.6
13,2801,彰銀,23.3,-0.05,-0.21,07/03,54.3,68.1,70.2,67.6,56.8,41.5,47.3,48.4,46.0,40.2,40.1,47.4
14,8464,億豐,369.0,-11.5,-3.02,07/03,80.1,66.9,69.0,78.1,80.3,80.1,76.5,44.0,23.4,9.54,3.22,44.2
15,2412,中華電,141.0,0.0,0.0,07/03,72.4,75.0,68.5,70.8,68.4,62.7,55.0,50.2,47.8,42.7,40.5,50.1
16,2010,春源,21.55,0.35,1.65,07/03,50.4,69.3,67.9,69.4,62.6,49.4,42.6,35.9,33.5,32.5,20.8,35.9
17,2207,和泰車,473.0,8.5,1.83,07/03,51.6,66.5,67.8,73.8,66.7,43.6,55.7,59.7,63.3,66.8,60.6,59.7
18,2455,全新,358.0,10.0,2.87,07/03,63.3,74.4,67.3,57.4,39.1,30.2,29.7,29.9,31.2,32.9,23.6,29.9
19,9921,巨大,76.2,0.7,0.93,07/03,49.3,61.6,66.9,56.6,48.4,47.5,50.2,34.3,18.6,6.08,2.42,34.7
20,2360,致茂,2265.0,55.0,2.49,07/03,66.0,64.7,66.8,74.5,65.7,60.6,60.2,57.7,60.8,63.0,54.6,57.6
21,3023,信邦,336.5,6.5,1.97,07/03,60.1,67.6,66.8,61.4,62.5,57.0,44.6,46.4,50.6,56.2,43.9,46.4
22,5434,崇越,531.0,-10.0,-1.85,07/03,73.6,68.0,66.8,52.5,54.9,54.0,46.4,43.1,42.1,39.0,29.3,43.2
