"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"1","00640L","富邦日本正2","107.25","+0.75","+0.7","26W28","07/09","83.7","+0.25","83.7","+0.25","16.3","-0.25"
"2","00783","富邦中証500","29.07","+0.77","+2.72","26W28","07/09","100","+16.1","100","+16.1","0","-16.1"
"3","0057","富邦摩台","306.15","-2.9","-0.94","26W28","07/09","100","0","100","0","0","0"
"4","00643K","群益深証中小+R","3.97","0","0","26W28","07/09","100","0","100","0","0","0"
"5","00728","第一金工業30","63.65","+0.4","+0.63","26W28","07/09","100","0","100","0","0","0"
"6","00847B","中信美國市政債","25.3","-0.23","-0.9","26W28","07/09","46.5","-0.01","57.9","0","42.1","0"
"7","006204","永豐臺灣加權","220.7","-1.05","-0.47","26W28","07/09","100","0","100","0","0","0"
"8","00678","群益那斯達克生技","41","+0.03","+0.07","26W28","07/09","100","0","100","0","0","0"
"9","00703","台新MSCI中國","20.14","-0.01","-0.05","26W28","07/09","91.4","+0.01","100","0","0","0"
"10","00731","復華富時高息低波","91","+0.5","+0.55","26W28","07/09","85.2","-3.84","88.9","-0.12","11.1","+0.12"
"11","0051","元大中型100","139.7","-1.5","-1.06","26W28","07/09","100","0","100","0","0","0"
"12","00657","國泰日經225","77.65","-0.2","-0.26","26W28","07/09","80.9","-4.03","80.9","-19.1","19.1","+19.1"
"13","00657K","國泰日經225+U","24.01","-0.17","-0.7","26W28","07/09","100","0","100","0","0","0"
"14","00668K","國泰美國道瓊+U","19.69","-0.17","-0.86","26W28","07/09","100","0","100","0","0","0"
"15","00860B","群益1-5Y投資級債","38.81","-0.03","-0.08","26W28","07/09","100","0","100","0","0","0"
"16","8349A","恒耀甲特","45.25","-0.05","-0.11","26W28","07/09","100","0","100","0","0","0"
"17","00636K","國泰中國A50+U","8.9","+0.13","+1.48","26W28","07/09","100","0","100","0","0","0"
"18","00899","FT潔淨能源","23.79","+0.04","+0.17","26W28","07/09","95","-5.03","100","0","0","0"
"19","006207","復華滬深","33.45","+0.5","+1.52","26W28","07/09","100","+5.63","100","+5.63","0","-5.63"
"20","00886","永豐美國科技","46.46","+0.52","+1.13","26W28","07/09","100","0","100","0","0","0"
"21","00625K","富邦上証+R","8.59","0","0","26W28","07/09","100","0","100","0","0","0"
"22","00793B","群益AAA-A醫療債","30.58","0","0","26W28","07/09","100","0","100","0","0","0"
"23","00961","FT臺灣永續高息","13.04","-0.01","-0.08","26W28","07/09","96.7","+0.69","97.3","+0.96","3.41","-0.69"
