排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,3026,禾伸堂,1005.0,52.0,5.46,07/09,0.81,2.51,2.47,5.76,5.7,7.47,15.1,14.9,15.3,15.5,14.6,14.9
2,3211,順達,454.0,26.5,6.2,07/09,1.87,1.87,1.87,2.16,3.12,3.44,-12.2,-10.6,-16.2,11.0,11.0,-11.8
3,6182,合晶,172.5,12.5,7.81,07/09,0.71,0.91,0.62,1.9,2.98,5.21,6.22,6.22,6.19,3.64,5.11,6.22
4,2458,義隆,183.5,-2.5,-1.34,07/09,0.08,0.12,0.65,1.75,3.67,2.92,0.84,-0.77,1.19,16.9,13.1,-1.32
5,6191,精成科,101.0,-2.0,-1.94,07/09,-0.02,-0.02,0.43,1.62,4.33,4.29,4.29,2.17,1.99,4.3,5.45,1.95
6,6409,旭隼,1105.0,-35.0,-3.07,07/09,0.0,0.12,0.51,1.61,3.34,3.32,4.54,4.34,5.38,5.09,4.97,4.87
7,8112,至上,85.0,-0.4,-0.47,07/09,-0.01,-0.01,0.55,1.42,4.19,3.98,2.33,0.98,1.83,3.19,2.37,0.07
8,6278,台表科,199.5,5.0,2.57,07/09,0.07,0.55,0.9,1.42,2.39,-0.36,-4.96,-7.24,-12.2,11.1,10.8,-8.27
9,5469,瀚宇博,80.6,-0.4,-0.49,07/09,0.04,0.21,0.49,1.39,3.42,3.42,2.89,2.3,4.5,2.31,4.77,2.26
10,3413,京鼎,334.5,-4.5,-1.33,07/09,0.0,0.0,1.36,1.36,1.36,1.24,-0.98,-0.63,-3.41,1.2,1.42,-0.76
11,6691,洋基工程,708.0,-7.0,-0.98,07/09,0.0,0.16,0.55,1.36,3.08,3.09,2.3,2.02,2.81,1.57,,1.91
12,3023,信邦,326.0,6.5,2.03,07/09,0.0,0.02,0.51,1.34,3.55,3.44,1.58,0.66,4.64,8.36,6.01,0.58
13,2428,興勤,325.0,24.0,7.97,07/09,0.0,0.0,0.39,1.33,1.33,1.33,1.44,-1.24,1.27,1.46,1.37,-1.27
14,3227,原相,221.5,-6.5,-2.85,07/09,0.02,0.06,0.41,1.21,3.09,3.17,3.0,1.77,3.3,11.8,11.8,2.04
15,5434,崇越,509.0,0.0,0.0,07/09,0.01,0.02,0.42,1.18,2.89,2.47,2.28,1.56,-0.73,3.82,5.42,1.53
16,4764,雙鍵,336.0,20.0,6.33,07/09,0.12,1.15,1.15,1.15,1.15,1.27,3.39,3.5,3.5,3.5,,3.5
17,6213,聯茂,385.0,-8.5,-2.16,07/09,0.14,0.15,0.44,1.12,1.66,2.17,1.65,2.39,1.8,2.42,2.06,2.05
18,5269,祥碩,1480.0,-45.0,-2.95,07/09,0.0,0.02,0.31,1.08,2.84,2.8,4.21,4.11,-2.07,1.88,4.6,4.47
19,2352,佳世達,33.0,-1.4,-4.07,07/09,0.0,0.0,0.45,1.07,2.81,2.82,3.0,2.98,2.77,2.59,1.83,2.99
20,2377,微星,145.0,3.0,2.11,07/09,0.0,0.01,0.29,0.97,4.66,5.39,4.76,5.16,0.25,-1.65,-2.58,5.16
21,3706,神達,88.7,0.5,0.57,07/09,0.0,0.0,0.32,0.97,3.04,3.11,4.31,4.13,3.63,4.32,3.05,4.17
22,6121,新普,420.5,-24.0,-5.4,07/09,0.01,0.01,0.48,0.91,0.35,-0.93,-3.21,-6.18,-9.18,8.54,10.5,-7.13
23,2472,立隆電,376.0,25.0,7.12,07/09,0.91,0.91,0.91,0.91,4.34,5.88,7.94,6.14,7.29,8.94,8.98,6.05
24,6139,亞翔,875.0,9.0,1.04,07/09,0.05,0.17,0.36,0.86,2.05,2.25,2.36,3.22,1.98,6.17,6.37,3.42
25,2347,聯強,88.5,-0.6,-0.67,07/09,0.01,0.02,0.27,0.77,1.7,1.86,4.78,4.49,-2.81,-0.06,6.19,3.35
26,4967,十銓,233.0,0.0,0.0,07/09,0.12,0.29,0.41,0.74,0.85,0.85,0.54,0.33,0.85,-0.76,,0.26
27,6669,緯穎,5040.0,-10.0,-0.2,07/09,0.19,0.31,0.53,0.74,1.65,1.03,4.89,2.26,3.24,2.42,,2.38
28,2474,可成,195.5,0.5,0.26,07/09,0.05,0.04,0.29,0.72,1.81,0.83,-7.31,-9.83,-15.4,0.54,10.2,-12.0
29,3167,大量,775.0,-31.0,-3.85,07/09,0.05,0.02,0.23,0.72,0.58,0.04,-3.17,1.3,8.22,8.83,8.79,-0.93
30,3532,台勝科,423.5,14.0,3.42,07/09,0.13,0.33,0.52,0.71,0.75,1.04,1.68,2.38,2.73,1.08,-0.46,2.38
31,8046,南電,1215.0,110.0,9.95,07/09,0.27,0.45,0.51,0.7,1.71,1.8,1.95,5.32,4.74,2.24,2.71,5.59
32,1477,聚陽,222.5,-1.5,-0.67,07/09,0.12,0.23,0.39,0.67,1.18,-2.75,-3.71,-3.85,-5.7,-4.53,3.66,-4.14
33,3042,晶技,200.0,-6.0,-2.91,07/09,0.0,0.2,0.24,0.65,0.62,-1.45,0.0,-0.83,-3.95,-0.36,0.93,-1.84
34,2356,英業達,69.8,3.6,5.44,07/09,0.06,0.21,0.35,0.59,1.26,1.13,3.08,2.81,1.79,-1.1,2.17,2.98
35,8070,長華*,52.7,-0.6,-1.13,07/09,0.0,0.0,0.2,0.59,1.13,-0.26,-4.9,-5.43,-4.74,-4.89,-4.78,-6.04
36,6515,穎崴,7765.0,60.0,0.78,07/09,0.1,0.04,0.14,0.56,-0.48,0.81,0.33,1.78,8.82,-0.94,,2.15
37,6488,環球晶,1350.0,120.0,9.76,07/09,0.04,0.2,0.22,0.55,-0.22,0.57,3.88,4.89,8.02,7.74,7.85,6.7
38,2492,華新科,465.5,-6.0,-1.27,07/09,0.1,0.6,0.58,0.55,0.55,3.05,4.73,4.93,4.92,5.15,-4.19,4.93
39,4915,致伸,68.8,0.6,0.88,07/09,-0.05,-0.05,0.02,0.54,1.88,2.75,1.19,-0.32,-0.23,14.2,15.6,1.14
40,2379,瑞昱,840.0,23.0,2.82,07/09,0.0,0.04,0.17,0.52,1.75,2.85,5.86,2.83,1.7,7.69,13.9,2.65
41,2376,技嘉,336.5,1.5,0.45,07/09,0.0,0.0,0.11,0.46,1.33,1.42,3.44,2.95,3.74,-1.63,1.15,3.5
42,3034,聯詠,542.0,-2.0,-0.37,07/09,0.16,0.25,0.29,0.46,0.56,0.05,1.06,-2.66,-8.97,11.2,13.8,-3.4
43,006201,元大富櫃50,46.85,0.51,1.1,07/09,0.0,0.1,0.25,0.45,1.5,1.25,2.96,1.75,-6.05,-5.59,-77.4,0.25
44,3665,貿聯-KY,1865.0,-35.0,-1.84,07/09,0.01,0.14,0.57,0.43,0.22,1.21,-2.48,-6.26,-6.51,7.7,9.24,-7.27
45,3260,威剛,410.0,6.0,1.49,07/09,0.0,0.18,0.24,0.43,0.21,-0.54,-8.68,-10.4,-1.29,-1.54,4.15,-10.0
46,4904,遠傳,95.0,1.8,1.93,07/09,-0.01,-0.01,0.16,0.43,1.15,3.92,4.35,3.78,2.53,8.31,11.8,3.82
47,8422,可寧衛*,27.0,-0.3,-1.1,07/09,-0.04,-0.08,0.09,0.42,1.12,0.61,-1.69,-2.67,-1.71,-1.7,-1.68,-2.01
48,8271,宇瞻,181.0,0.0,0.0,07/09,0.07,0.15,0.22,0.42,0.46,0.46,0.34,0.4,0.33,0.35,0.1,0.39
49,6548,長科*,82.9,-0.6,-0.72,07/09,0.01,0.04,0.1,0.41,0.64,0.11,0.88,0.76,3.09,3.07,,2.04
50,8069,元太,200.5,1.5,0.75,07/09,0.02,0.03,0.09,0.4,1.13,0.59,1.83,1.72,1.52,1.21,1.84,2.18
51,3045,台灣大,108.5,0.0,0.0,07/09,0.0,0.03,0.14,0.39,1.0,1.04,2.15,1.58,5.24,9.6,12.1,1.58
52,3563,牧德,721.0,8.0,1.12,07/09,0.0,0.0,0.11,0.38,0.51,-0.42,-1.11,-1.18,2.1,3.13,3.49,0.93
53,3231,緯創,144.5,-2.0,-1.37,07/09,-0.03,-0.03,0.08,0.34,1.19,1.93,3.23,2.46,-0.61,-2.75,3.97,2.68
54,6282,康舒,57.6,-1.4,-2.37,07/09,0.04,0.11,0.15,0.3,0.35,0.37,0.09,0.38,0.39,0.11,0.44,0.37
55,6223,旺矽,7080.0,640.0,9.94,07/09,0.08,0.21,0.23,0.3,0.49,1.54,2.08,2.33,3.44,17.1,14.5,1.42
56,2059,川湖,8250.0,155.0,1.91,07/09,0.14,0.18,0.29,0.29,0.33,0.1,2.14,0.77,-0.48,4.85,6.37,-0.53
57,2455,全新,330.5,-4.5,-1.34,07/09,0.03,0.23,0.26,0.28,-0.56,0.95,5.0,5.55,1.14,-4.25,-2.14,6.55
58,1402,遠東新,27.45,-0.4,-1.44,07/09,0.09,0.16,0.23,0.28,0.94,3.31,1.94,0.9,0.05,-1.8,4.42,0.86
59,3702,大聯大,106.5,1.0,0.95,07/09,0.0,-0.04,0.06,0.26,2.91,1.9,-4.28,-4.0,-8.1,-7.91,-2.09,-4.15
60,3014,聯陽,139.5,-5.5,-3.79,07/09,0.01,0.07,0.07,0.26,1.66,1.88,2.44,1.93,0.02,3.29,4.72,1.73
61,4766,南寶,339.5,-6.0,-1.74,07/09,0.0,0.0,0.09,0.25,0.31,0.3,-0.56,-0.98,-5.31,3.75,,-1.05
62,6187,萬潤,1050.0,95.0,9.95,07/09,0.44,0.26,0.26,0.25,-1.35,-1.09,0.92,6.95,3.33,7.44,-0.75,7.44
63,3406,玉晶光,616.0,4.0,0.65,07/09,0.09,0.27,0.22,0.25,-0.14,-0.94,-4.44,-3.89,-0.94,0.78,3.39,-4.11
64,8016,矽創,363.0,11.0,3.12,07/09,0.01,0.11,0.13,0.24,-0.44,-0.33,0.46,-0.06,0.39,1.47,-1.36,-1.27
65,2382,廣達,373.5,-3.5,-0.93,07/09,0.03,0.06,0.12,0.23,0.55,2.08,8.09,8.07,6.5,5.72,9.67,8.08
66,8096,擎亞,166.5,-3.0,-1.77,07/09,0.01,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
67,1303,南亞,181.5,-0.5,-0.27,07/09,0.1,0.13,0.15,0.22,0.54,1.52,1.15,1.78,2.02,-1.25,0.96,1.6
68,2451,創見,253.5,3.5,1.4,07/09,0.04,0.08,0.1,0.22,0.33,-0.78,-4.9,-4.6,-11.7,0.18,-2.39,-6.24
69,4961,天鈺,176.0,1.0,0.57,07/09,0.01,0.06,0.06,0.22,0.48,0.53,0.94,1.25,-6.51,1.99,,0.2
