"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","020035","元大上櫃ESG高息N","15.23","0","0","07/13","","+100","+100","+100","+100","+100","+8.16","+2.59","+8.08","+7.78","","+3.01"
"2","00785B","富邦金融投等債","35.2","-0.12","-0.34","07/13","+99.7","+99.6","+99.6","+99.5","+98.8","+98","+97.2","+93.6","+89.7","+90","","+93.2"
"3","020039","元大加權N","14.54","+0.02","+0.14","07/13","+87.5","+77.8","+96","+96","+98.4","+87.9","+68.4","+46","+40.4","","","+45.3"
"4","4728","雙美","381","+4","+1.06","07/13","+99.3","+98.9","+98.9","+95.1","+93.7","+79.1","+47.1","+48.4","+25.4","+6.16","+1.69","+44.8"
"5","009818","華南永昌NASDAQxT","19.88","+0.01","+0.05","07/13","+89.3","+93.6","+92.9","+86.7","+76.5","+60.3","+53.8","","","","",""
"6","020000","富邦特選蘋果N","32.47","-0.68","-2.05","07/13","+100","0","+80","+81.8","+83.3","+55.6","+30.3","+29.9","+47.3","+4.59","","+32.7"
"7","00986B","FT金融債10+","9.88","-0.02","-0.2","07/13","+78.9","+78.4","+76.7","+80.4","+55.2","+55.1","+35.8","+11.9","","","","+12.1"
"8","020038","元大ESG配息N","14.15","-0.13","-0.91","07/13","+100","-33.3","+71.4","+77.8","+38.1","+71.2","+44.4","+48.9","+56.8","+9.02","","+51"
"9","020037","元大金融高股息N","11.02","-0.01","-0.09","07/13","+100","+100","+87.7","+76","+65.2","+27.7","+19.9","+7.73","+5.98","+3.42","","+5.99"
"10","020029","元大ESG高股息N","18.2","-0.2","-1.09","07/13","+100","+75","+63.6","+74.4","+76.6","+35.9","+64","+68.8","+69.8","+37.9","","+67.5"
"11","00638R","元大滬深300反1","6.77","+0.11","+1.65","07/13","+98.5","+95.7","+70.1","+74","+64.4","+44.3","+12.3","+10.6","+2.21","+0.47","-0.6","+10.8"
"12","00983A","主動中信ARK創新","12.09","-0.15","-1.23","07/13","+44.9","+47.9","+54.3","+71.3","+76.4","+74.7","+64.5","+34.6","-0.83","","","+35.2"
"13","009822","華南永昌未來金融","9.68","-0.05","-0.51","07/13","+51.3","+78.6","+30.7","+71","+66.2","+59.1","","","","","",""
"14","910322","康師傅-DR","22.5","0","0","07/13","+21.5","+19","+61","+70.5","+20.3","-16.4","-26.9","-6.15","-6.78","-0.91","-0.59","-1.74"
"15","00712","復華富時不動產","8.87","+0.08","+0.91","07/13","+65.7","+54.4","+59.1","+68.9","+63.8","+13.9","-0.93","-13.7","-8.24","-13.9","","-9.42"
"16","5324","士開","12.05","0","0","07/13","+90.7","+74.2","+72.7","+64.4","+63.5","+61.6","+29.4","+15.8","+9.14","+1.15","+0.3","+14.6"
"17","00916","國泰全球品牌50","26.08","+0.04","+0.15","07/13","+66.7","+65.7","+66.9","+63.6","+65.6","+15.4","-14.3","-12.1","-4.23","-6.34","","-11.7"
"18","00788B","元大10年IG電能債","30.3","-0.06","-0.2","07/13","-100","+44.5","+45.2","+61.5","+55.2","+70.1","+62.2","+57.6","+44.1","-4.82","","+50.1"
"19","00856B","永豐1-3年美公債","37.82","-0.03","-0.08","07/13","+47","+76.2","+74.8","+61.1","+58.7","+58.5","+19.1","-2.26","-12.7","-3.17","","-1.63"
"20","009813","貝萊德標普卓越50","11.16","+0.02","+0.18","07/13","+47.3","+60.4","+62.3","+60.5","+65.4","+46.7","+64.4","+37.6","","","","+31.6"
"21","00763U","期街口道瓊銅","33","+0.41","+1.26","07/13","+87.1","+61.2","+64.9","+59.6","-11","+0.14","+27.4","+4.79","-5.51","-3.73","","+3.6"
"22","00907","永豐優息存股","16.39","+0.01","+0.06","07/13","+50.3","+42","+42.4","+56.5","+46.6","+21.5","+21.1","+21","+29.2","-1.84","","+23.2"
"23","009815","大華美國MAG7+","11.32","+0.07","+0.62","07/13","+31.3","+48.9","+53.6","+55.6","+50.1","+48","+50.4","","","","",""
"24","00926","凱基全球菁英55","25.29","+0.12","+0.48","07/13","+69.4","+57.3","+51.3","+55","+26.1","+22.3","+10.1","+2.64","+14.6","-4.12","","+3.9"
"25","0061","元大寶滬深","24.64","-0.35","-1.4","07/13","-46.4","-7.1","+7.51","+52.6","+28.8","+46.8","+51.9","+43.6","+45.2","+9.01","+15.5","+43.6"
"26","5880","合庫金","25.2","+0.05","+0.2","07/13","+54.2","+49.7","+51.4","+51.4","+32","+33.7","+5.74","+2.4","+2.07","-2.34","-0.06","+1.51"
