排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2072,世紀風電,144.5,-2.5,-1.7,07/13,1.97,18.3,800.0,1050.0,,,,,,
2,1623,大東電,231.5,5.0,2.21,07/13,0.0,0.0,0.0,900.0,,,,,,
3,3485,敘豐,278.0,-8.0,-2.8,07/13,11.5,52.6,383.0,867.0,,,,,,
4,00405A,主動富邦台灣龍耀,8.61,-0.16,-1.82,07/13,0.02,1.55,2.32,815.0,399.0,99.9,,,,
5,00407A,主動凱基台灣,9.32,-0.1,-1.06,07/13,0.37,0.37,20.8,747.0,1505.0,,,,,
6,00939,統一台灣高息動能,21.33,-0.13,-0.61,07/13,0.13,0.47,8.29,312.0,202.0,-70.8,-29.9,2.08,380.0,22.3
7,7772,耀穎,110.0,-11.5,-9.47,07/13,33.3,33.3,300.0,300.0,,,,,,
8,1326,台化,65.0,5.0,8.33,07/13,16.5,75.6,81.4,248.0,-29.2,-54.2,-81.4,-78.6,-83.6,-80.0
9,00988B,玉山嚴選非投債,19.97,-0.03,-0.15,07/13,0.0,0.0,0.0,202.0,202.0,202.0,,,,
10,00911,兆豐洲際半導體,61.8,0.35,0.57,07/13,0.0,0.0,25.0,158.0,491.0,400.0,442.0,400.0,-15.8,400.0
11,00905,FT臺灣Smart,27.39,-0.16,-0.58,07/13,0.0,0.0,7.41,157.0,156.0,156.0,69.8,13.9,-62.5,83.9
12,8042,金山電,160.5,-17.5,-9.83,07/13,37.3,80.4,80.7,148.0,164.0,76.3,-39.2,-68.7,-1.72,-67.9
13,4991,環宇-KY,450.5,-11.0,-2.38,07/13,-2.24,-3.42,29.1,115.0,130.0,48.7,93.7,93.7,-63.1,52.9
14,00406A,主動中信台灣收益,9.73,-0.13,-1.32,07/13,14.6,84.8,95.5,108.0,30190.0,,,,,
15,00934,中信成長高股息,27.87,-0.19,-0.68,07/13,21.1,42.3,72.3,108.0,108.0,108.0,-82.6,445.0,126.0,445.0
16,3093,港建*,54.3,-2.1,-3.72,07/13,3.41,18.4,37.4,103.0,74.4,80.1,323.0,401.0,759.0,291.0
17,7820,立盈,119.0,0.5,0.42,07/13,100.0,100.0,0.0,100.0,,,,,,
18,6174,安碁,56.5,-1.2,-2.08,07/13,0.0,-10.0,-6.01,92.5,47.5,16.5,120.0,173.0,129.0,173.0
