"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","29.12","-0.06","-0.21","26W29","07/13","+61","+704,399","44.3","109","0","0","0","0","-5","-17,510","-17.4","-2.71","-2","-715","-5.6","-0.11"
"00857B","永豐20年美公債","23.12","-0.06","-0.26","26W29","07/13","+36","+189,446","43.8","35.3","0","0","0","0","+1","+519","28.5","0.1","+36","+201,527","46.6","37.5"
"00931B","統一美債20年","13.53","-0.02","-0.15","26W29","07/13","+26","+329,571","53","15.6","0","0","0","0","-2","-1,944","-17.2","-0.09","+26","+379,294","61","18"
"00757","統一FANG+","130.8","-0.05","-0.04","26W29","07/13","+15","+33,300","20.2","12","0","0","0","0","-1","-969","-35.2","-0.35","+6","+15,214","28.6","5.48"
"00770","國泰北美科技","67.85","+0.25","+0.37","26W29","07/13","+15","+7,662","20.2","9.64","0","0","0","0","+1","+52","20.9","0.07","+5","+1,538","27.3","1.94"
"00983A","主動中信ARK創新","12.09","-0.15","-1.23","26W29","07/13","+15","+75,954","25.9","71.9","0","0","0","0","+15","+109,492","37.3","104","+15","+185,446","63.2","175"
"00661","元大日經225","86.25","-0.95","-1.09","26W29","07/13","+11","+1,593","19.3","6.8","0","0","0","0","-1","-256","-41.9","-1.09","+2","+177","14.2","0.75"
"00731","復華富時高息低波","88.55","-0.35","-0.39","26W29","07/13","+11","+3,632","9.24","16.4","0","0","0","0","+12","+2,381","5.6","10.8","+75","+49,308","17.8","223"
"4130","健亞","28.15","+0.3","+1.08","26W29","07/13","+11","+1,654","19.7","1.2","0","0","0","0","+1","+2","0.83","0","+11","+1,646","19.6","1.19"
"1268","漢來美食","165.5","0","0","26W29","07/13","+10","+138","4.85","0.33","0","0","0","0","0","0","0","0","+10","+140","4.92","0.33"
"2360","致茂","1850","+30","+1.65","26W29","07/13","+10","+10,472","8.31","2.46","-9","-7,902","-7.34","-1.86","-1","-54","-1.68","-0.01","-1","-27","-0.82","-0.01"
"1709","和益","26.8","+2.4","+9.84","26W29","07/13","+9","+16,227","16.7","3.4","0","0","0","0","+1","+80","0.43","0.02","+9","+16,306","16.8","3.42"
"1799","易威","33.5","+0.05","+0.15","26W29","07/13","+9","+607","11.4","0.49","0","0","0","0","+1","0","0.24","0","+9","+604","11.4","0.48"
"2646","星宇航空","21.2","+0.05","+0.24","26W29","07/13","+9","+25,264","9.27","0.84","+5","+1,675","1.21","0.06","-4","-180","-0.18","-0.01","+9","+26,976","9.9","0.9"
